"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_3","otro_final"
"f91cb3f","A","","A","A","","","A"
"65fc038","","","","","","",""
"5a20153","","","","","","",""
"9f4d288","B","","B","B","","","B"
"a1efa63","B","","B","B","","","B"
"5dbecee","A","","A","A","","","A"
"f0d3a29","","","","","","",""
"03d92de","","","","","","",""
"9846ca8","B","","B","C","","","C"
"bc1ad54","","","","","","",""
"3abe69c","","","","","","",""
"d3a396c","A","","A","C","","","C"
"6f17bd1","","","","","","",""
"637819c","","","","","","",""
"9265cd7","","","","","","",""
"43d0b63","A","","A","A","","","A"
"dae9b13","A","","A","A","","","A"
"5177026","A","","A","A","","","A"
"9c76c21","A","","A","A","","","A"
"d4122df","","","","","","",""
"ce36e73","","","","","","",""
"129e7fa","","","","","","",""
"adce8fd","","","","","","",""
"c9285e4","B","","B","B","","","B"
"007a721","","","","","","",""
"5d45bd1","C","","C","A","","","A"
"cfcbc2d","A","","A","A","","","A"
"fc53f6c","A","","A","A","","","A"
"38c4951","B","","B","C","","","C"
"3901ca4","","","","","","",""
"d9696dd","A","","A","A","","","A"
"e353d18","","","","","","",""
"8655fd7","","","","","","",""
"3e6beba","A","","A","A","","","A"
"277c17a","","","","","","",""
"cde7968","A","","A","A","","","A"
"de45cef","","","","","","",""
"d7ff55b","","","","","","",""
"7b65802","B","","B","B","","","B"
"45f7f6c","B","","B","A","","","A"
"89f6d9e","A","","A","A","","","A"
"f9639b3","","","","","","",""
"d5a5d03","","","","","","",""
"8f7d05f","","","","","","",""
"58cb4bb","B","","B","A","","","A"
"4e53c5c","A","","A","A","","","A"
"99cea42","","","","","","",""
"0d1d4a2","","","","","","",""
"a839247","A","","A","A","","","A"
"3d3d373","","","","","","",""
"48179d1","B","A","A","A","","","A"
"c587cf2","","","","","","",""
"c9c92b5","A","","A","C","","","C"
"a6dece0","","","","","","",""
"32b1d7b","B","","B","A","","","A"
"eecc636","","","","","","",""
"ec511f8","","","","","","",""
"ea146eb","","","","","","",""
"7e62763","B","","B","B","","","B"
"1415cd3","B","C","C","A","","","A"
"9a94644","","","","","","",""
"b921637","A","","A","A","","","A"
"bd4b2f4","A","","A","C","","","C"
"c094913","B","","B","B","","","B"
"7622483","B","","B","A","","","A"
"d876b22","","","","","","",""
"331444e","","","","","","",""
"d282bbe","","","","","","",""
"ac83cfc","","","","","","",""
"79b129c","C","","C","B","","","B"
"ba60a18","","","","","","",""
"e4c0f9c","B","","B","A","","","A"
"aaad0b7","","","","","","",""
"c34e373","A","","A","A","","","A"
"5ad0638","","","","","","",""
"33bcee6","B","","B","B","","","B"
"8470e07","","","","","","",""
"d003724","C","","C","A","","","A"
"d361e6e","","","","","","",""
"dcaa5d8","","","","","","",""
"c0a644e","A","","A","A","","","A"
"3ecbabb","A","","A","A","","","A"
"03e6b48","","","","","","",""
"20ab757","","","","","","",""
"dd88e0f","C","","C","A","","","A"
"6ab42f2","A","","A","B","","","B"
"906f8e0","","","","","","",""
"91152e5","","","","","","",""
"aa07d95","A","","A","A","","","A"
"924de30","B","","B","A","","","A"
"86c5f35","C","","C","A","","","A"
"f5c10f0","","","","","","",""
"2373468","","","","","","",""
"60a275a","","","","","","",""
"5cf32f9","","","","","","",""
"0dc300b","B","","B","B","","","B"
"58b1c8e","A","","A","B","","","B"
"a540012","A","","A","A","","","A"
"02ed09a","B","","B","A","","","A"
"95cc222","","","","","","",""
"b81bc6e","A","","A","A","","","A"
"db7d9c3","C","","C","B","","","B"
"d42a42d","","","","","","",""
"3eaaa25","","","","","","",""
"747ce5f","C","","C","C","","","C"
