"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"f91cb3f","A","","A","C","","C"
"65fc038","","","","","",""
"5a20153","A","","A","A","","A"
"9f4d288","A","","A","A","","A"
"a1efa63","A","","A","A","","A"
"5dbecee","A","","A","A","","A"
"f0d3a29","","","","","",""
"03d92de","","","","","",""
"9846ca8","A","","A","A","","A"
"bc1ad54","","","","","",""
"3abe69c","","","","","",""
"d3a396c","A","","A","A","","A"
"6f17bd1","A","","A","A","","A"
"637819c","","","","","",""
"9265cd7","","","","","",""
"43d0b63","A","","A","A","","A"
"dae9b13","A","","A","A","","A"
"5177026","A","","A","A","","A"
"9c76c21","A","","A","A","","A"
"d4122df","","","","","",""
"ce36e73","A","","A","C","","C"
"129e7fa","","","","","",""
"adce8fd","","","","","",""
"c9285e4","A","","A","B","","B"
"007a721","","","","","",""
"5d45bd1","C","","C","C","","C"
"cfcbc2d","A","","A","A","","A"
"fc53f6c","C","","C","C","","C"
"38c4951","A","","A","B","","B"
"3901ca4","","","","","",""
"d9696dd","A","","A","A","","A"
"e353d18","A","","A","C","A","A"
"8655fd7","","","","","",""
"3e6beba","A","","A","A","","A"
"277c17a","","","","","",""
"cde7968","A","","A","A","","A"
"de45cef","","","","","",""
"d7ff55b","","","","","",""
"7b65802","A","","A","A","","A"
"45f7f6c","A","","A","A","","A"
"89f6d9e","A","","A","A","","A"
"f9639b3","","","","","",""
"d5a5d03","","","","","",""
"8f7d05f","","","","","",""
"58cb4bb","B","","B","C","","C"
"4e53c5c","B","","B","A","","A"
"99cea42","","","","","",""
"0d1d4a2","","","","","",""
"a839247","A","","A","A","","A"
"3d3d373","","","","","",""
"48179d1","A","","A","A","","A"
"c587cf2","","","","","",""
"c9c92b5","A","","A","C","","C"
"a6dece0","","","","","",""
"32b1d7b","A","","A","C","","C"
"eecc636","","","","","",""
"ec511f8","","","","","",""
"ea146eb","","","","","",""
"7e62763","A","","A","A","","A"
"1415cd3","A","","A","C","","C"
"9a94644","","","","","",""
"b921637","B","","B","C","","C"
"bd4b2f4","A","","A","A","","A"
"c094913","A","","A","A","","A"
"7622483","A","","A","A","","A"
"d876b22","A","","A","C","A","A"
"331444e","","","","","",""
"d282bbe","","","","","",""
"ac83cfc","","","","","",""
"79b129c","C","","C","C","","C"
"ba60a18","","","","","",""
"e4c0f9c","A","","A","A","","A"
"aaad0b7","B","","B","B","","B"
"c34e373","A","","A","A","","A"
"5ad0638","","","","","",""
"33bcee6","A","","A","A","","A"
"8470e07","","","","","",""
"d003724","C","B","B","B","","B"
"d361e6e","","","","","",""
"dcaa5d8","","","","","",""
"c0a644e","A","","A","A","","A"
"3ecbabb","A","","A","B","","B"
"03e6b48","","","","","",""
"20ab757","","","","","",""
"dd88e0f","C","","C","A","","A"
"6ab42f2","A","","A","A","","A"
"906f8e0","","","","","",""
"91152e5","","","","","",""
"aa07d95","A","","A","A","","A"
"924de30","A","","A","A","","A"
"86c5f35","B","","B","A","","A"
"f5c10f0","","","","","",""
"2373468","","","","","",""
"60a275a","","","","","",""
"5cf32f9","","","","","",""
"0dc300b","A","","A","A","","A"
"58b1c8e","C","","C","C","","C"
"a540012","A","","A","A","","A"
"02ed09a","A","","A","A","","A"
"95cc222","","","","","",""
"b81bc6e","B","","B","A","","A"
"db7d9c3","B","","B","A","","A"
"d42a42d","","","","","",""
"3eaaa25","","","","","",""
"747ce5f","A","","A","B","","B"
"28ec805","A","","A","A","","A"
"fa1efad","A","","A","A","","A"
"9b6db7b","","","","","",""
"77a5d2f","A","","A","B","","B"
"5a4afae","A","","A","C","","C"
"4895bbd","","","","","",""
"81f41fd","B","","B","B","","B"
"6bac72b","A","","A","A","","A"
"daa4f97","","","","","",""
"ecbeb4e","","","","","",""
"f362392","","","","","",""
"0247e76","","","","","",""
"248b798","","","","","",""
"6de814d","","","","","",""
"83608d5","","","","","",""
"87b3434","A","","A","A","","A"
"fb37390","","","","","",""
"962a7dd","A","","A","A","","A"
"2ff47e5","","","","","",""
"419e9df","","","","","",""
"61e4a0f","","","","","",""
"9b37a26","","","","","",""
"7fb35e6","A","","A","A","","A"
"f382ec0","A","","A","C","","C"
"c95ac31","","","","","",""
"d135983","A","","A","A","","A"
"446ad6c","C","","C","C","","C"
"7da3821","A","","A","C","","C"
"b1d77f9","A","","A","A","","A"
"eb77de6","A","","A","B","","B"
"dd6da1c","A","","A","A","","A"
"79b65fb","B","","B","C","","C"
"c7a7d85","A","","A","A","","A"
"59c79dc","A","","A","A","","A"
"20430ae","","","","","",""
"217deff","","","","","",""
"697ddff","","","","","",""
"19b0291","A","","A","A","","A"
"693ef79","A","","A","A","","A"
"2b4cf59","","","","","",""
"51be121","A","","A","A","","A"
"d81c8ac","","","","","",""
"d33371d","B","","B","B","","B"
"52266ec","","","","","",""
"ae59248","","","","","",""
"4714e95","","","","","",""
"e427669","C","","C","C","","C"
"4c892db","","","","","",""
"1c627cb","A","","A","A","","A"
"1f16f74","A","","A","A","","A"
"297d8e5","C","","C","C","","C"
"900150c","B","","B","B","","B"
"2d592aa","","","","","",""
"4358ef4","","","","","",""
"c494a29","B","","B","B","","B"
"38ed080","","","","","",""
"65acecd","B","","B","A","","A"
"d41cc3d","","","","","",""
"1e17723","A","","A","A","","A"
"57b0697","A","B","B","A","","A"
"2d44931","","","","","",""
"2b54679","","","","","",""
"1bca9b2","","","","","",""
"8bb736f","","","","","",""
"870dc60","C","","C","C","","C"
"679fa36","A","","A","A","","A"
"5d24d8a","","","","","",""
"a664235","C","","C","C","","C"
"0dc7823","B","C","C","C","","C"
"f38953f","A","","A","A","","A"
"516417f","A","","A","A","","A"
"f52861b","A","","A","A","","A"
"73d4e20","A","","A","A","","A"
"2949a28","C","","C","C","","C"
"8ec15bc","A","","A","A","","A"
"ed6cf9a","","","","","",""
"90301e5","","","","","",""
"a69e6bb","","","","","",""
"41f2447","C","","C","C","","C"
"bbd07b6","","","","","",""
"42751d2","","","","","",""
"614fc3f","A","","A","A","","A"
"9f972fb","B","","B","B","","B"
"159fdad","","","","","",""
"4a60a56","","","","","",""
"02b634c","B","","B","C","","C"
"37674f9","B","","B","C","B","B"
"5bf619a","C","","C","B","","B"
"ff10184","A","","A","A","","A"
"ee4b6cd","A","","A","A","","A"
"8ce483d","A","","A","A","","A"
"85ba0bb","A","","A","A","","A"
"07efbd5","","","","","",""
"f476f5b","","","","","",""
"8a1ecd0","A","","A","A","","A"
"2f80631","","","","","",""
"34d8485","A","","A","A","","A"
"2953e33","A","","A","A","","A"
"8d2da97","A","","A","A","","A"
"2afa0a3","","","","","",""
"0355f6d","A","","A","A","","A"
"43bae5c","B","","B","C","","C"
"bae1726","","","","","",""
"8e2b1f9","","","","","",""
"b06ee97","A","","A","A","","A"
"b92dee2","A","","A","C","","C"
"061aed4","","","","","",""
"537189f","A","","A","A","","A"
"cae6014","","","","","",""
"49db8c4","A","","A","A","","A"
"2ee7f92","A","","A","A","","A"
"ce57d54","","","","","",""
"b67425b","A","","A","A","","A"
"ba03ed9","","","","","",""
"e23561c","","","","","",""
"f5a2bd5","","","","","",""
"8f10453","","","","","",""
"d09321f","A","","A","A","","A"
"3894348","","","","","",""
"1fa4263","","","","","",""
"abc9ab4","","","","","",""
"877fb69","B","","B","C","","C"
"3226bb3","A","","A","A","","A"
"a9b4533","A","","A","A","","A"
"c4bba29","A","","A","A","","A"
"f2291ba","B","","B","B","","B"
"d925650","A","","A","B","","B"
"1a8e45b","A","","A","A","","A"
"48598f1","","","","","",""
"5f2a1aa","C","A","A","A","","A"
"b7cec81","C","B","B","C","","C"
"e2738b5","B","","B","B","","B"
"52ac937","","","","","",""
"3218556","A","","A","C","","C"
"3e625ac","A","B","B","B","","B"
"70405ea","C","","C","C","","C"
"4a9b689","A","","A","A","","A"
"105aa8d","","","","","",""
"c02668d","C","","C","C","","C"
"fafded6","B","","B","C","","C"
"fbd29ce","","","","","",""
"b987d82","","","","","",""
"e65bef7","A","","A","B","","B"
"1ed3221","","","","","",""
"4b70ed3","A","","A","A","","A"
"56bae3a","A","","A","A","","A"
"49f21e0","C","","C","C","","C"
"e4cf342","B","","B","C","","C"
"92db041","A","","A","A","","A"
"dbe98d3","","","","","",""
"9e9a81e","B","C","C","B","","B"
"90434eb","A","","A","A","","A"
"b11e6db","","","","","",""
"402df77","B","","B","B","","B"
"b1b2943","","","","","",""
"2feab0e","","","","","",""
"0f91d63","A","","A","A","","A"
"9ad2396","B","","B","A","","A"
"ae58bf1","A","","A","A","","A"
"ffa62f5","B","","B","C","","C"
"a289cae","","","","","",""
"2b5182a","","","","","",""
"6dcaf4a","","","","","",""
"0186834","A","","A","B","","B"
"233ee90","A","","A","A","","A"
"6e93efd","A","","A","A","","A"
"b901eca","","","","","",""
"c94e42e","A","","A","A","","A"
"e96f42c","A","","A","A","","A"
"7a35b75","A","","A","A","","A"
"cb521fc","","","","","",""
"0a19c7c","","","","","",""
"f42c435","","","","","",""
"f70e5cf","","","","","",""
"1db8420","B","","B","C","","C"
"01baaf6","A","","A","B","","B"
"c3db77a","A","","A","B","","B"
"41617bd","","","","","",""
"0fa3d65","","","","","",""
"1df700a","A","","A","A","","A"
"50a0fdd","A","","A","A","","A"
"c98ae69","","","","","",""
"af72486","A","","A","B","","B"
"0eb7fba","","","","","",""
"1288ac2","A","","A","A","","A"
"802d704","A","","A","A","","A"
"97879de","","","","","",""
"6568ea1","A","","A","B","","B"
"2cd7961","","","","","",""
"ca96db9","","","","","",""
"c1a9909","C","","C","C","","C"
"acc6118","A","","A","A","","A"
"2f5762a","B","","B","C","","C"
"399b994","A","","A","A","","A"
"b16e558","","","","","",""
"4c072d3","A","","A","A","","A"
"1e88a68","A","","A","A","","A"
"62447b9","A","","A","C","","C"
"5455b1d","C","","C","A","","A"
"220d07a","","","","","",""
"8a2ad40","","","","","",""
"5c97513","A","","A","A","","A"
"bf71578","","","","","",""
"f799335","","","","","",""
"ef7d623","A","","A","B","","B"
"6412561","","","","","",""
"48ce715","","","","","",""
"4aabc57","","","","","",""
"daa0e98","","","","","",""
"f8a30f5","","","","","",""
"87007b4","","","","","",""
"5e09b84","A","","A","A","","A"
"48ba4ef","","","","","",""
"2541155","A","","A","A","","A"
"6289e6c","A","","A","A","","A"
"db046f2","A","","A","A","","A"
"d2678bc","","","","","",""
"741ef32","A","","A","A","","A"
"7b3c431","A","","A","A","","A"
"bd650e8","A","","A","A","","A"
"79da67a","","","","","",""
"52d61f6","C","","C","A","","A"
"d91bf84","A","","A","A","","A"
"a7a34c0","","","","","",""
"c17e360","A","","A","A","","A"
"01cf486","","","","","",""
"44167d5","A","","A","A","","A"
"d2b514b","","","","","",""
"e0d7dcb","","","","","",""
"a921a9b","","","","","",""
"4c7f106","B","","B","A","","A"
"6c3f0f6","A","","A","A","","A"
"a123713","A","","A","B","","B"
"25f4734","B","","B","C","","C"
"e6de912","B","","B","A","","A"
"bea3da5","","","","","",""
"03fd6a4","","","","","",""
"c9fe84a","","","","","",""
"5b603bb","","","","","",""
"64581b1","","","","","",""
"b3d1f62","","","","","",""
"64eef60","","","","","",""
"06600a3","","","","","",""
"89d63ed","A","","A","A","","A"
"4ac71cf","B","","B","C","","C"
"048c402","","","","","",""
"56dc5c6","","","","","",""
"05ed313","","","","","",""
"969fd46","","","","","",""
"11acd26","","","","","",""
"844ab34","A","","A","A","","A"
"0327530","A","","A","B","","B"
"088d8b4","A","","A","A","","A"
"a300755","A","","A","A","","A"
"f0a4194","A","","A","A","","A"
"6eb7840","","","","","",""
"07b298c","A","","A","A","","A"
"b164bf7","A","","A","C","","C"
"aa9ac00","B","","B","A","","A"
"43b56f8","C","","C","C","","C"
"3b7f267","B","","B","C","","C"
"07e810f","","","","","",""
"1fdc0e6","","","","","",""
"528d0fe","A","","A","C","","C"
"8f8a090","","","","","",""
"76bbc0d","A","","A","B","","B"
"5eb33a0","","","","","",""
"4af2fee","A","","A","A","","A"
"ece9ce7","A","","A","A","","A"
"ea052b5","","","","","",""
"1b88f70","C","","C","A","","A"
"8c7b6a3","","","","","",""
"7779cac","","","","","",""
"8c74aa5","A","","A","C","","C"
"11593e6","","","","","",""
"7bb45d3","B","","B","B","","B"
"fcf59af","B","","B","C","","C"
"a2d2ca9","B","","B","A","","A"
"9d1768d","","","","","",""
"c98a1d1","","","","","",""
"dac5780","","","","","",""
"c504abb","","","","","",""
