"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"f91cb3f","","","","","",""
"65fc038","","","","","",""
"5a20153","","","","","",""
"9f4d288","B","","B","A","","A"
"a1efa63","","","","","",""
"5dbecee","C","","C","C","","C"
"f0d3a29","","","","","",""
"03d92de","","","","","",""
"9846ca8","B","","B","C","","C"
"bc1ad54","","","","","",""
"3abe69c","","","","","",""
"d3a396c","C","","C","C","","C"
"6f17bd1","","","","","",""
"637819c","","","","","",""
"9265cd7","","","","","",""
"43d0b63","C","","C","A","","A"
"dae9b13","C","","C","C","","C"
"5177026","B","","B","C","","C"
"9c76c21","","","","","",""
"d4122df","","","","","",""
"ce36e73","","","","","",""
"129e7fa","","","","","",""
"adce8fd","","","","","",""
"c9285e4","C","","C","C","","C"
"007a721","","","","","",""
"5d45bd1","C","","C","C","","C"
"cfcbc2d","B","","B","B","","B"
"fc53f6c","","","","","",""
"38c4951","B","","B","C","","C"
"3901ca4","","","","","",""
"d9696dd","B","","B","C","","C"
"e353d18","","","","","",""
"8655fd7","","","","","",""
"3e6beba","","","","","",""
"277c17a","","","","","",""
"cde7968","C","","C","C","","C"
"de45cef","","","","","",""
"d7ff55b","","","","","",""
"7b65802","C","","C","C","","C"
"45f7f6c","C","","C","C","","C"
"89f6d9e","C","B","B","B","","B"
"f9639b3","","","","","",""
"d5a5d03","","","","","",""
"8f7d05f","","","","","",""
"58cb4bb","","","","","",""
"4e53c5c","A","","A","A","","A"
"99cea42","","","","","",""
"0d1d4a2","","","","","",""
"a839247","C","","C","C","","C"
"3d3d373","","","","","",""
"48179d1","C","","C","C","","C"
"c587cf2","","","","","",""
"c9c92b5","C","","C","B","","B"
"a6dece0","","","","","",""
"32b1d7b","","","","","",""
"eecc636","","","","","",""
"ec511f8","","","","","",""
"ea146eb","","","","","",""
"7e62763","C","","C","B","","B"
"1415cd3","C","","C","C","","C"
"9a94644","","","","","",""
"b921637","C","","C","C","","C"
"bd4b2f4","C","B","B","B","","B"
"c094913","","","","","",""
"7622483","C","","C","A","","A"
"d876b22","","","","","",""
"331444e","","","","","",""
"d282bbe","","","","","",""
"ac83cfc","","","","","",""
"79b129c","C","","C","C","","C"
"ba60a18","","","","","",""
"e4c0f9c","C","","C","C","","C"
"aaad0b7","","","","","",""
"c34e373","A","","A","A","","A"
"5ad0638","","","","","",""
"33bcee6","C","","C","B","","B"
"8470e07","","","","","",""
"d003724","C","","C","B","","B"
"d361e6e","","","","","",""
"dcaa5d8","","","","","",""
"c0a644e","C","","C","C","","C"
"3ecbabb","B","","B","C","","C"
"03e6b48","","","","","",""
"20ab757","","","","","",""
"dd88e0f","C","","C","C","","C"
"6ab42f2","C","","C","C","","C"
"906f8e0","","","","","",""
"91152e5","","","","","",""
"aa07d95","C","","C","C","","C"
"924de30","C","","C","C","","C"
"86c5f35","C","","C","C","","C"
"f5c10f0","","","","","",""
"2373468","","","","","",""
"60a275a","","","","","",""
"5cf32f9","","","","","",""
"0dc300b","C","","C","B","","B"
"58b1c8e","B","","B","B","","B"
"a540012","C","","C","C","","C"
"02ed09a","","","","","",""
"95cc222","","","","","",""
"b81bc6e","C","B","B","C","","C"
"db7d9c3","C","","C","C","","C"
"d42a42d","","","","","",""
"3eaaa25","","","","","",""
"747ce5f","B","","B","B","","B"
"28ec805","C","","C","C","","C"
"fa1efad","C","","C","C","","C"
"9b6db7b","","","","","",""
"77a5d2f","C","","C","C","","C"
"5a4afae","C","","C","C","","C"
"4895bbd","","","","","",""
"81f41fd","C","","C","B","","B"
"6bac72b","C","","C","C","","C"
"daa4f97","","","","","",""
"ecbeb4e","","","","","",""
"f362392","","","","","",""
"0247e76","","","","","",""
"248b798","","","","","",""
"6de814d","","","","","",""
"83608d5","","","","","",""
"87b3434","C","","C","C","","C"
"fb37390","","","","","",""
"962a7dd","B","","B","A","","A"
"2ff47e5","","","","","",""
"419e9df","","","","","",""
"61e4a0f","","","","","",""
"9b37a26","","","","","",""
"7fb35e6","","","","","",""
"f382ec0","C","","C","C","","C"
"c95ac31","","","","","",""
"d135983","C","","C","C","","C"
"446ad6c","C","","C","C","","C"
"7da3821","C","","C","C","","C"
"b1d77f9","","","","","",""
"eb77de6","C","","C","C","","C"
"dd6da1c","","","","","",""
"79b65fb","","","","","",""
"c7a7d85","C","","C","C","","C"
"59c79dc","A","","A","A","","A"
"20430ae","","","","","",""
"217deff","","","","","",""
"697ddff","","","","","",""
"19b0291","","","","","",""
"693ef79","C","","C","B","","B"
"2b4cf59","","","","","",""
"51be121","C","","C","A","","A"
"d81c8ac","","","","","",""
"d33371d","B","","B","C","B","B"
"52266ec","","","","","",""
"ae59248","","","","","",""
"4714e95","","","","","",""
"e427669","","","","","",""
"4c892db","","","","","",""
"1c627cb","C","","C","B","","B"
"1f16f74","","","","","",""
"297d8e5","","","","","",""
"900150c","B","","B","B","","B"
"2d592aa","","","","","",""
"4358ef4","","","","","",""
"c494a29","B","","B","B","","B"
"38ed080","","","","","",""
"65acecd","","","","","",""
"d41cc3d","","","","","",""
