"","yo_1","yo_2","yo_final","otro_1","otro_2","otro_final"
"f91cb3f","B","","B","C","","C"
"65fc038","C","","C","C","","C"
"5a20153","C","","C","C","","C"
"9f4d288","C","","C","C","","C"
"a1efa63","A","","A","B","","B"
"5dbecee","C","","C","C","","C"
"f0d3a29","B","","B","A","","A"
"03d92de","","","","","",""
"9846ca8","B","","B","A","","A"
"bc1ad54","","","","","",""
"3abe69c","C","","C","C","","C"
"d3a396c","B","","B","B","","B"
"6f17bd1","B","","B","B","","B"
"637819c","B","","B","A","","A"
"9265cd7","C","","C","C","","C"
"43d0b63","A","","A","A","","A"
"dae9b13","B","","B","C","","C"
"5177026","B","","B","C","","C"
"9c76c21","C","","C","C","","C"
"d4122df","C","","C","C","","C"
"ce36e73","C","","C","C","","C"
"129e7fa","","","","","",""
"adce8fd","C","","C","C","","C"
"c9285e4","C","","C","C","","C"
"007a721","B","","B","A","","A"
"5d45bd1","C","B","B","A","B","B"
"cfcbc2d","C","","C","C","","C"
"fc53f6c","B","","B","C","","C"
"38c4951","B","","B","C","","C"
"3901ca4","","","","","",""
"d9696dd","C","","C","C","","C"
"e353d18","B","","B","C","","C"
"8655fd7","","","","","",""
"3e6beba","B","","B","B","","B"
"277c17a","","","","","",""
"cde7968","C","","C","C","","C"
"de45cef","A","C","C","C","","C"
"d7ff55b","C","","C","C","","C"
"7b65802","C","","C","C","","C"
"45f7f6c","C","","C","B","","B"
"89f6d9e","C","","C","C","","C"
"f9639b3","","","","","",""
"d5a5d03","","","","","",""
"8f7d05f","C","","C","C","","C"
"58cb4bb","C","","C","C","","C"
"4e53c5c","C","","C","B","","B"
"99cea42","","","","","",""
"0d1d4a2","","","","","",""
"a839247","B","","B","C","","C"
"3d3d373","","","","","",""
"48179d1","C","","C","B","","B"
"c587cf2","C","","C","C","","C"
"c9c92b5","C","","C","C","","C"
"a6dece0","C","","C","B","","B"
"32b1d7b","C","","C","C","","C"
"eecc636","","","","","",""
"ec511f8","C","","C","C","","C"
"ea146eb","C","","C","C","","C"
"7e62763","C","","C","C","","C"
"1415cd3","C","","C","C","","C"
"9a94644","","","","","",""
"b921637","C","","C","C","","C"
"bd4b2f4","B","","B","C","","C"
"c094913","B","","B","C","","C"
"7622483","C","","C","C","","C"
"d876b22","C","","C","C","","C"
"331444e","B","","B","C","","C"
"d282bbe","C","","C","C","","C"
"ac83cfc","B","","B","B","","B"
"79b129c","C","","C","C","","C"
"ba60a18","","","","","",""
"e4c0f9c","C","","C","B","","B"
"aaad0b7","C","","C","B","","B"
