"","x_1","x_2","x_final"
"f91cb3f","B","","B"
"65fc038","B","","B"
"5a20153","B","","B"
"9f4d288","B","","B"
"a1efa63","B","","B"
"5dbecee","B","","B"
"f0d3a29","B","","B"
"03d92de","","",""
"9846ca8","A","","A"
"bc1ad54","","",""
"3abe69c","B","","B"
"d3a396c","B","","B"
"6f17bd1","B","","B"
"637819c","B","B","B"
"9265cd7","A","","A"
"43d0b63","B","","B"
"dae9b13","B","","B"
"5177026","A","","A"
"9c76c21","B","","B"
"d4122df","B","","B"
"ce36e73","B","","B"
"129e7fa","","",""
"adce8fd","A","","A"
"c9285e4","A","","A"
"007a721","B","","B"
"5d45bd1","B","","B"
"cfcbc2d","B","","B"
"fc53f6c","B","","B"
"38c4951","A","","A"
"3901ca4","","",""
"d9696dd","B","","B"
"e353d18","B","","B"
"8655fd7","","",""
"3e6beba","B","","B"
"277c17a","","",""
"cde7968","A","","A"
"de45cef","B","","B"
"d7ff55b","B","","B"
"7b65802","B","","B"
"45f7f6c","B","","B"
"89f6d9e","B","","B"
"f9639b3","","",""
"d5a5d03","","",""
"8f7d05f","B","","B"
"58cb4bb","B","","B"
"4e53c5c","B","","B"
"99cea42","","",""
"0d1d4a2","","",""
"a839247","B","","B"
"3d3d373","","",""
"48179d1","B","","B"
"c587cf2","B","","B"
"c9c92b5","B","","B"
"a6dece0","B","","B"
"32b1d7b","B","","B"
"eecc636","","",""
"ec511f8","B","","B"
"ea146eb","B","A","A"
"7e62763","B","","B"
"1415cd3","B","","B"
"9a94644","","",""
"b921637","A","","A"
"bd4b2f4","B","","B"
"c094913","B","","B"
"7622483","B","","B"
"d876b22","B","","B"
"331444e","A","","A"
"d282bbe","B","","B"
"ac83cfc","A","B","B"
"79b129c","B","","B"
"ba60a18","","",""
"e4c0f9c","B","","B"
"aaad0b7","A","","A"
"c34e373","B","","B"
"5ad0638","B","","B"
"33bcee6","B","","B"
"8470e07","","",""
"d003724","B","","B"
"d361e6e","A","","A"
"dcaa5d8","A","","A"
"c0a644e","B","","B"
"3ecbabb","B","","B"
"03e6b48","B","","B"
"20ab757","B","","B"
"dd88e0f","B","","B"
"6ab42f2","A","","A"
"906f8e0","B","","B"
"91152e5","","",""
"aa07d95","B","","B"
"924de30","B","","B"
"86c5f35","B","","B"
"f5c10f0","B","","B"
"2373468","","",""
"60a275a","B","","B"
"5cf32f9","","",""
"0dc300b","B","","B"
"58b1c8e","B","","B"
"a540012","A","","A"
"02ed09a","A","","A"
"95cc222","","",""
"b81bc6e","B","B","B"
"db7d9c3","A","","A"
