"","genere","edat","pp","pp_v","pp_v_g","pp_bf","pp_bef","pp_bel","pp_bev","pp_bec","pp_bes","pp_bea","p_cuid","p_c","p_c_si","p_f","p_f_si","p_a","p_a_si","p_l","p_l_si","p_v","p_v_si","p_ac","p_ac_si","p_g1","p_g2","p_ass","p_prof","p_prof_si","country_alpha2","urban_rural","is_in_Catalonia","language"
"f91cb3f","f","4","Sí","Sí","a","m","a","a","b","b","nsdmp","a","Sí","Sí","a","Sí","m","Sí","m","Sí","a","No","","No","","b","m","Sí","No","","US","",False,"en"
"65fc038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5a20153","f","3","No","","","","","","","","","","No","No","","Sí","a","Sí","m","No","","No","","No","","a","a","Sí","No","","ES","urban",True,"ca"
"9f4d288","m","4","No","","","","","","","","","","No","No","","Sí","b","No","","No","","Sí","b","No","","b","b","Sí","Sí","apasa","ES","urban",True,"ca"
"a1efa63","f","2","Sí","Sí","nsdmp","b","m","nsdmp","nvr","nvr","b","a","No","nvr","","Sí","m","Sí","a","nvr","","nvr","","Sí","nvr","a","m","No","nvr","","ES","",False,"es"
"5dbecee","m","5","Sí","Sí","a","nsdmp","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","a","Sí","a","No","","Sí","b","No","","b","b","No","No","","ES","urban",True,"ca"
"f0d3a29","f","2","Sí","Sí","b","nsdmp","b","nvr","b","b","b","a","No","Sí","m","Sí","m","Sí","m","No","","Sí","b","Sí","m","m","b","Sí","nvr","","ES","",False,"es"
"03d92de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9846ca8","f","4","Sí","Sí","b","a","a","b","b","m","m","a","No","No","","Sí","m","Sí","a","Sí","m","nvr","","No","","a","a","No","Sí","a","ES","",False,"ca"
"bc1ad54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"de"
"3abe69c","f","1","Sí","Sí","a","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","a","No","Sí","m","Sí","b","No","","No","","No","","No","","","","","","","ES","rural",True,"ca"
"d3a396c","m","1","No","","","","","","","","","","No","No","","No","","Sí","m","No","","nvr","","Sí","b","m","m","No","No","","ES","urban",True,"ca"
"6f17bd1","f","2","No","","","","","","","","","","Sí","Sí","nvr","No","","Sí","m","Sí","a","nvr","","nvr","","a","m","Sí","Sí","psm","ES","urban",True,"ca"
"637819c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"9265cd7","m","5","Sí","No","","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","No","No","","No","","Sí","m","nvr","","nvr","","nvr","","b","m","No","No","","ES","urban",True,"ca"
"43d0b63","f","5","Sí","Sí","a","m","m","m","nsdmp","nsdmp","nsdmp","a","Sí","Sí","a","No","","Sí","a","No","","Sí","b","Sí","a","m","a","No","No","","ES","urban",True,"es"
"dae9b13","f","3","Sí","Sí","b","m","m","b","nsdmp","nvr","b","a","No","Sí","a","Sí","a","No","","Sí","b","nvr","","nvr","","m","b","No","Sí","a","ES","urban",True,"ca"
"5177026","f","1","Sí","Sí","a","b","a","nsdmp","nsdmp","b","a","a","No","Sí","a","Sí","m","Sí","a","nvr","","nvr","","Sí","b","m","a","Sí","Sí","a","US","",False,"en"
"9c76c21","m","4","Sí","Sí","m","b","b","nsdmp","nsdmp","nsdmp","nsdmp","a","No","No","","Sí","b","Sí","m","nvr","","No","","No","","b","m","No","No","","ES","urban",True,"ca"
"d4122df","d","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ES","rural",True,"ca"
"ce36e73","f","1","Sí","Sí","b","m","a","nsdmp","nsdmp","nsdmp","b","m","Sí","Sí","a","Sí","a","Sí","a","Sí","b","nvr","","nvr","","nvr","b","Sí","No","","US","",False,"en"
"129e7fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"adce8fd","m","1","Sí","Sí","a","b","m","nt","nsdmp","m","m","m","No","No","","Sí","m","Sí","a","nvr","","nvr","","Sí","b","m","m","Sí","nvr","","ES","",False,"es"
"c9285e4","f","3","Sí","Sí","b","nsdmp","nsdmp","nsdmp","nsdmp","nsdmp","b","a","No","No","","No","","Sí","a","No","","No","","No","","a","m","No","No","","ES","urban",True,"ca"
"007a721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"5d45bd1","m","2","No","","","","","","","","","","No","Sí","a","Sí","a","No","","No","","No","","No","","a","b","Sí","No","","ES","urban",True,"ca"
"cfcbc2d","f","2","No","","","","","","","","","","No","No","","No","","No","","No","","No","","No","","a","","Sí","Sí","psm","ES","urban",True,"ca"
"fc53f6c","f","1","Sí","Sí","nsdmp","nsdmp","b","b","nsdmp","nvr","m","nvr","No","Sí","b","nvr","","Sí","nvr","Sí","b","nvr","","No","","nvr","b","No","No","","US","",False,"en"
"38c4951","f","4","Sí","Sí","m","b","a","nt","nsdmp","nsdmp","m","m","No","Sí","m","No","","No","","No","","Sí","b","No","","b","b","Sí","No","","ES","urban",True,"ca"
"3901ca4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d9696dd","f","3","No","","","","","","","","","","No","No","","No","","No","","No","","nvr","","No","","b","","No","No","","ES","",False,"es"
"e353d18","m","4","Sí","Sí","a","a","m","nt","nsdmp","nsdmp","m","a","Sí","Sí","a","Sí","a","Sí","a","Sí","a","nvr","","Sí","m","m","m","Sí","Sí","a","ES","",False,"es"
"8655fd7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"3e6beba","f","4","Sí","Sí","b","b","b","m","nsdmp","nsdmp","b","m","Sí","No","","No","","Sí","m","Sí","m","No","","Sí","m","m","m","Sí","Sí","psm","ES","rural",True,"ca"
"277c17a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
"cde7968","f","5","Sí","Sí","a","a","a","nt","b","m","b","m","No","No","","No","","Sí","a","nvr","","Sí","m","Sí","m","m","m","Sí","nvr","","ES","urban",True,"ca"
"de45cef","f","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","US","",False,"en"
"d7ff55b","m","4","No","","","","","","","","","","No","No","","No","","Sí","a","Sí","a","No","","No","","m","a","No","Sí","psm","ES","rural",True,"ca"
"7b65802","m","3","Sí","No","","a","m","nsdmp","nsdmp","nsdmp","b","m","No","No","","No","","No","","Sí","b","nvr","","No","","b","b","Sí","No","","ES","urban",True,"ca"
"45f7f6c","f","4","Sí","Sí","a","nvr","a","b","b","m","b","m","No","No","","Sí","b","Sí","m","Sí","b","nvr","","No","","b","m","No","No","","ES","urban",True,"ca"
"89f6d9e","f","3","Sí","Sí","m","b","m","b","nsdmp","nsdmp","b","m","No","Sí","m","Sí","m","Sí","m","Sí","b","nvr","","nvr","","b","m","No","No","","MX","",False,"es"
"f9639b3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"d5a5d03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"en"
"8f7d05f","f","3","Sí","Sí","a","a","a","b","m","nsdmp","a","a","No","No","","Sí","b","No","","nvr","","nvr","","nvr","","nvr","b","No","No","","FI","",False,"en"
"58cb4bb","f","3","Sí","Sí","m","nsdmp","m","nsdmp","nsdmp","b","nsdmp","a","Sí","Sí","a","Sí","a","No","","No","","No","","No","","a","a","Sí","No","","ES","rural",True,"ca"
"4e53c5c","f","4","Sí","Sí","a","a","m","m","a","m","m","a","No","No","","No","","No","","Sí","a","Sí","m","Sí","a","a","a","Sí","Sí","apasa","ES","",False,"ca"
"99cea42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"0d1d4a2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"a839247","d","2","Sí","Sí","a","nsdmp","a","nsdmp","nsdmp","m","a","a","Sí","Sí","a","Sí","b","Sí","a","Sí","b","nvr","","Sí","b","a","a","Sí","Sí","apaso","ES","urban",True,"es"
"3d3d373","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"48179d1","f","2","Sí","nvr","","b","m","nsdmp","nsdmp","nsdmp","nsdmp","m","No","No","","No","","No","","No","","No","","No","","b","","Sí","No","","","",False,"en"
"c587cf2","d","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"c9c92b5","f","4","Sí","Sí","m","m","m","nt","nsdmp","nsdmp","b","a","Sí","Sí","a","Sí","a","No","","nvr","","nvr","","Sí","m","a","b","Sí","No","","ES","",False,"es"
"a6dece0","m","2","Sí","Sí","b","m","b","b","b","b","b","b","No","No","","No","","No","","Sí","b","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"32b1d7b","m","4","No","","","","","","","","","","No","Sí","a","No","","No","","Sí","b","No","","No","","b","a","No","No","","ES","urban",True,"ca"
"eecc636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"ca"
"ec511f8","f","5","Sí","No","","m","m","b","b","b","b","m","No","No","","Sí","m","No","","No","","nvr","","nvr","","b","nvr","Sí","Sí","apasa","ES","urban",True,"ca"
"ea146eb","f","1","Sí","Sí","a","m","m","nt","nsdmp","nvr","m","b","No","Sí","b","Sí","m","Sí","m","nvr","","No","","Sí","nvr","m","a","","","","ES","rural",True,"es"
"7e62763","f","3","Sí","Sí","a","m","a","m","nsdmp","b","b","b","No","No","","Sí","m","Sí","m","Sí","m","No","","nvr","","m","b","Sí","Sí","apaso","ES","",False,"ca"
"1415cd3","m","3","No","","","","","","","","","","No","No","","Sí","m","No","","No","","No","","No","","b","b","No","No","","ES","urban",True,"ca"
"9a94644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",False,"es"
