"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-10650.46096777916,"unknown",-10645.161017894745,-10638.291516542435,0.0,6.441785573959351,7.6834166049957275,15.556949138641357,57.46905994415283,63.11908149719238,66.9014949798584,"unknown","unknown",73.25301623344421,80.04737997055054,82.48814010620117,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.84048700332642,"","unknown",94.59872484207153,109.98556590080261,"unknown",115.50594401359558,"unknown",121.19742178916931,122.89524149894714,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",128.38025498390198,"unknown","unknown",133.8531563282013,""
"b5edd3c",-215025.45696926117,"unknown",-215019.26113843918,-215013.4401834011,0.0,5.812002897262573,11.653414726257324,19.241194486618042,39.92014241218567,46.159358501434326,53.0050733089447,"unknown",58.87689542770386,"unknown",64.66351675987244,67.00558805465698,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.67882561683655,"","unknown",80.13190698623657,84.51607847213745,91.24677610397339,"unknown","unknown",98.15611386299133,100.37325620651245,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",105.85342717170715,"unknown","unknown",111.86688756942749,""
"374ecf8",-8938.427881002426,"unknown",-8931.76418018341,-8925.560303926468,0.0,6.572232961654663,10.370510816574097,17.85385274887085,39.5762140750885,46.3036105632782,54.08614444732666,"unknown",59.808051109313965,"unknown",65.4491696357727,68.60162425041199,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.49019050598145,"","unknown",80.50303840637207,87.94391131401062,94.79376530647278,"unknown","unknown",101.04834961891174,103.74876880645752,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",110.37852001190186,"unknown","unknown",117.42301869392395,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.433816909790039,"unknown",30.013728618621826,"unknown",44.8045392036438,"unknown","unknown","unknown","unknown",61.08716011047363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",85.0452048778534,"unknown","unknown","unknown","unknown",101.24394822120667,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-8125.342314243317,"unknown",-8119.480377197266,-8112.1867842674255,0.0,6.795376539230347,5203.649698257446,5211.362522125244,5235.829711437225,5242.984768152237,5246.670310258865,5253.4870092868805,"unknown","unknown",5260.4916796684265,5263.7071006298065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",5269.399337768555,"","unknown",5275.47908616066,5280.327397584915,5286.271036863327,"unknown","unknown",5292.251611948013,5333.98738026619,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",5340.06911444664,"unknown","unknown",5346.550908088684,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",6.867546796798706,"unknown",32.84949731826782,"unknown",42.798380851745605,"unknown","unknown","unknown","unknown",59.669583797454834,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",76.73358058929443,"unknown","unknown","unknown","unknown",6184.721957445145,"unknown",6202.202385902405,"unknown","unknown","unknown","unknown",6216.675406694412,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",10.411156177520752,"unknown",49.65862846374512,"unknown",58.589847564697266,"unknown","unknown","unknown","unknown",71.39488315582275,"unknown",79.21615839004517,"unknown","unknown","unknown","unknown",94.21407508850098,"unknown","unknown","unknown","unknown","unknown","","unknown","unknown",116.86589360237122,"unknown","unknown","unknown","unknown",131.50108814239502,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-180991.57943844795,"unknown",-180986.2488040924,-180980.3124423027,0.0,6.57672643661499,9.714188814163208,17.799092054367065,43.74451160430908,49.75857353210449,64.06783533096313,"unknown",71.06332397460938,"unknown",76.51656413078308,79.69681358337402,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.94792318344116,"","unknown",94.26090741157532,118.93495798110962,"unknown",126.18764233589172,"unknown",132.94659876823425,135.4832046031952,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",140.95329332351685,"unknown","unknown",147.0750856399536,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",12.052681922912598,"unknown",78.32894682884216,"unknown",92.57374548912048,"unknown","unknown","unknown","unknown",120.90240049362183,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",142.18086671829224,"unknown","unknown","unknown","unknown",1389.8867666721344,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"4e53c5c",-372302.80617785454,"unknown",-372295.68823194504,-372287.9718468189,0.0,6.686135530471802,12.034756898880005,19.16689944267273,50.19641947746277,56.11312818527222,74.33327627182007,"unknown",80.35054779052734,"unknown",86.33785319328308,88.92785978317261,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.1104383468628,"","unknown",101.48990154266357,100078.62945246696,100085.12564015388,"unknown","unknown",100092.4507586956,100096.88686585426,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",100102.46590256691,"unknown","unknown",100109.20181465149,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",12.268781900405884,"unknown",62.79175686836243,"unknown",162.34573817253113,"unknown","unknown","unknown","unknown",177.24037766456604,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",196.11542105674744,"unknown","unknown","unknown","unknown",211.35290551185608,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",16.097434282302856,"unknown",44.58499598503113,"unknown",59.26091909408569,"unknown","unknown","unknown","unknown",74.38172745704651,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",95.75697922706604,"unknown","unknown","unknown","unknown",109.98228192329407,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6",-21310.465146780014,"unknown",-21304.244173049927,-21298.016144514084,0.0,6.304292440414429,67.27481532096863,74.83763790130615,104.3601303100586,110.86815190315247,121.12957453727722,"unknown","unknown",127.41549611091614,133.2730233669281,135.7449550628662,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.5875973701477,"","unknown",149.26673984527588,192.53683352470398,"unknown",198.12587714195251,"unknown",203.54322862625122,205.38551664352417,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",212.57493829727173,"unknown","unknown",219.5787069797516,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",9.835091829299927,"unknown",73.67812705039978,"unknown",82.40037798881531,"unknown","unknown","unknown","unknown",99.75320434570312,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",137.14371132850647,"unknown","unknown","unknown","unknown",152.61135387420654,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-300081.9387214184,"unknown",-300075.8191971779,-300069.49609827995,0.0,5.858182668685913,12.032246112823486,20.440690755844116,47.095500230789185,53.55673885345459,56.678606033325195,63.74493217468262,"unknown","unknown",69.6285834312439,72.97772979736328,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.41325426101685,"","unknown",84.8013129234314,101.98200392723083,"unknown","unknown",108.52912211418152,115.72547435760498,119.62909364700317,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",126.72868180274963,"unknown","unknown",132.41563081741333,""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",10.166700601577759,"unknown",31.139171361923218,"unknown",40.21323752403259,"unknown","unknown","unknown","unknown",55.07874774932861,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",72.99828958511353,"unknown","unknown","unknown","unknown",87.8339295387268,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
