"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-16191.549400091171,"unknown",-16185.028433084488,-16177.969527721405,0.0,6.746272325515747,8.997676372528076,16.11078929901123,30.511886596679688,36.031184673309326,38.93690252304077,"unknown",44.79691696166992,"unknown",51.57298755645752,53.321606397628784,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.01039719581604,"unknown",66.2550745010376,72.94702935218811,78.20745921134949,"unknown","unknown",85.3847107887268,86.7522029876709,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.65715050697327,"unknown","unknown",99.37929844856262,""
"b5edd3c",-56026.936797618866,"unknown",-56019.674691438675,-56013.52430319786,0.0,5.7700514793396,8.449118614196777,14.291436195373535,24.764147758483887,31.48294234275818,33.1977264881134,38.465734243392944,"unknown","unknown",44.24996018409729,46.95710825920105,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",52.43814039230347,"unknown",59.020025968551636,60.83825325965881,66.20786666870117,"unknown","unknown",71.89996671676636,74.2074179649353,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.79947662353516,"unknown","unknown",85.79517912864685,""
"374ecf8",-14110.88825559616,"unknown",-14103.997133731842,-14098.064946651459,0.0,5.607846736907959,7.830912113189697,14.567474842071533,30.243932485580444,36.03635311126709,39.26824736595154,"unknown",46.22142481803894,"unknown",53.19133424758911,55.563005685806274,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.05355262756348,"unknown",68.00669598579407,2368.3748722076416,"unknown",2373.8430790901184,"unknown",2379.4946739673615,2531.995742082596,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2538.734304666519,"unknown","unknown",2546.1120343208313,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",35.06128525733948,"unknown",101.78190207481384,"unknown",130.46323037147522,"unknown","unknown","unknown","unknown",143.3662552833557,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",254.445081949234,"unknown","unknown","unknown","unknown",287.28633975982666,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-102490.27039384842,"unknown",-102484.87290453911,-102478.950040102,0.0,6.068993806838989,19.48103666305542,26.70134711265564,37.020265102386475,44.09696388244629,50.45443916320801,56.72370886802673,"unknown","unknown",63.92536973953247,65.76056051254272,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.76609349250793,"unknown",78.73343968391418,85.06691575050354,92.04405760765076,"unknown","unknown",99.08833003044128,100.52642917633057,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.08371043205261,"unknown","unknown",113.04901337623596,""
"2541155",-1799.816651582718,"unknown",-1793.2912294864655,-1787.8570942878723,0.0,7.435854434967041,10.069942712783813,17.019003868103027,18.34016752243042,24.737743854522705,47.49309515953064,53.737786531448364,"unknown","unknown",59.743067026138306,61.82022190093994,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.85942053794861,"unknown",74.38161897659302,76.22285985946655,82.45050239562988,"unknown","unknown",87.84127879142761,8999.903943777084,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",9005.862075090408,"unknown","unknown",9011.844326496124,""
"ac6f3f6",-69309.65784025192,"unknown",-69303.13241910934,-69296.48814988136,0.0,5.365338087081909,16.6911301612854,23.732093572616577,77.32255434989929,82.78069567680359,125.84210324287415,"unknown",132.87293934822083,"unknown",139.48321294784546,147.68976163864136,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",154.29421639442444,"unknown",161.6096649169922,180.76157069206238,187.42852759361267,"unknown","unknown",192.87528610229492,194.5588505268097,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",199.89337706565857,"unknown","unknown",205.53497219085693,""
"62447b9",-1028488.0744075775,"unknown",-1028482.8851623535,-1028476.7360713482,0.0,6.1677680015563965,8.42036509513855,14.00886845588684,33.90467405319214,40.73397183418274,56.843175411224365,"unknown",63.869977951049805,"unknown",70.93233227729797,73.03730535507202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.80068397521973,"unknown",85.83290576934814,131.02677583694458,137.91328954696655,"unknown","unknown",144.64165210723877,147.66864657402039,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",153.74572777748108,"unknown","unknown",159.87277102470398,""
"20f3e2e",-19228.253972053528,"unknown",-19222.54647707939,-19217.029240131378,0.0,6.041666269302368,10.22074294090271,16.20637345314026,82.66817688941956,88.2529125213623,90.29647707939148,"unknown",97.08841586112976,"unknown",102.90003228187561,104.50061321258545,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.81539249420166,"unknown",117.03850030899048,124.83923983573914,"unknown",130.3745892047882,"unknown",137.4180417060852,163.79772448539734,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",169.75289630889893,"unknown","unknown",175.61084938049316,""
