"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-75.8245358467102,"unknown",-70.50233578681946,-64.16604375839233,0.0,5.866142988204956,11564.554763317108,11572.258448600769,22496.71514391899,22502.192020893097,22520.704864501953,"unknown",22527.293751239777,"unknown",22533.98134994507,22538.362783670425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",22544.746670484543,"","unknown",22551.22281551361,22562.409893751144,"unknown",22568.504623889923,"unknown",22574.63003563881,22577.74325299263,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",22583.50104880333,"unknown","unknown",22589.944809436798
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-42329.23330450058,"unknown",-42322.284715890884,-42315.78602266312,0.0,6.936172962188721,12.74209451675415,21.376981258392334,36.11033821105957,41.84395217895508,44.61805510520935,50.11034679412842,"unknown","unknown",56.42088866233826,58.337913274765015,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.10208463668823,"","unknown",70.13278818130493,73.3366973400116,80.52246642112732,"unknown","unknown",86.30472421646118,88.06292009353638,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.39928984642029,"unknown","unknown",99.15147876739502
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-3859.7535939216614,"unknown",-3854.309714317322,-3847.947615623474,0.0,7.124334812164307,9.735282897949219,17.779800176620483,109.3472044467926,116.77578496932983,119.58327293395996,126.02054238319397,"unknown","unknown",131.95312547683716,154.3558795452118,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160.66861176490784,"","unknown",166.3032841682434,182.3573603630066,188.08742356300354,"unknown","unknown",195.06113243103027,204.87929892539978,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",211.80882239341736,"unknown","unknown",218.51089930534363
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-7842.926330804825,"unknown",-7836.557306289673,-7830.60298371315,0.0,7.022490501403809,8.562039852142334,16.122977256774902,31.29658079147339,37.84303593635559,40.71867322921753,"unknown",46.603920698165894,"unknown",52.61435008049011,4340.309369087219,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4354.672476053238,"","unknown",4360.919479608536,4386.639906406403,4394.330832958221,"unknown","unknown",4401.613126039505,4410.417465686798,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",4421.233402252197,"unknown","unknown",4430.481091499329
"ac6f3f6",-9859.673753499985,"unknown",-9853.164023637772,-9846.406705617905,0.0,5.5800087451934814,19.764410972595215,28.403064727783203,45.39441657066345,51.0764901638031,57.48976182937622,"unknown",64.1710798740387,"unknown",70.16151285171509,71.3796329498291,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.5636396408081,"","unknown",85.21630144119263,89.8497269153595,95.29141020774841,"unknown","unknown",100.70025730133057,102.11692523956299,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.87979197502136,"unknown","unknown",116.091228723526
"62447b9",-903737.5221273899,"unknown",-903730.631939888,-903725.4207499027,0.0,5.667892217636108,7.600918292999268,16.368619441986084,42.91149854660034,49.16063332557678,52.951032876968384,"unknown","unknown",59.695778131484985,65.1613826751709,77.18467712402344,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.5129599571228,"","unknown",89.56925320625305,112.22157287597656,"unknown",118.37641596794128,"unknown",125.01598119735718,130.02025389671326,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.46140360832214,"unknown","unknown",141.58154320716858
"20f3e2e",-5067.351489543915,"unknown",-5061.404134511948,-5054.51783823967,0.0,5.569196462631226,11.389789342880249,21.58459448814392,40.66910719871521,47.43582201004028,49.34224891662598,"unknown","unknown",56.28772759437561,61.9570586681366,64.10941648483276,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.7873022556305,"","unknown",75.72712326049805,78.10137939453125,"unknown","unknown",85.04263710975647,91.61466765403748,98.22265815734863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.55004906654358,"unknown","unknown",110.37408566474915
