"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-10154.63509440422,"unknown",-10148.814213752747,-10142.104440450668,0.0,7.608114242553711,12.35890245437622,19.308608055114746,21.253150939941406,27.85991334915161,35.14070224761963,41.47293472290039,"unknown","unknown",47.16085934638977,65.13397574424744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.07372236251831,"","unknown",77.95323014259338,79.53083086013794,85.64920926094055,"unknown","unknown",92.58142447471619,94.48835968971252,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.0963249206543,"unknown","unknown",106.0625696182251
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-396.0525486469269,"unknown",-388.8361556529999,-382.905433177948,0.0,5.314867734909058,9.170969724655151,17.538514852523804,27.828242540359497,33.75769591331482,39.41482758522034,"unknown",45.44002890586853,"unknown",52.18686294555664,54.719887256622314,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.69387936592102,"","unknown",67.60676074028015,69.6673583984375,"unknown",76.62100338935852,"unknown",82.56899499893188,84.43311715126038,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.69891142845154,"unknown","unknown",96.43537878990173
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-54812.58905148506,"unknown",-54806.37786221504,-54800.43985748291,0.0,5.852909803390503,45.366036891937256,54.14971375465393,62.86725091934204,70.27439165115356,74.48232650756836,"unknown",79.7905204296112,"unknown",85.0892505645752,86.90867948532104,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.88900399208069,"","unknown",100.43505573272705,105.74170708656311,112.09450125694275,"unknown","unknown",119.19393348693848,136.35748386383057,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.74993228912354,"unknown","unknown",150.36473560333252
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-3633.1288266181946,"unknown",-3627.4507768154144,-3621.640959739685,0.0,7.103341817855835,10.734938621520996,18.664493083953857,31.487308502197266,38.992701053619385,43.59520649909973,"unknown","unknown",48.96472215652466,56.10255551338196,65.25540328025818,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.14790225028992,"","unknown",77.27282524108887,80.31139183044434,86.20884323120117,"unknown","unknown",91.84407806396484,94.31122469902039,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.50165748596191,"unknown","unknown",107.04227709770203
"ac6f3f6",-2623.5181844234467,"unknown",-2617.3213596343994,-2611.0584325790405,0.0,6.332776069641113,14.188939571380615,22.134867906570435,33.67073845863342,39.500463008880615,43.42758655548096,"unknown","unknown",49.04707193374634,54.8989462852478,56.6327965259552,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.44237208366394,"","unknown",68.66261982917786,71.18945908546448,"unknown",77.9158148765564,"unknown",83.56184649467468,85.71339082717896,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.02219271659851,"unknown","unknown",96.35353112220764
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-9797.99669957161,"unknown",-9791.916012763977,-9786.535981416702,0.0,6.701600074768066,10.795457363128662,18.33418893814087,28.064624071121216,33.80323934555054,37.83449125289917,"unknown","unknown",44.05570077896118,50.20897674560547,51.796035051345825,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.6727192401886,"","unknown",65.07384204864502,73.86677050590515,"unknown","unknown",80.05698752403259,87.23198962211609,88.71226787567139,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.13798666000366,"unknown","unknown",100.97797441482544
