"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-1022.6902024745941,"unknown",-1015.9974980354309,-1009.3282639980316,0.0,14.36502981185913,17.75061869621277,23.4537935256958,49.92420935630798,56.86555361747742,58.7100465297699,"unknown",64.62483477592468,"unknown",70.12270164489746,74.46062278747559,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.30628252029419,"","unknown",85.947927236557,87.97201824188232,"unknown",94.4525237083435,"unknown",100.54423713684082,102.32423996925354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.4948422908783,"unknown","unknown",116.12436366081238,""
"b5edd3c",-202323.24602413177,"unknown",-202317.52692341805,-202310.38335204124,0.0,6.8204874992370605,10.33133864402771,17.20631194114685,32.31538772583008,38.618061542510986,40.32266187667847,46.20307493209839,"unknown","unknown",52.59673357009888,54.43859076499939,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.79372262954712,"","unknown",66.38691210746765,67.83372688293457,74.02290105819702,"unknown","unknown",79.62583136558533,81.15192341804504,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.88761472702026,"unknown","unknown",93.6762363910675,""
"374ecf8",-30613.280567884445,"unknown",-30607.472918510437,-30600.917667150497,0.0,6.315161943435669,8.07977819442749,14.411076068878174,19.894545793533325,26.59531831741333,50.36454772949219,56.658671617507935,"unknown","unknown",64.03266930580139,65.8120973110199,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.06616353988647,"","unknown",77.44000673294067,84.02168083190918,"unknown",90.55456900596619,"unknown",97.48160696029663,99.55391836166382,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.39286279678345,"unknown","unknown",111.59863924980164,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.729392290115356,"unknown",22.62953233718872,"unknown",39.946462631225586,"unknown","unknown","unknown","unknown",58.39704084396362,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",82.4553542137146,"unknown","unknown","unknown","unknown",103.98783326148987,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-13998.763326406479,"unknown",-13991.718529224396,-13984.729583263397,0.0,5.436269998550415,7.6146979331970215,13.708556652069092,25.37301230430603,30.787952661514282,32.71229076385498,38.71572732925415,"unknown","unknown",44.65298080444336,47.09256458282471,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.05995559692383,"","unknown",60.156349658966064,68.07703495025635,73.81533360481262,"unknown","unknown",80.31897568702698,82.14547061920166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.18401598930359,"unknown","unknown",93.970299243927,""
"2541155",-5354.455203533173,"unknown",-5347.702483415604,-5341.01756477356,0.0,7.218121528625488,20.753057718276978,27.988515853881836,56.681177854537964,62.57432436943054,64.76395106315613,70.88861966133118,"unknown","unknown",76.56047320365906,80.54257869720459,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.74115490913391,"","unknown",93.73190140724182,98.03921723365784,"unknown","unknown",104.46545362472534,110.37205386161804,113.47517943382263,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.64803504943848,"unknown","unknown",127.30993676185608,""
"ac6f3f6",-113.26889872550964,"unknown",-107.93003940582275,-101.68653869628906,0.0,7.132200717926025,10.572394371032715,16.67332410812378,32.3540575504303,39.384942054748535,47.967753171920776,"unknown",53.69848871231079,"unknown",60.23748016357422,61.58380126953125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.02953290939331,"","unknown",73.8704628944397,76.26310968399048,82.16963624954224,"unknown","unknown",88.31116890907288,91.22320461273193,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.03924131393433,"unknown","unknown",103.4544129371643,""
"62447b9",-12946.091801643372,"unknown",-12938.752115488052,-12932.827946186066,0.0,7.018720865249634,15.82527780532837,21.30576229095459,50.9693763256073,56.91780710220337,69.61095571517944,"unknown","unknown",76.5561273097992,82.15538477897644,84.91363573074341,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.43176984786987,"","unknown",96.82090306282043,122.13232135772705,"unknown",127.74464154243469,"unknown",133.952157497406,136.27543663978577,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.96478152275085,"unknown","unknown",148.272136926651,""
"20f3e2e",-30734.73258781433,"unknown",-30729.017182588577,-30721.74893426895,0.0,5.557471990585327,12.587704181671143,19.023783206939697,67.67176556587219,73.68711638450623,76.56726741790771,"unknown",82.79393482208252,"unknown",89.95310235023499,96.00720191001892,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.05145955085754,"","unknown",108.97189259529114,112.96461606025696,"unknown",118.77685594558716,"unknown",124.5607557296753,126.06756663322449,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.4493453502655,"unknown","unknown",138.63922476768494,""
