"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-451.38434386253357,"unknown",-445.3141715526581,-439.20848417282104,0.0,5.387651443481445,6.630010366439819,13.499931573867798,26.166398763656616,32.91810345649719,50.406505823135376,57.25321936607361,"unknown","unknown",62.84672427177429,151.88294672966003,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",158.97916531562805,"","unknown",164.96896290779114,172.4367814064026,177.80592584609985,"unknown","unknown",184.88681149482727,812786.6948213577,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",812792.3486139774,"unknown","unknown",812797.9957063198,""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",10.104268789291382,"unknown",36.50998258590698,"unknown",46.04236674308777,"unknown","unknown","unknown","unknown",61.80729150772095,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",78.64375305175781,"unknown","unknown","unknown","unknown",96.5980384349823,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"374ecf8",-2832154.4833557606,"unknown",-2832149.2915258408,-2832143.7583122253,0.0,5.353502988815308,9.495973110198975,18.155020475387573,45.2301607131958,51.40577960014343,87.07994723320007,"unknown",93.36951041221619,"unknown",100.50845742225647,110.27471351623535,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",116.38966417312622,"","unknown",122.51446151733398,158.79051637649536,"unknown",165.26748824119568,"unknown",172.37269377708435,175.6019778251648,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",182.6953947544098,"unknown","unknown",189.27600359916687,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",7.825097322463989,"unknown",53.546142578125,"unknown",64.29825639724731,"unknown","unknown","unknown","unknown",81.57707905769348,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",103.27575087547302,"unknown","unknown","unknown","unknown",119.64107346534729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-6167.4319405555725,"unknown",-6160.313764810562,-6154.712220430374,0.0,7.364100456237793,10.140388011932373,17.9158673286438,34.23576307296753,41.76020836830139,49.11653280258179,"unknown",56.12261462211609,"unknown",63.04243183135986,65.168781042099,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",72.18711376190186,"","unknown",78.6217749118805,84.31807732582092,90.01635789871216,"unknown","unknown",96.26219987869263,98.17588376998901,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.94603610038757,"unknown","unknown",109.46118688583374,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",7.246787071228027,"unknown",30.198955059051514,"unknown",41.42855191230774,"unknown","unknown","unknown","unknown",55.30768299102783,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",82.09852814674377,"unknown","unknown","unknown","unknown",97.5928122997284,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",10.135507106781006,"unknown",36.79069399833679,"unknown",51.26699876785278,"unknown","unknown","unknown","unknown",65.69157242774963,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",84.92616605758667,"unknown","unknown","unknown","unknown",99.54418992996216,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-102722.65842723846,"unknown",-102716.38861227036,-102709.7599132061,0.0,6.315911769866943,9.732356786727905,16.650686264038086,39.29551982879639,46.24749231338501,70.32619190216064,"unknown","unknown",77.16531586647034,83.17268681526184,87.66517186164856,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",93.36506533622742,"","unknown",98.76767683029175,109.56971001625061,"unknown","unknown",116.97889256477356,122.98370480537415,125.5808482170105,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.35132431983948,"unknown","unknown",138.43614268302917,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",12.766546487808228,"unknown",48.31674814224243,"unknown",73.09618425369263,"unknown","unknown","unknown","unknown",89.35641765594482,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",119.6207046508789,"unknown","unknown","unknown","unknown",133.58982801437378,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",11.047394514083862,"unknown",52.68073844909668,"unknown",70.12009763717651,"unknown","unknown","unknown","unknown",85.46855425834656,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",105.95696520805359,"unknown","unknown","unknown","unknown",122.38506126403809,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",14.820056200027466,"unknown",106.38726019859314,"unknown",155.333270072937,"unknown","unknown","unknown","unknown",173.65235137939453,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",213.94366645812988,"unknown","unknown","unknown","unknown",228.03020668029785,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",10.926152229309082,"unknown",50.98335242271423,"unknown",64.51729416847229,"unknown","unknown","unknown","unknown",84.2276542186737,"unknown",101.4440701007843,"unknown","unknown","unknown","unknown",117.49158549308777,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",136.45813870429993,"unknown","unknown","unknown","unknown",152.4641354084015,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,6.781445026397705,11.268450498580933,19.61998438835144,50.80699014663696,57.08284521102905,71.89726376533508,"unknown","unknown",77.44443345069885,84.37516164779663,87.36005306243896,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",93.9948558807373,"","unknown",101.05709910392761,115.19537019729614,"unknown",121.74852800369263,"unknown",128.77193903923035,132.15520358085632,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.90763449668884,"unknown","unknown",145.78011798858643,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",44.073813915252686,"unknown",784.9180257320404,"unknown",809.4124484062195,"unknown","unknown","unknown","unknown",824.8656554222107,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",847.240434885025,"unknown","unknown","unknown","unknown",864.325807094574,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
