"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-10379.991706371307,"unknown",-10374.483915567398,-10367.973551034927,0.0,5.714014291763306,525740.0169980526,525747.3359725475,537756.8084433079,537763.8781690598,538891.0255761147,"unknown",538898.1077358723,"unknown",538904.0640964508,538918.626811266,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",538925.1772766113,"unknown",538931.2331860065,538936.5601463318,"unknown",538943.6545908451,"unknown",538949.4566960335,539198.9009637833,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",539204.3906960487,"unknown","unknown",539211.0860216618
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-69129.71202015877,"unknown",-69122.41785955429,-69115.97073984146,0.0,6.01059365272522,11.023215532302856,19.62619972229004,40.41414189338684,47.21339178085327,56.89784264564514,"unknown",63.3490731716156,"unknown",70.49383544921875,73.31947374343872,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.62004494667053,"unknown",86.3825192451477,88.54815936088562,"unknown",95.61482453346252,"unknown",102.04851055145264,103.60637950897217,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.77135014533997,"unknown","unknown",116.66677951812744
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-21535.038096904755,"unknown",-21529.67580294609,-21522.62524652481,0.0,6.447088718414307,9.455348491668701,17.489046335220337,31.03306531906128,37.6534149646759,42.56812357902527,"unknown","unknown",49.77594208717346,56.46860980987549,58.21485114097595,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.0696370601654,"unknown",70.29371905326843,77.55523633956909,"unknown",83.3216290473938,"unknown",89.2233145236969,90.80728602409363,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.25366163253784,"unknown","unknown",102.92479252815247
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-31632.819923877716,"unknown",-31626.116523981094,-31619.373216867447,0.0,5.869326114654541,7.062619686126709,14.130615711212158,17.22309947013855,23.969464778900146,51.12113428115845,57.07935905456543,"unknown","unknown",64.16231536865234,66.56566762924194,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.9910945892334,"unknown",79.84005045890808,104.66501235961914,"unknown","unknown",110.63716840744019,117.41241502761841,120.37886452674866,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.67622327804565,"unknown","unknown",132.9255816936493
"ac6f3f6",-2795.1132979393005,"unknown",-2789.206811904907,-2782.9660561084747,0.0,6.232818603515625,9.486520767211914,18.107046842575073,49.68527889251709,55.72397446632385,65.65663409233093,"unknown","unknown",71.23488640785217,77.39814877510071,81.39219260215759,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.05531120300293,"unknown",93.36538100242615,101.92607402801514,107.79960560798645,"unknown","unknown",113.68830418586731,116.77110171318054,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",123.0987617969513,"unknown","unknown",130.18363690376282
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-36178.199629068375,"unknown",-36172.6395111084,-36165.89767861366,0.0,5.481188774108887,9.449531555175781,19.3524169921875,54.23047208786011,59.84558176994324,81.45027327537537,"unknown",87.17863273620605,"unknown",94.00617861747742,95.86436939239502,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.4059886932373,"unknown",107.87803888320923,113.72720050811768,"unknown",120.85326385498047,"unknown",126.11988639831543,127.87127161026001,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",133.68374466896057,"unknown","unknown",139.7893624305725
