"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-9003.946506977081,"unknown",-8997.533775091171,-8990.50163435936,0.0,6.469736099243164,13.127790927886963,21.696868896484375,92.7933464050293,99.33294916152954,102.95318937301636,109.61039519309998,"unknown","unknown",115.61555480957031,127.01506662368774,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.24189639091492,"","unknown",139.22907638549805,145.81750893592834,152.9727702140808,"unknown","unknown",160.12698316574097,163.335688829422,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",169.75608277320862,"unknown","unknown",177.12727165222168
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-69782.84334158897,"unknown",-69776.63565659523,-69770.31795835495,0.0,7.052574157714844,11.905351400375366,19.888106107711792,700.0904211997986,705.9726364612579,707.9568777084351,714.0364973545074,"unknown","unknown",720.7484261989594,762.7060987949371,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",769.6570045948029,"","unknown",775.4331705570221,787.9364721775055,794.4968404769897,"unknown","unknown",800.9130399227142,804.3908290863037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",810.8446788787842,"unknown","unknown",816.3063204288483
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-108187.92067718506,"unknown",-108180.80178523064,-108174.91086316109,0.0,7.10190749168396,17.963407039642334,25.28499937057495,42.907201290130615,49.48831653594971,51.06377148628235,58.04381489753723,"unknown","unknown",65.20622658729553,67.06242537498474,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.85404682159424,"","unknown",78.6770191192627,81.99657559394836,88.16059994697571,"unknown","unknown",94.08004260063171,103.53523421287537,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.71317434310913,"unknown","unknown",116.56949830055237
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-15.947460174560547,"unknown",-10.016323328018188,-4.56208062171936,0.0,6.40246057510376,12.33007001876831,19.257279872894287,31.059731483459473,36.42006158828735,37.911176919937134,43.45475792884827,"unknown","unknown",49.123807430267334,50.72421860694885,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.5330114364624,"","unknown",62.799609899520874,64.88512873649597,71.47944498062134,"unknown","unknown",76.92116618156433,78.78407549858093,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.24655222892761,"unknown","unknown",89.68758201599121
"ac6f3f6",-36.85392761230469,"unknown",-31.365869283676147,-24.921412706375122,0.0,6.803976535797119,1265.5037276744843,1273.0460793972015,1594.1132700443268,1600.376315832138,1614.6394176483154,"unknown","unknown",1620.6852858066559,1626.6376860141754,1628.9539091587067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1635.9974489212036,"","unknown",1642.4423882961273,1652.5834786891937,1658.7338733673096,"unknown","unknown",1664.4843673706055,1669.6258022785187,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1676.6955301761627,"unknown","unknown",1682.7164685726166
"62447b9",-446019.2649242878,"unknown",-446012.2212276459,-446004.911339283,0.0,6.554945707321167,9.243991136550903,17.877508878707886,44.87183141708374,51.608734130859375,56.265066623687744,"unknown","unknown",62.3498752117157,69.24661326408386,71.59539294242859,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.77018761634827,"","unknown",84.97772765159607,112.87715601921082,118.45911979675293,"unknown","unknown",125.05505967140198,126.97831749916077,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",133.36917757987976,"unknown","unknown",140.19869828224182
"20f3e2e",-189.47351670265198,"unknown",-183.75193619728088,-178.37710213661194,0.0,5.778244256973267,10.856938600540161,19.282376289367676,39.90882635116577,46.31686758995056,55.26575565338135,"unknown","unknown",61.399017095565796,68.16925358772278,70.34109425544739,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.72159910202026,"","unknown",83.65252542495728,86.87459778785706,"unknown",94.06068778038025,"unknown",99.92437219619751,101.18547201156616,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.46324729919434,"unknown","unknown",112.51327300071716
