"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-199589.30743646622,"unknown",-199582.34103512764,-199575.07434606552,0.0,6.693927764892578,9.013121366500854,14.676169157028198,33.728262186050415,39.89570188522339,53.515406370162964,59.768049478530884,"unknown","unknown",66.16433358192444,67.82760787010193,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.32302832603455,"","unknown",79.97022700309753,82.01536965370178,87.33602452278137,"unknown","unknown",94.20954179763794,97.08605098724365,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.08914995193481,"unknown","unknown",108.77733755111694,""
"b5edd3c",-110912.32660913467,"unknown",-110906.31062912941,-110900.1116759777,0.0,5.785795450210571,8.013170003890991,14.531662702560425,27.69878339767456,33.455947160720825,35.28229022026062,40.837950706481934,"unknown","unknown",46.91620445251465,48.951435804367065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.718286991119385,"","unknown",61.63674235343933,63.27032947540283,69.45775079727173,"unknown","unknown",75.15323042869568,77.94378757476807,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.24406123161316,"unknown","unknown",91.46284103393555,""
"374ecf8",-6839.721504211426,"unknown",-6832.9103083610535,-6826.369136810303,0.0,7.273321151733398,9.084877490997314,15.617376565933228,28.33338475227356,34.88207769393921,37.83603024482727,44.46697020530701,"unknown","unknown",50.25259351730347,52.3081910610199,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.75844073295593,"","unknown",64.89023160934448,70.75693202018738,77.10206937789917,"unknown","unknown",83.5257363319397,85.1331672668457,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.72043752670288,"unknown","unknown",96.50993323326111,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",7.952702283859253,"unknown",29.49646234512329,"unknown",37.56704568862915,"unknown","unknown","unknown","unknown",57.55279588699341,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",119.97180771827698,"unknown","unknown","unknown","unknown",136.3868761062622,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-52585.66695141792,"unknown",-52578.86380648613,-52573.679691791534,0.0,6.992981195449829,8.829768657684326,14.638586282730103,32.51309943199158,37.96430444717407,40.504465103149414,45.97321796417236,"unknown","unknown",51.163763999938965,53.480855226516724,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.429208278656006,"","unknown",66.3312349319458,68.61645793914795,74.75012040138245,"unknown","unknown",80.53906536102295,2833.4732213020325,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2838.9536731243134,"unknown","unknown",2845.9502923488617,""
"ac6f3f6",-368283.9665336609,"unknown",-368277.8682603836,-368270.94097590446,0.0,7.397943735122681,20.71448016166687,26.17517352104187,52.00471329689026,58.1942663192749,72.68581581115723,78.75142788887024,"unknown","unknown",84.85654544830322,86.84739398956299,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.36971473693848,"","unknown",97.70584082603455,100.94767451286316,107.78301167488098,"unknown","unknown",114.78400325775146,115.98951315879822,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.89963126182556,"unknown","unknown",128.09582376480103,""
"62447b9",-59254.25942993164,"unknown",-59184.28195619583,-59116.99098396301,0.0,5.903670072555542,7.51716947555542,14.930758953094482,33.930216789245605,39.39014196395874,59.53563690185547,"unknown",65.69100832939148,"unknown",72.06825876235962,74.2598466873169,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.65465784072876,"","unknown",87.17897176742554,93.22713780403137,"unknown",100.25235104560852,"unknown",107.3351047039032,108.95025610923767,116.0461699962616,126.44185638427734,131.75437998771667,"unknown","unknown",138.0384545326233,140.1125783920288,"unknown","unknown","unknown","unknown","unknown",146.37121677398682,"unknown",153.16802310943604,""
"20f3e2e",-1435.6828825473785,"unknown",-1429.6822159290314,-1423.535945892334,0.0,6.153749704360962,10.292584419250488,17.323234796524048,33.27683687210083,40.09776473045349,43.830530405044556,"unknown",50.85752749443054,"unknown",57.475905656814575,59.12788128852844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.95341777801514,"","unknown",71.14713954925537,76.1048731803894,"unknown",82.2099997997284,"unknown",88.55513405799866,90.70921516418457,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.08934497833252,"unknown","unknown",103.69102716445923,""
