"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-1039.80304813385,-1034.0897424221039,-1027.1947178840637,-1020.2848401069641,0.0,6.612908363342285,13.990226745605469,19.6331570148468,24.46988582611084,30.396862268447876,52.97160983085632,"unknown","unknown",59.186968088150024,65.97872757911682,70.1978964805603,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.12637639045715,"","unknown",83.54459929466248,97.80616736412048,"unknown","unknown",103.9592056274414,110.76168036460876,113.3991379737854,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.12086629867554,"unknown","unknown",125.80152010917664
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3731.386601448059,-3725.9175498485565,-3720.4183123111725,-3713.706419467926,0.0,5.849825382232666,8.705461740493774,14.176898717880249,23.782138347625732,30.741313457489014,32.537293910980225,"unknown",39.15482950210571,"unknown",44.87887501716614,46.7945339679718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",52.96198916435242,"","unknown",59.761141538619995,62.95795798301697,"unknown",69.44685196876526,"unknown",75.66564440727234,77.757896900177,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.27561020851135,"unknown","unknown",90.06991767883301
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-17794.718327760696,-17788.889633655548,-17783.281664133072,-17775.93191432953,0.0,6.534795522689819,9.282228469848633,15.016930341720581,24.68978714942932,30.90882968902588,33.32296943664551,"unknown","unknown",39.65061378479004,45.75415754318237,48.29844427108765,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.49640107154846,"","unknown",61.00451064109802,70.28778743743896,"unknown","unknown",75.87094593048096,81.37308859825134,124.01355385780334,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.30141925811768,"unknown","unknown",137.46982192993164
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-182197.71205306053,-182192.40815758705,-182186.01256871223,-182180.80315756798,0.0,5.562522649765015,7.105356216430664,13.417801856994629,14.698754787445068,21.409532070159912,30.309890270233154,"unknown","unknown",35.84427833557129,41.557228565216064,44.326817989349365,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",50.00414514541626,"","unknown",56.50134062767029,58.21475863456726,"unknown",64.10707688331604,"unknown",70.4518072605133,71.82164120674133,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.56551194190979,"unknown","unknown",84.43307971954346
"ac6f3f6",-1762.953311920166,-1756.8419551849365,-1749.6666264533997,-1743.156985282898,0.0,5.406780481338501,16.61471199989319,23.416572332382202,60.396631956100464,65.96250891685486,79.33545851707458,"unknown","unknown",85.34303188323975,91.49569535255432,93.04435586929321,99.15080547332764,101.27392745018005,"unknown",106.86581873893738,"unknown",113.56700372695923,117.33643007278442,"unknown","unknown","unknown","unknown","unknown",124.3516275882721,"unknown",131.50366234779358,144.4205403327942,"unknown",151.90267705917358,"unknown",157.25796604156494,158.95367074012756,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",165.2670214176178,"unknown","unknown",171.7032506465912
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-21182.329007864,-21176.571108341217,-21169.48890042305,-21164.30274939537,0.0,6.150335788726807,16.677556037902832,23.0234158039093,40.69881319999695,47.62013912200928,51.01825952529907,"unknown","unknown",56.69041967391968,63.69658899307251,65.5340576171875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.7394392490387,"","unknown",77.51215076446533,80.41906785964966,"unknown","unknown",85.68538904190063,91.99841475486755,93.6784360408783,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.26192712783813,"unknown","unknown",106.40050005912781
