"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-3572.019811630249,"unknown",-3566.6258730888367,-3559.972381591797,0.0,6.353492021560669,7.70377516746521,14.60811710357666,40.52195429801941,47.811044692993164,51.52550482749939,"unknown",58.676985025405884,"unknown",64.18135046958923,65.91752576828003,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.5309464931488,"","unknown",78.6981930732727,92.61223077774048,98.92676973342896,"unknown","unknown",104.42333006858826,1878.8104770183563,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1885.6548972129822,"unknown","unknown",1892.4386401176453,""
"b5edd3c",-2650.268210411072,"unknown",-2643.2593200206757,-2637.787949323654,0.0,5.851500511169434,8.246902465820312,16.300925731658936,26.391891717910767,33.52581763267517,36.21198534965515,42.84230709075928,"unknown","unknown",50.16825771331787,51.56803822517395,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.73239827156067,"","unknown",63.196319818496704,65.09154891967773,71.22560381889343,"unknown","unknown",77.20008969306946,80.45817065238953,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.30067992210388,"unknown","unknown",93.43966007232666,""
"374ecf8",-4334.350550889969,"unknown",-4327.575414419174,-4320.798774719238,0.0,6.923006296157837,8.529100179672241,15.435030221939087,36.59420871734619,42.38063907623291,47.04607534408569,"unknown",53.9941680431366,"unknown",60.43991947174072,63.16224455833435,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.30060887336731,"","unknown",75.57575178146362,82.96218132972717,"unknown","unknown",88.36567187309265,94.52270722389221,48694.91328668594,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",48701.10077929497,"unknown","unknown",48707.35414528847,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",23.567192554473877,"unknown",47.45137000083923,"unknown",56.57909917831421,"unknown","unknown","unknown","unknown",71.46391415596008,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",95.69380378723145,"unknown","unknown","unknown","unknown",112.46168756484985,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-20821.403876543045,"unknown",-20816.005024194717,-20810.50617456436,0.0,6.907831907272339,80.39857816696167,88.94334554672241,98.94403553009033,105.88877558708191,110.50911521911621,"unknown","unknown",116.82712531089783,122.27291417121887,124.59690046310425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.08386874198914,"","unknown",136.9335925579071,140.22628355026245,146.9376950263977,"unknown","unknown",152.22149395942688,154.1388804912567,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160.3236062526703,"unknown","unknown",166.22196531295776,""
"2541155",-130865.7518453598,"unknown",-130859.05618858337,-130852.16998052597,0.0,6.232565402984619,8.387526035308838,16.90849280357361,30.437997817993164,35.989585399627686,43.401463747024536,"unknown",50.32523775100708,"unknown",57.56743097305298,61.094340801239014,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.02079892158508,"","unknown",74.74578380584717,77.46023845672607,83.96985864639282,"unknown","unknown",90.92561984062195,93.95589995384216,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.54462003707886,"unknown","unknown",106.37014484405518,""
"ac6f3f6",-6463.549523591995,"unknown",-6456.641445636749,-6450.852148771286,0.0,6.6579413414001465,16.993499755859375,25.60414457321167,69.79676532745361,76.08274173736572,80.0698082447052,"unknown","unknown",86.05597853660583,92.58707070350647,121.05627202987671,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.0642294883728,"","unknown",134.41269397735596,142.33398509025574,"unknown",148.71025609970093,"unknown",154.20676803588867,157.80462193489075,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",163.1163649559021,"unknown","unknown",170.12467908859253,""
"62447b9",-193983.27343821526,"unknown",-193976.27339172363,-193970.89181137085,0.0,6.357895374298096,10.785507917404175,17.512193202972412,39.24811816215515,46.35853362083435,53.731491804122925,"unknown","unknown",61.09841322898865,66.62777352333069,68.69441866874695,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.12192106246948,"","unknown",81.47075271606445,89.39660787582397,95.32856726646423,"unknown","unknown",101.1070339679718,103.25290751457214,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.18113946914673,"unknown","unknown",114.90721845626831,""
"20f3e2e",-34936.15546321869,"unknown",-34930.26004242897,-34923.02821063995,0.0,5.669596195220947,12.473225831985474,19.998016119003296,85.63515830039978,92.23514986038208,95.51642608642578,"unknown","unknown",102.57622814178467,109.78479981422424,112.16081762313843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.34925985336304,"","unknown",125.40188097953796,139.7096996307373,"unknown",146.6265847682953,"unknown",153.23402309417725,155.20039319992065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",162.40910124778748,"unknown","unknown",167.69455981254578,""
"4e53c5c",-50.221405029296875,"unknown",-43.473326683044434,-37.17966914176941,0.0,6.053452253341675,10.745950937271118,18.158933401107788,49.387654304504395,55.70082759857178,59.90515184402466,"unknown",66.41571497917175,"unknown",73.02676153182983,75.05126523971558,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.75206804275513,"","unknown",86.94465112686157,91.35613322257996,98.13832974433899,"unknown","unknown",104.29024124145508,106.44027161598206,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.89251899719238,"unknown","unknown",118.2798285484314,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-95.07254457473755,"unknown",-87.93761539459229,-81.93825316429138,0.0,5.860432147979736,10.069748640060425,17.015370845794678,63.225420236587524,68.88524222373962,72.96851229667664,"unknown","unknown",80.12983202934265,87.20092248916626,90.15415477752686,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.19194102287292,"","unknown",101.81617569923401,110.67471098899841,"unknown",115.92602181434631,"unknown",122.82557988166809,125.3182942867279,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.2642903327942,"unknown","unknown",137.06307697296143,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-222.40351343154907,"unknown",-216.7014181613922,-209.66187453269958,0.0,6.518324613571167,9.375716209411621,16.398036003112793,30.266876459121704,36.77650260925293,41.773108959198,"unknown","unknown",48.43333411216736,55.25999903678894,57.52051830291748,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.11104869842529,"","unknown",69.89703917503357,78.99934196472168,"unknown",86.26355814933777,"unknown",91.7187283039093,94.12318348884583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.44338965415955,"unknown","unknown",107.34009408950806,""
"ea8c0d6",-162679.67920708656,"unknown",-162673.18676161766,-162666.19541549683,0.0,7.123182058334351,14.828163623809814,21.623855352401733,50.75338077545166,57.13704323768616,72.21619200706482,"unknown",79.11383509635925,"unknown",86.29814004898071,88.25687456130981,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.65934419631958,"","unknown",99.31863617897034,111.70385336875916,118.95138239860535,"unknown","unknown",125.49351572990417,127.85541605949402,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.39150023460388,"unknown","unknown",141.17240524291992,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-182.9189429283142,"unknown",-175.9115207195282,-170.4525010585785,0.0,5.364105701446533,8.210660219192505,17.542858123779297,36.9341835975647,43.06189584732056,47.2305064201355,"unknown",53.66879343986511,"unknown",59.926634788513184,429.89548420906067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",436.1055142879486,"","unknown",442.09876775741577,454.9336585998535,"unknown",461.9075984954834,"unknown",467.4703757762909,470.79984641075134,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",476.49834752082825,"unknown","unknown",483.4905779361725,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-1640.8264737129211,"unknown",-1633.9240455627441,-1627.4195621013641,0.0,5.266532897949219,8.36790919303894,14.849798440933228,40.93313980102539,48.087411642074585,80.51148891448975,87.29234170913696,"unknown","unknown",93.34034371376038,124.089839220047,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.92796301841736,"","unknown",137.29057502746582,144.69929599761963,150.85110116004944,"unknown","unknown",156.38054013252258,200.23985648155212,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",206.26054668426514,"unknown","unknown",213.08818936347961,""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",9.658206224441528,"unknown",27.39537501335144,"unknown",39.58601760864258,"unknown","unknown","unknown","unknown",56.595619678497314,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",76.72488570213318,"unknown","unknown","unknown","unknown",397.20732951164246,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"56ee475",-38986.23764920235,"unknown",-38979.71771144867,-38972.52511763573,0.0,7.287705421447754,39.72413659095764,48.092488050460815,727.5584187507629,732.8419954776764,739.6843175888062,746.6448225975037,"unknown","unknown",753.4241008758545,755.0690906047821,760.7557325363159,764.562830209732,"unknown",771.7011404037476,"unknown",777.7541978359222,779.2307634353638,"unknown","unknown","unknown","unknown","unknown",784.6998281478882,"unknown",790.202472448349,800.6359586715698,807.0326592922211,"unknown","unknown",813.887348651886,815.3674330711365,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",821.4574193954468,"unknown","unknown",828.7594923973083,""
"916c172",-194.5868058204651,"unknown",-188.77774286270142,-182.65994024276733,0.0,6.973320960998535,12.045405864715576,19.118501663208008,52.43441128730774,58.59274888038635,69.68062424659729,"unknown",76.69854140281677,"unknown",83.30640363693237,84.77331352233887,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.75051760673523,"","unknown",98.21753096580505,105.17891001701355,"unknown",112.09600758552551,"unknown",117.93374109268188,119.46291828155518,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.42339324951172,"unknown","unknown",132.0907325744629,""
"d9696dd",-93139.5769701004,"unknown",-93133.23923397064,-93127.5905687809,0.0,5.913040399551392,19.225618600845337,26.689668655395508,37.33906555175781,43.082425355911255,45.32722449302673,"unknown","unknown",52.084381341934204,59.197901487350464,17587.816615581512,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",17593.340504169464,"","unknown",17598.801069498062,232218.10258364677,"unknown","unknown",232225.05195713043,232231.06512975693,232234.25467658043,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",232239.7184691429,"unknown","unknown",232245.1572151184,""
"eff7ebe",-27.567901611328125,"unknown",-21.682063817977905,-16.369173049926758,0.0,5.964848756790161,14.358396768569946,22.815893411636353,34.11491250991821,40.15727257728577,51.08933615684509,"unknown","unknown",57.30414414405823,63.7759850025177,65.49626517295837,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.9994728565216,"","unknown",79.21714878082275,91.79722905158997,97.25705409049988,"unknown","unknown",106.32610774040222,108.20196437835693,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.72069907188416,"unknown","unknown",120.79986691474915,""
"5d4fcbe",-3574.9368410110474,"unknown",-3569.342872619629,-3562.3902218341827,0.0,6.876460790634155,8027.591968297958,8036.319085121155,8051.363182783127,8057.905555009842,8061.389518737793,8067.04226064682,"unknown","unknown",8073.640701293945,8091.128957033157,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8098.0191395282745,"","unknown",8104.65987944603,8118.39523935318,8124.865061759949,"unknown","unknown",8131.965687990189,8134.210630893707,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8140.9036819934845,"unknown","unknown",8147.01442861557,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-303492.42979097366,"unknown",-303483.6814057827,-303477.89805293083,0.0,6.298877000808716,10.597548484802246,18.058473348617554,198.8161861896515,205.66273403167725,210.8265631198883,"unknown","unknown",217.9138903617859,224.6285960674286,227.59205865859985,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",233.74844598770142,"","unknown",240.6475431919098,244.9045820236206,"unknown","unknown",251.84286880493164,259.03300309181213,264.8065617084503,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",271.1119830608368,"unknown","unknown",278.10740303993225,""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-451.78702759742737,"unknown",-444.5702884197235,-438.6613988876343,0.0,5.5701799392700195,9.958553075790405,17.00570249557495,35.59861087799072,41.775489807128906,46.19033074378967,"unknown",52.32111167907715,"unknown",58.221620321273804,59.663676261901855,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.7155647277832,"","unknown",72.52340841293335,76.17008471488953,83.0340211391449,"unknown","unknown",88.77851009368896,89.91768503189087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.36452150344849,"unknown","unknown",102.52447390556335,""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530",-409590.3987977505,"unknown",-409583.8868639469,-409577.3189480305,0.0,5.441250562667847,13.004663467407227,20.96130657196045,44.605797290802,50.70354747772217,57.56129288673401,"unknown",63.60299515724182,"unknown",70.29264330863953,72.75471043586731,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.32350635528564,"","unknown",84.6715955734253,95.06841087341309,100.94772124290466,"unknown","unknown",106.20748448371887,109.73908948898315,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.51970887184143,"unknown","unknown",123.42067503929138,""
"47dcadc",-170769.59999918938,"unknown",-170762.44819116592,-170756.00607776642,0.0,6.18703556060791,15.357827186584473,22.781198501586914,43.47041702270508,49.36052632331848,60.55896711349487,"unknown","unknown",66.71693563461304,73.28465294837952,81.87622690200806,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.33131122589111,"","unknown",92.54149961471558,108.88119292259216,"unknown","unknown",115.66604161262512,122.07641410827637,129.50025153160095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.6379804611206,"unknown","unknown",142.27328538894653,""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
