"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-12300.709454536438,"unknown",-12294.072388887405,-12286.919422864914,0.0,6.455417156219482,8.417149782180786,15.417608976364136,28.075449466705322,34.64219427108765,36.27229285240173,42.70371723175049,"unknown","unknown",49.18943238258362,50.620670557022095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.05763030052185,"","unknown",63.92421627044678,66.22675061225891,72.17341899871826,"unknown","unknown",79.23025345802307,81.12570405006409,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.78136229515076,"unknown","unknown",92.7174928188324,""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",10.006100177764893,"unknown",30.30493998527527,"unknown",39.901599168777466,"unknown","unknown","unknown","unknown",56.63443565368652,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",74.828293800354,"unknown","unknown","unknown","unknown",89.46890592575073,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",10.125495433807373,"unknown",43.92008996009827,"unknown",65.28834772109985,"unknown","unknown","unknown","unknown",79.41007089614868,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",102.52170538902283,"unknown","unknown","unknown","unknown",115.66517877578735,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.566728115081787,"unknown",35.5921356678009,"unknown",47.72250819206238,"unknown","unknown","unknown","unknown",62.16309714317322,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",78.53221821784973,"unknown","unknown","unknown","unknown",93.86580228805542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-3297.019322872162,"unknown",-3290.739912748337,-3284.034948825836,0.0,6.1593732833862305,9.249531507492065,16.863220930099487,25.73778223991394,32.15950417518616,36.87750053405762,42.64599633216858,"unknown","unknown",48.854554414749146,50.82241082191467,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.04655718803406,"","unknown",62.65257549285889,28964.883867502213,28970.515106916428,"unknown","unknown",28976.217408895493,28979.174819469452,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",28986.098239660263,"unknown","unknown",28992.358307361603,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",10.604111194610596,"unknown",33.91937017440796,"unknown",43.53830599784851,"unknown","unknown","unknown","unknown",57.58187222480774,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",73.38619136810303,"unknown","unknown","unknown","unknown",98.38936710357666,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",8.78849482536316,"unknown",31.694459915161133,"unknown",41.36193919181824,"unknown","unknown","unknown","unknown",54.9059841632843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",79.35714197158813,"unknown","unknown","unknown","unknown",95.88376092910767,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",17.55152201652527,"unknown",58.21734023094177,"unknown",85.30931997299194,"unknown","unknown","unknown","unknown",103.2584433555603,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",156.23882484436035,"unknown","unknown","unknown","unknown",178.81167840957642,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",128573.0893061161,"unknown",555544.208086729,"unknown",993224.1475503445,"unknown","unknown","unknown","unknown",1955978.967959404,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1956005.4879870415,"unknown","unknown","unknown","unknown",1956019.9393143654,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
