"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-852.5236675739288,"unknown",-846.0197925567627,-839.0119683742523,0.0,6.60262131690979,8.0963613986969,13.82379698753357,28.801406383514404,34.43840146064758,37.46436309814453,"unknown",43.63795304298401,"unknown",49.970741987228394,52.071290731430054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.07903504371643,"","unknown",64.80792188644409,66.88475608825684,"unknown",73.50952434539795,"unknown",80.64708542823792,11838.940094470978,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",11844.973159074783,"unknown","unknown",11851.164989709854
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-9296.052746534348,"unknown",-9290.117548942566,-9283.400497436523,0.0,7.263969898223877,9.338661909103394,15.574408531188965,27.645185947418213,34.31382942199707,37.334808111190796,43.57529973983765,"unknown","unknown",50.793514251708984,52.717994689941406,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.725667238235474,"","unknown",66.02403259277344,70.37213850021362,77.3942711353302,"unknown","unknown",84.26788067817688,86.17924761772156,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.62413144111633,"unknown","unknown",98.74647665023804
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-208.96497988700867,"unknown",-202.7930588722229,-196.677490234375,0.0,6.716647148132324,297.2407386302948,303.11676144599915,327.9428677558899,333.48060870170593,335.3762698173523,"unknown",341.5106358528137,"unknown",347.5330560207367,349.41955494880676,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",355.8730170726776,"","unknown",362.4283215999603,367.01340675354004,373.6872980594635,"unknown","unknown",380.31525230407715,381.9574646949768,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",387.7777507305145,"unknown","unknown",394.8686294555664
"ac6f3f6",-17793.257663965225,"unknown",-17787.804203510284,-17782.649708986282,0.0,7.186965703964233,9.25764513015747,15.07602310180664,36.08812117576599,42.89039492607117,50.27330160140991,"unknown","unknown",56.56519103050232,61.98382234573364,63.73566293716431,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.39708089828491,"","unknown",75.25582313537598,77.91896605491638,83.20204567909241,"unknown","unknown",89.20417261123657,90.56754636764526,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.8204619884491,"unknown","unknown",103.87381052970886
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-2726.3395671844482,"unknown",-2720.913502931595,-2713.920552968979,0.0,5.724470615386963,9.467263460159302,14.862983226776123,45.888603925704956,52.94075107574463,60.06654691696167,"unknown","unknown",66.50428533554077,73.70980882644653,75.51456594467163,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.71138644218445,"","unknown",88.4715621471405,93.10229158401489,"unknown",99.18546986579895,"unknown",105.23382711410522,108.989328622818,115.33026218414307,119.20333170890808,124.63938045501709,"unknown","unknown",130.20503091812134,135.6871531009674,"unknown","unknown","unknown","unknown","unknown",140.97826170921326,"unknown",147.945059299469
