"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-1489.4687128067017,"unknown",-1483.2544248104095,-1477.4834332466125,0.0,5.75848913192749,25.406468391418457,30.67206645011902,58.332611322402954,63.94993615150452,72.81186962127686,"unknown","unknown",79.54966974258423,85.04277563095093,94.83381581306458,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.9126455783844,"unknown",107.5149278640747,143.8036720752716,"unknown",150.41782665252686,"unknown",157.04910731315613,164.89500069618225,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",171.50168919563293,"unknown","unknown",177.61237120628357,""
"b5edd3c",-535721.9453063011,"unknown",-535716.4468979836,-535710.8120110035,0.0,5.955846548080444,8.007787942886353,13.79322338104248,31.331331729888916,38.663771867752075,41.02718806266785,"unknown",47.13984513282776,"unknown",54.113136291503906,56.4931206703186,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.54714870452881,"unknown",68.98021340370178,71.68506526947021,"unknown",78.44487619400024,"unknown",83.5851194858551,84.94853973388672,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.41211485862732,"unknown","unknown",97.28215551376343,""
"374ecf8",-14777.27970957756,"unknown",-14770.420012235641,-14764.527076244354,0.0,6.106866836547852,18.160834789276123,24.98180913925171,27.22575855255127,33.983784437179565,52.262166261672974,"unknown",58.904298305511475,"unknown",64.96914672851562,66.68087434768677,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.28063225746155,"unknown",79.19125819206238,82.29157185554504,"unknown",88.66370010375977,"unknown",94.84105467796326,96.37692952156067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.59160375595093,"unknown","unknown",109.65713477134705,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-34914.34528255463,"unknown",-34907.75101017952,-34902.04603266716,0.0,7.301351070404053,16.088006496429443,21.44828152656555,89.03486800193787,95.70710635185242,100.4378924369812,"unknown","unknown",106.0405855178833,111.76050305366516,129.37899017333984,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",135.97990083694458,"unknown",141.5651261806488,182.3040692806244,"unknown",188.7046251296997,"unknown",194.92595648765564,218.68184971809387,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",225.50650143623352,"unknown","unknown",231.82072925567627,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-41558.115345954895,"unknown",-41550.9249484539,-41545.40616297722,0.0,5.710305452346802,8.259098052978516,14.580842733383179,26.534566164016724,31.982829093933105,39.50746273994446,"unknown",46.50713849067688,"unknown",51.80314564704895,53.4280161857605,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.83548069000244,"unknown",65.72885751724243,106.9069766998291,"unknown",112.96211075782776,"unknown",119.92504858970642,225.3102445602417,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",230.78430080413818,"unknown","unknown",236.30493426322937,""
"ac6f3f6",-827.4293804168701,"unknown",-821.3416254520416,-814.1288969516754,0.0,6.350324392318726,7.899173736572266,13.736710548400879,38.60089588165283,44.40406084060669,49.92265057563782,55.85544419288635,"unknown","unknown",61.791494607925415,63.67297625541687,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.0509819984436,"unknown",76.56110787391663,80.90393543243408,87.22333002090454,"unknown","unknown",94.71648120880127,96.01938676834106,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.9354567527771,"unknown","unknown",107.37103152275085,""
"62447b9",-8421.36689376831,"unknown",-8414.987978935242,-8408.034259080887,0.0,7.411895275115967,10.004418134689331,15.444939851760864,41.143221855163574,47.10661339759827,54.849278926849365,"unknown","unknown",60.49697542190552,65.8350760936737,68.13151121139526,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.47959876060486,"unknown",80.3511848449707,87.99999785423279,"unknown","unknown",93.68657755851746,99.98503398895264,102.13498783111572,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.76430034637451,"unknown","unknown",114.2069685459137,""
"20f3e2e",-6987.87331867218,"unknown",-6980.597390413284,-6974.275371789932,0.0,6.174730539321899,10.019731998443604,15.64281702041626,48.30901074409485,54.08761978149414,61.13853096961975,"unknown",67.37154197692871,"unknown",74.27969670295715,75.88335585594177,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.88450908660889,"unknown",88.71693658828735,92.71634411811829,"unknown",99.5883481502533,"unknown",106.4339816570282,108.8549587726593,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.13543462753296,"unknown","unknown",121.61435031890869,""
