"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","3_1"
"518e9b8",-39328.10838317871,"unknown",-39321.40714907646,-39314.96065402031,0.0,5.332183122634888,7.138077259063721,12.573638439178467,23.55955934524536,29.055916786193848,56.19183611869812,"unknown",63.16193675994873,"unknown",69.39354610443115,81.46590685844421,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.63120079040527,"","unknown",94.85592937469482,96.36819267272949,"unknown",103.07293677330017,"unknown",109.18161273002625,114.70730519294739,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",121.16603350639343,"unknown","unknown",127.33926653862,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-7083.169861078262,"unknown",-7077.132187128067,-7071.606444120407,0.0,6.86136794090271,10.000601530075073,16.95317268371582,27.57233452796936,34.22754716873169,36.224278688430786,41.85607933998108,"unknown","unknown",49.02591896057129,50.595858573913574,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.946396827697754,"","unknown",62.957284927368164,65.19261002540588,71.51027321815491,"unknown","unknown",77.12167119979858,82.71198725700378,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.71309638023376,"unknown","unknown",96.46404671669006,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-33864.31340718269,"unknown",-33857.772678136826,-33851.145819664,0.0,5.457460403442383,8.750997543334961,14.880047798156738,22.792752504348755,29.299314260482788,33.2152955532074,38.70892333984375,"unknown","unknown",45.715341091156006,58.43652009963989,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.56763029098511,"","unknown",72.88083100318909,79.59417247772217,86.19171047210693,"unknown","unknown",93.00032138824463,95.32563281059265,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.61611604690552,"unknown","unknown",108.0776948928833,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-11830.81587100029,"unknown",-11824.851122379303,-11819.299371004105,0.0,15.066819190979004,36.3084659576416,50.85458254814148,72.24614524841309,87.02722549438477,106.55606317520142,"unknown",121.11148619651794,"unknown",127.77491331100464,133.76782417297363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.96218347549438,"","unknown",145.73199033737183,158.39016008377075,"unknown","unknown",172.7444670200348,179.35546898841858,182.31944155693054,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",188.40768671035767,"unknown","unknown",194.7820656299591,""
"ac6f3f6",-1137.293608903885,"unknown",-1131.784380197525,-1125.431577205658,0.0,7.056488752365112,35.104777336120605,41.31248927116394,72.24672293663025,79.10932421684265,93.59375357627869,99.55265021324158,"unknown","unknown",104.74504733085632,118.85797619819641,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.49841856956482,"","unknown",130.80717611312866,143.06787014007568,167.7100374698639,"unknown","unknown",174.00507473945618,179.22180652618408,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",184.9995412826538,"unknown","unknown",190.82838416099548,""
"62447b9",-558095.5971224308,"unknown",-558088.8762402534,-558082.5509681702,0.0,5.824767351150513,7.816680669784546,14.1435546875,28.726682901382446,34.71369528770447,54.629509687423706,61.78607487678528,"unknown","unknown",67.40094375610352,70.36454606056213,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.03496623039246,"","unknown",83.06966948509216,86.38159894943237,92.27958726882935,"unknown","unknown",97.77725052833557,100.01766276359558,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.98630881309509,"unknown","unknown",111.58233594894409,""
"20f3e2e",-22892.41632795334,"unknown",-22886.1446685791,-22880.354166269302,0.0,6.9727959632873535,17.323442697525024,24.27720022201538,49.67801117897034,55.073593854904175,58.03348684310913,63.79474210739136,"unknown","unknown",70.89265394210815,73.82948756217957,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.91209149360657,"","unknown",87.79191541671753,100.48194217681885,106.14815592765808,"unknown","unknown",112.51676845550537,124.82801342010498,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.7420618534088,"unknown","unknown",136.01525354385376,""
