"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1","2_1"
"518e9b8",-8721.136636018753,"unknown",-8713.741909742355,-8707.19128203392,0.0,6.117044448852539,7.876783847808838,14.823785543441772,28.018939971923828,34.70811319351196,36.69828653335571,"unknown",43.54860806465149,"unknown",49.90238118171692,51.29911136627197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.89923167228699,"","unknown",64.53973126411438,71.16198873519897,76.50381517410278,"unknown","unknown",83.08305335044861,90.83713245391846,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.78521633148193,"unknown","unknown",104.75153493881226,"",""
"b5edd3c",-182140.09815502167,"unknown",-182133.2057378292,-182126.96954369545,0.0,5.482044219970703,8.123803853988647,15.814794063568115,33.90111470222473,40.251744747161865,41.98435735702515,48.153218030929565,"unknown","unknown",53.97874331474304,55.50795316696167,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.467718839645386,"","unknown",69.2566180229187,71.17484402656555,76.755854845047,"unknown","unknown",84.02993774414062,86.09883880615234,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.03418803215027,"unknown","unknown",98.9289026260376,"",""
"374ecf8",-46365.99289560318,"unknown",-46360.017981767654,-46353.16333556175,0.0,6.184034109115601,16.76071858406067,23.451459169387817,54.186054944992065,59.84632468223572,66.86704659461975,"unknown",73.5286021232605,"unknown",78.87638854980469,81.0646858215332,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.7158875465393,"","unknown",93.67859244346619,99.11898517608643,"unknown",104.55936980247498,"unknown",110.74180388450623,112.4475314617157,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.12991619110107,"unknown","unknown",124.59889388084412,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.567010879516602,"unknown",40.531007051467896,"unknown",59.547332763671875,"unknown","unknown","unknown","unknown",76.52858877182007,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",141.23371601104736,"unknown","unknown","unknown","unknown",158.69297909736633,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-4992.1129405498505,"unknown",-4986.392120599747,-4980.08518242836,0.0,7.943321943283081,14.371591091156006,24.049526929855347,40.0007905960083,46.503429889678955,52.517178773880005,"unknown",59.720203161239624,"unknown",65.76150274276733,67.83153820037842,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.2355899810791,"","unknown",78.95836019515991,82.63547801971436,88.66746926307678,"unknown","unknown",94.97195291519165,97.0408399105072,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.634690284729,"unknown","unknown",108.25331664085388,"",""
"2541155",-2334.2862269878387,"unknown",-2327.518604040146,-2321.773844242096,0.0,6.069958686828613,7.6258933544158936,15.475059270858765,32.09564733505249,39.35385084152222,45.811426639556885,"unknown","unknown",52.085975646972656,58.68406367301941,61.715535402297974,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.19543123245239,"","unknown",73.393958568573,76.2995753288269,82.51222109794617,"unknown","unknown",88.42441821098328,92.34287190437317,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.13157939910889,"unknown","unknown",103.65072441101074,"",""
"ac6f3f6",-24085.61341691017,"unknown",-24080.12589788437,-24073.198557138443,0.0,6.642184019088745,9.185275793075562,16.397260189056396,40.66146969795227,46.84350347518921,55.000964641571045,"unknown","unknown",60.568857192993164,67.77990555763245,70.4779806137085,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.73011255264282,"","unknown",83.44948482513428,108.97373032569885,"unknown",115.15980076789856,"unknown",121.58034229278564,124.19398307800293,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.11003065109253,"unknown","unknown",137.3222141265869,"",""
"62447b9",-458948.4121155739,"unknown",-458941.917580843,-458935.2263314724,0.0,5.902830362319946,10.235434770584106,19.346020936965942,59.89335083961487,67.29481768608093,108.7719714641571,115.73965430259705,"unknown","unknown",122.2178406715393,127.78298306465149,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.53945326805115,"","unknown",141.43365955352783,154.90599703788757,161.9750692844391,"unknown","unknown",167.38139033317566,170.4082281589508,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",176.0716757774353,"unknown","unknown",182.87077856063843,"",""
"20f3e2e",-33374.067405462265,"unknown",-33368.0266559124,-33362.62929582596,0.0,6.632933139801025,14.561494588851929,22.5194890499115,57.3866446018219,63.415372133255005,65.53074884414673,"unknown",71.25755214691162,"unknown",77.7799699306488,79.74363899230957,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.14460444450378,"","unknown",90.64577031135559,106.61912560462952,113.11116695404053,"unknown","unknown",118.4274582862854,120.3855152130127,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.8860125541687,"unknown","unknown",131.49301385879517,"",""
