"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-27354.566677093506,"unknown",-27348.94139122963,-27343.629653692245,0.0,5.3524603843688965,7.162307500839233,13.831320524215698,38.60023808479309,45.142699003219604,47.755584716796875,"unknown","unknown",53.12437677383423,58.99494695663452,60.08906030654907,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.24031591415405,"","unknown",74.28808116912842,76.73338556289673,81.94418048858643,"unknown","unknown",87.64539861679077,89.23701667785645,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.94917440414429,"unknown","unknown",102.22022819519043,""
"b5edd3c",-6242.922692060471,"unknown",-6236.538022041321,-6229.424864292145,0.0,5.943078279495239,8.468173503875732,16.87884545326233,32.745293617248535,39.85954761505127,41.903095722198486,48.46727132797241,"unknown","unknown",55.09143090248108,60.052361726760864,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.0675778388977,"","unknown",72.85557746887207,75.09978914260864,81.35403156280518,"unknown","unknown",88.13357138633728,89.53248858451843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.82140946388245,"unknown","unknown",102.3485517501831,""
"374ecf8",-9887.841645002365,"unknown",-9881.392930030823,-9875.52168393135,0.0,5.708693027496338,12.703102827072144,21.447181701660156,59.95059776306152,67.27422618865967,81.07784414291382,"unknown","unknown",88.31654596328735,94.7168960571289,96.70330953598022,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.33692073822021,"","unknown",107.76730155944824,114.0953197479248,"unknown","unknown",119.97957015037537,126.29585337638855,129.58832240104675,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.604008436203,"unknown","unknown",142.98997688293457,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",10.439838409423828,"unknown",38.68120861053467,"unknown",52.959789752960205,"unknown","unknown","unknown","unknown",67.70877718925476,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",103.46681571006775,"unknown","unknown","unknown","unknown",121.197181224823,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-248.30045127868652,"unknown",-242.4927089214325,-236.5427565574646,0.0,7.122027158737183,10.196719646453857,18.45321249961853,46.951237201690674,54.17544150352478,63.0625958442688,69.46138620376587,"unknown","unknown",76.52433371543884,79.66267156600952,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.14251041412354,"","unknown",91.47653126716614,98.67049264907837,105.4745831489563,"unknown","unknown",111.58109998703003,113.63741064071655,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.45620560646057,"unknown","unknown",126.21544098854065,""
"2541155",-764229.6863341331,"unknown",-764222.6412153244,-764215.5706384182,0.0,6.367828369140625,9.30480408668518,16.7169349193573,53.00714826583862,59.41511082649231,64.78989744186401,"unknown","unknown",71.93258595466614,77.55324459075928,80.17685008049011,86.26650857925415,90.64030075073242,"unknown",97.74351024627686,"unknown",103.25500917434692,105.55399990081787,"unknown","unknown","unknown","unknown","unknown",111.01409387588501,"unknown",117.81777238845825,124.66979169845581,"unknown",131.1655933856964,"unknown",136.73067474365234,138.5522129535675,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.6336214542389,"unknown","unknown",150.98812437057495,""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",10.25585389137268,"unknown",81.26775455474854,"unknown",91.28594923019409,"unknown","unknown","unknown","unknown",104.87898445129395,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",130.55827116966248,"unknown","unknown","unknown","unknown",146.00380396842957,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-154885.4568297863,"unknown",-154879.24686813354,-154873.8814547062,0.0,6.554672718048096,8.644016981124878,16.939579725265503,33.963139295578,40.88017439842224,44.12554430961609,51.20650792121887,"unknown","unknown",57.6869170665741,60.326701402664185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.31904602050781,"","unknown",73.15768456459045,77.88137531280518,83.77890658378601,"unknown","unknown",90.11698579788208,92.36626863479614,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.14313745498657,"unknown","unknown",104.06963610649109,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",16.297301054000854,"unknown",85.30987930297852,"unknown",93.97759962081909,"unknown","unknown","unknown","unknown",109.94302773475647,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",134.6280858516693,"unknown","unknown","unknown","unknown",149.95400643348694,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
