"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-886.1874511241913,"unknown",-880.3953495025635,-873.1892540454865,0.0,6.22646689414978,8.505019664764404,14.427363395690918,31.766385555267334,38.482969760894775,41.594502210617065,"unknown","unknown",48.64330506324768,54.74952745437622,57.48007345199585,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.45909357070923,"","unknown",68.85178971290588,116.7963502407074,"unknown",124.07422828674316,"unknown",130.55397510528564,153.01295709609985,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",159.13290071487427,"unknown","unknown",164.84084844589233
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-52124.62028694153,"unknown",-52118.337049007416,-52111.76801419258,0.0,5.463705539703369,7.64527440071106,13.172919750213623,15.248438596725464,21.459492921829224,40.40576529502869,"unknown",47.42770004272461,"unknown",54.561278104782104,57.01685452461243,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.38338899612427,"","unknown",69.77015113830566,78.54210114479065,83.8431510925293,"unknown","unknown",89.62690830230713,91.56942343711853,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.46492910385132,"unknown","unknown",102.89482855796814
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-40655.05613064766,"unknown",-40649.292023420334,-40642.17069840431,0.0,6.928606748580933,9.822368860244751,16.76776695251465,29.481363534927368,36.83628559112549,39.653204679489136,"unknown","unknown",45.84470534324646,52.08004069328308,61.05522155761719,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.66633152961731,"","unknown",74.63730311393738,152.3893268108368,"unknown","unknown",159.50428676605225,165.41619420051575,801.1236822605133,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",808.4271438121796,"unknown","unknown",814.8307793140411
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-9725.518830299377,"unknown",-9718.651083946228,-9712.017243862152,0.0,6.7927350997924805,9.465511798858643,16.51469850540161,17.71886372566223,23.158577919006348,36.67336678504944,"unknown","unknown",43.27296233177185,50.069082498550415,52.45122241973877,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.856226205825806,"","unknown",65.15925312042236,9139.846593379974,"unknown",9146.523029088974,"unknown",9152.083324193954,9157.081848859787,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",9162.677941322327,"unknown","unknown",9168.875383138657
"ac6f3f6",-45.19448256492615,"unknown",-39.2217972278595,-33.578508615493774,0.0,6.510130405426025,8.897416353225708,16.047493934631348,51.54382801055908,57.53090214729309,60.89983105659485,67.83704233169556,"unknown","unknown",74.08599925041199,78.94961714744568,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.08904957771301,"","unknown",91.43399262428284,94.75160717964172,101.97117638587952,"unknown","unknown",108.2335913181305,110.80135583877563,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.12880849838257,"unknown","unknown",122.72335958480835
"62447b9",-29128.281893491745,"unknown",-29121.59515619278,-29114.893162965775,0.0,6.923044204711914,8.730448007583618,15.641125917434692,38.19372344017029,45.41769528388977,51.224321365356445,"unknown","unknown",57.9415717124939,64.30921220779419,66.78460001945496,73.22982454299927,80.77963852882385,87.17584156990051,"unknown","unknown",92.86634612083435,95.15335655212402,"unknown","unknown","unknown","unknown","unknown",102.38568878173828,"unknown",108.92433738708496,114.93217086791992,122.23371362686157,"unknown","unknown",128.39374136924744,130.7031147480011,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.56750631332397,"unknown","unknown",143.4263150691986
"20f3e2e",-590.6815669536591,"unknown",-583.9343600273132,-577.3928282260895,0.0,5.739067792892456,8.960700273513794,15.56244945526123,90.6600432395935,96.82400417327881,99.36454820632935,"unknown","unknown",105.6414966583252,111.12093353271484,113.0794632434845,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.10303258895874,"","unknown",125.78971004486084,128.00951886177063,"unknown","unknown",134.60053420066833,140.30335140228271,143.5184998512268,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",150.14248418807983,"unknown","unknown",155.568213224411
