"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-89.38213038444519,"unknown",-83.88057088851929,-76.96560907363892,0.0,5.357585668563843,20.476864337921143,27.145358324050903,41.92009353637695,49.32132363319397,50.9850070476532,"unknown","unknown",56.49638891220093,62.30520296096802,64.07888579368591,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.42438769340515,"","unknown",76.32880878448486,80.1647617816925,"unknown","unknown",86.01307034492493,91.55744981765747,94.85557579994202,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.506174325943,"unknown","unknown",107.61027145385742
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-731.3824589252472,"unknown",-725.5260474681854,-718.3577935695648,0.0,7.240600347518921,11.699970960617065,16.916067361831665,27.36009407043457,33.76709508895874,38.83701205253601,"unknown","unknown",44.82282614707947,50.07463264465332,52.00069785118103,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",58.66551733016968,"","unknown",63.98374652862549,68.28373646736145,"unknown","unknown",75.26682662963867,82.23652935028076,86.9151394367218,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.86203908920288,"unknown","unknown",99.71770286560059
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-29175.47909927368,"unknown",-29170.076045036316,-29163.08032631874,0.0,6.7148966789245605,21.709909915924072,28.35596776008606,42.714232444763184,50.0364134311676,104.37014150619507,"unknown",109.80520367622375,"unknown",116.2137348651886,129.97726106643677,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",135.9433364868164,"","unknown",143.17968130111694,168.94723176956177,"unknown",175.94942569732666,"unknown",182.27386593818665,229.55043172836304,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",235.3115086555481,"unknown","unknown",240.84856581687927
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-12109.296493053436,"unknown",-12102.503408670425,-12096.521690368652,0.0,6.6184241771698,41.64164900779724,49.18918418884277,50.676769971847534,57.704915285110474,66.28415513038635,"unknown",73.53372287750244,"unknown",80.42973041534424,82.79993438720703,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",88.84035897254944,"","unknown",94.54797339439392,98.07451009750366,"unknown",103.35539054870605,"unknown",108.9585907459259,51371.12271285057,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",51376.56173324585,"unknown","unknown",51382.07569050789
"ac6f3f6",-3209.880085706711,"unknown",-3202.9991538524628,-3196.3553099632263,0.0,6.9779791831970215,10.595459222793579,17.638664960861206,60.56378936767578,66.57155847549438,73.33087229728699,"unknown","unknown",80.13235759735107,85.94274234771729,87.90866541862488,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",94.58603596687317,"","unknown",101.36988306045532,104.87988638877869,"unknown","unknown",111.78881454467773,118.78623843193054,125.77923846244812,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.8546187877655,"unknown","unknown",138.0019073486328
"62447b9",-544122.7691986561,"unknown",-544116.3438751698,-544109.1335480213,0.0,5.421938896179199,8.868180990219116,16.54395604133606,32.055930376052856,37.66859006881714,76.23697066307068,"unknown","unknown",81.74481892585754,89.01516675949097,92.00724029541016,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",97.56142544746399,"","unknown",104.11910676956177,112.43808817863464,"unknown","unknown",119.2653341293335,125.50183844566345,127.81163382530212,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",134.30221557617188,"unknown","unknown",140.2072229385376
"20f3e2e",-10394.161491394043,"unknown",-10388.383310556412,-10383.031654119492,0.0,7.094739675521851,10.2582528591156,18.530014514923096,84.67526984214783,91.66817831993103,93.9116861820221,"unknown","unknown",101.17953276634216,107.27202653884888,120.98842144012451,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",128.3345274925232,"","unknown",135.155526638031,138.37305307388306,"unknown","unknown",145.68378400802612,152.79334807395935,159.25343704223633,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",164.84200882911682,"unknown","unknown",171.73577165603638
"4e53c5c",-148.13472986221313,"unknown",-141.58249258995056,-135.11839151382446,0.0,7.172770023345947,14.180208206176758,19.84272813796997,43.014324426651,49.190244913101196,87.3754940032959,"unknown","unknown",93.70962309837341,99.6453549861908,101.96760940551758,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.81481146812439,"","unknown",115.6223611831665,120.50611090660095,127.05264687538147,"unknown","unknown",133.867205619812,136.12691020965576,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",141.45825147628784,"unknown","unknown",147.5938217639923
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-3101.6614015102386,"unknown",-3094.7705228328705,-3088.975410223007,0.0,6.608783006668091,16.54739475250244,23.092254400253296,52.44143223762512,59.47030234336853,72.17638039588928,"unknown","unknown",78.26566433906555,84.20596289634705,87.2359824180603,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",93.93367743492126,"","unknown",99.54697775840759,105.02109289169312,"unknown","unknown",110.46239757537842,115.77008414268494,120.04124021530151,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.04437184333801,"unknown","unknown",132.21025896072388
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4966.247092485428,"unknown",-4959.821533441544,-4953.301629543304,0.0,6.363041162490845,10.555853366851807,17.329785346984863,34.318878412246704,40.59948492050171,47.38329195976257,"unknown","unknown",53.62503004074097,60.273386001586914,63.38334369659424,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.6670138835907,"","unknown",75.54584383964539,80.09113574028015,86.04318046569824,"unknown","unknown",93.05363178253174,95.12549829483032,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.51423358917236,"unknown","unknown",108.50704669952393
"ea8c0d6",-49335.04089808464,"unknown",-49328.85371041298,-49321.58918976784,0.0,5.283747911453247,8.751221418380737,14.94602632522583,35.90717315673828,41.93436884880066,47.98534321784973,"unknown","unknown",54.26726293563843,60.71200776100159,63.43867874145508,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",69.96818685531616,"","unknown",76.55699467658997,175.52599430084229,"unknown",182.05406141281128,"unknown",187.59314846992493,189.42762684822083,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",195.49270272254944,"unknown","unknown",201.70454692840576
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-4786.976158380508,"unknown",-4780.463442325592,-4773.715654373169,0.0,5.7711873054504395,56.832923889160156,63.59600114822388,66.82465767860413,73.35210156440735,187.06576991081238,"unknown","unknown",193.7535388469696,199.86495113372803,1057.8048131465912,1063.3304297924042,1074.7986023426056,"unknown",1080.8998172283173,"unknown",1087.2127981185913,1140.0581939220428,"unknown","","unknown","unknown","unknown","unknown",1146.9584851264954,"unknown",1153.2209775447845,1160.4520423412323,"unknown",1166.3426406383514,"unknown",1173.0454173088074,1175.4045314788818,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1182.4906692504883,"unknown","unknown",1189.2949259281158
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-714.7110154628754,"unknown",-709.1122388839722,-703.7094857692719,0.0,6.230248212814331,7.677891492843628,14.344616889953613,15.726412534713745,21.853798151016235,33.36029863357544,"unknown",39.60839223861694,"unknown",46.73780012130737,50.43255257606506,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",56.76152420043945,"","unknown",62.16825795173645,116.57607340812683,"unknown","unknown",122.55808162689209,128.80476760864258,288.3125510215759,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",295.1773614883423,"unknown","unknown",301.12739515304565
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-75592.92770576477,"unknown",-75585.79709601402,-75578.58992958069,0.0,5.545292377471924,123.97459745407104,129.49609565734863,143.03263020515442,149.38775253295898,174.25978088378906,"unknown","unknown",180.72961282730103,188.13194179534912,190.28730392456055,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",196.58851671218872,"","unknown",203.61085104942322,209.81049609184265,"unknown",216.73687171936035,"unknown",223.26180362701416,224.6974697113037,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",231.29741764068604,"unknown","unknown",237.39014768600464
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-184799.77800917625,"unknown",-184794.2567577362,-184787.23197340965,0.0,6.589656591415405,9.135915279388428,16.10597276687622,18.28900957107544,24.05180311203003,442.98141646385193,"unknown",448.6945741176605,"unknown",455.7007224559784,461.27112007141113,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",467.0807092189789,"","unknown",473.09040355682373,476.47607946395874,483.21510577201843,"unknown","unknown",488.62790870666504,490.24908781051636,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",497.3290009498596,"unknown","unknown",504.5007917881012
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
