"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-12892.62697982788,"unknown",-12885.392238140106,-12879.549892425537,0.0,6.473690748214722,11.308926820755005,19.323835611343384,27.685751914978027,34.780598163604736,36.75648808479309,"unknown","unknown",42.254799604415894,47.56507396697998,50.11562967300415,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.35873317718506,"","unknown",61.49636673927307,64.00175619125366,"unknown",69.89613056182861,"unknown",76.99896454811096,105.06447458267212,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.37948966026306,"unknown","unknown",117.45438766479492
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3344.652147769928,"unknown",-3337.955031633377,-3331.94455242157,0.0,6.0407140254974365,7.796991348266602,16.015009880065918,31.674200534820557,38.71220278739929,40.564894914627075,"unknown",46.41189694404602,"unknown",53.60943841934204,55.30577516555786,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.46419072151184,"","unknown",69.66532921791077,71.88208293914795,"unknown",77.62063264846802,"unknown",84.6237735748291,86.46046018600464,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.3579592704773,"unknown","unknown",98.50674748420715
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-30851.846256017685,"unknown",-30845.615278720856,-30838.44956302643,0.0,6.452025413513184,11.205008268356323,18.975175142288208,31.138119220733643,37.757880449295044,45.661128282547,"unknown","unknown",51.52620267868042,57.1248984336853,59.694358348846436,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.8620035648346,"","unknown",73.72479891777039,90.48622131347656,"unknown",96.47836327552795,"unknown",103.11139631271362,126.58161115646362,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",133.58308720588684,"unknown","unknown",140.0983805656433
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-51.247114419937134,"unknown",-44.59802556037903,-37.25357747077942,0.0,6.8049890995025635,87.68507385253906,95.2819664478302,97.08832216262817,103.95980453491211,107.36444115638733,"unknown",114.62344932556152,"unknown",120.27491593360901,130.76327562332153,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.9749457836151,"","unknown",144.1410174369812,186.76710629463196,193.5068657398224,"unknown","unknown",200.2596755027771,202.85897278785706,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",208.9537558555603,"unknown","unknown",214.2696087360382
"ac6f3f6",-40.61757850646973,"unknown",-34.83475208282471,-29.28246021270752,0.0,5.531025171279907,53.971402406692505,60.856712341308594,80.34584379196167,87.19479870796204,96.21804547309875,"unknown",103.09178614616394,"unknown",110.24386715888977,111.62294149398804,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.84373331069946,"","unknown",123.82283639907837,150.8417718410492,156.80611276626587,"unknown","unknown",162.5616307258606,173.22660613059998,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",180.0500521659851,"unknown","unknown",186.06452894210815
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-2242.8292105197906,"unknown",-2237.319110393524,-2231.8199665546417,0.0,6.95039439201355,10.44205117225647,18.195505619049072,28.487789392471313,34.37129831314087,39.93573474884033,"unknown","unknown",45.75510621070862,52.084397315979004,54.61717653274536,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.94890546798706,"","unknown",66.52502012252808,72.0405752658844,"unknown",78.6249189376831,"unknown",85.59233570098877,87.66118454933167,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.98353409767151,"unknown","unknown",100.11358571052551
"4e53c5c",-132.71626234054565,"unknown",-126.31726741790771,-119.389652967453,0.0,6.248582363128662,11.782616376876831,18.956268072128296,35.06090784072876,42.40481495857239,48.53160333633423,54.672831535339355,"unknown","unknown",60.926186323165894,63.13355851173401,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.26121258735657,"","unknown",76.08331227302551,79.94414043426514,86.16771984100342,"unknown","unknown",93.18683981895447,96.30648493766785,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.36740183830261,"unknown","unknown",108.00187158584595
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
