"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-3917222.2409465313,"unknown",-3917216.026648283,-3917209.8953142166,0.0,6.320777654647827,10.805563926696777,18.005162000656128,32.019761085510254,38.061036586761475,40.41344976425171,"unknown",46.896530866622925,"unknown",52.477874755859375,53.90733551979065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",59.37913417816162,"","unknown",65.76947498321533,68.17515468597412,"unknown","unknown",75.25871133804321,81.69120073318481,89.40645575523376,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.54358768463135,"unknown","unknown",102.19458341598511
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-4885.236766815186,"unknown",-4878.837953567505,-4872.3711149692535,0.0,7.417365789413452,11.030618906021118,19.223140239715576,33.967610597610474,41.24022340774536,42.65546274185181,48.182040214538574,"unknown","unknown",54.114649534225464,56.312532901763916,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.49771428108215,"","unknown",69.26441812515259,80.77489304542542,87.49121880531311,"unknown","unknown",93.43323945999146,99.43320941925049,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.68661832809448,"unknown","unknown",111.63422799110413
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-25678.790059566498,"unknown",-25673.361308336258,-25666.61345410347,0.0,7.132946252822876,8.912134408950806,16.67965054512024,25.662090063095093,32.83687233924866,34.89826011657715,41.26299858093262,"unknown","unknown",46.677868604660034,59.35714101791382,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.63442325592041,"","unknown",71.66704249382019,81.64114356040955,88.18416333198547,"unknown","unknown",93.62392139434814,95.27834558486938,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.05564975738525,"unknown","unknown",107.87067699432373
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2934.363216638565,"unknown",-2928.275486946106,-2921.9763326644897,0.0,6.994160890579224,8.331964015960693,16.466187000274658,29.02052640914917,36.015172243118286,37.53471827507019,43.1043758392334,"unknown","unknown",49.294188022613525,52.24472761154175,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.728028535842896,"","unknown",63.7736451625824,65.62525391578674,72.79202699661255,"unknown","unknown",79.50645041465759,80.91604280471802,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.89504933357239,"unknown","unknown",94.11846446990967
"ac6f3f6",-3946.7416892051697,"unknown",-3940.1467096805573,-3934.123337507248,0.0,6.024641990661621,76.5222806930542,84.08500862121582,96.53318810462952,103.60457944869995,107.57675528526306,113.38896131515503,"unknown","unknown",119.0353274345398,121.1514139175415,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.93707537651062,"","unknown",132.58053612709045,142.04587650299072,148.62197971343994,"unknown","unknown",154.7859423160553,156.22957229614258,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",163.32503533363342,"unknown","unknown",169.80366730690002
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4047.039613723755,"unknown",-4041.6983749866486,-4035.191811800003,0.0,6.185049533843994,10.833299398422241,18.957860708236694,62.775296449661255,69.77796339988708,81.55135917663574,"unknown","unknown",87.0756721496582,94.09638786315918,95.44007635116577,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.94257402420044,"","unknown",107.38864922523499,109.94259357452393,"unknown",116.17105007171631,"unknown",121.5634765625,131.02737045288086,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.5775773525238,"unknown","unknown",144.60100531578064
"4e53c5c",-2201.3180644512177,"unknown",-2194.597985267639,-2189.002691268921,0.0,6.817314386367798,10.640079498291016,18.19191837310791,39.09479594230652,45.044477701187134,48.647353172302246,54.55526638031006,"unknown","unknown",60.18320918083191,62.13666605949402,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.20509600639343,"","unknown",74.72015261650085,77.69482898712158,83.66703295707703,"unknown","unknown",89.07684826850891,91.85084676742554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.0495285987854,"unknown","unknown",105.11054730415344
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-23423.777846813202,"unknown",-23417.10669183731,-23410.399363040924,0.0,7.074040412902832,20.760549068450928,28.072104930877686,41320.25021314621,41327.29433298111,41338.28656768799,"unknown","unknown",41343.6450278759,41349.29539990425,41354.276990652084,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",41359.59814095497,"","unknown",41366.2540242672,41373.5104804039,"unknown",41379.611762046814,"unknown",41386.82049512863,41389.35156369209,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",41396.0515794754,"unknown","unknown",41401.30156445503
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-2129.2813725471497,"unknown",-2123.649072408676,-2117.533483982086,0.0,6.720105886459351,32.12168860435486,40.32125377655029,69.48610973358154,76.85364818572998,86.99072003364563,"unknown","unknown",93.40602564811707,99.51431107521057,101.49696564674377,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.34613990783691,"","unknown",113.92381191253662,118.3876805305481,124.75538182258606,"unknown","unknown",130.26522994041443,162.63987350463867,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",169.5560004711151,"unknown","unknown",176.27747750282288
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-169629.0083231926,"unknown",-169623.0970363617,-169616.7018237114,0.0,6.834630489349365,16.238193035125732,24.144888401031494,41.615113258361816,48.98979210853577,51.349188804626465,56.696388959884644,"unknown","unknown",63.02075505256653,66.38999676704407,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.69126272201538,"","unknown",77.61146712303162,79.60448336601257,85.02569842338562,"unknown","unknown",91.41837048530579,117.79144048690796,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.55818843841553,"unknown","unknown",130.86508870124817
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1850.2720210552216,"unknown",-1843.404268026352,-1837.9511337280273,0.0,6.259788274765015,7.942917108535767,15.075528144836426,30.994929313659668,36.899943351745605,47.01488709449768,53.83584380149841,"unknown","unknown",59.3389310836792,60.91065549850464,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.69123435020447,"","unknown",74.69011116027832,1071.3126208782196,"unknown","unknown",1076.982706785202,1083.2884030342102,12854.673552274704,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",12861.853333950043,"unknown","unknown",12867.350633621216
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-216.33230209350586,"unknown",-210.03311705589294,-204.6920521259308,0.0,6.165682792663574,8.813183069229126,16.80906367301941,20.733662605285645,26.874887943267822,43.50295948982239,"unknown","unknown",50.262251138687134,57.401793241500854,112.5542733669281,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.70848441123962,"","unknown",125.86215090751648,136.26957035064697,"unknown","unknown",142.2469027042389,147.89098572731018,160.96861600875854,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",167.68417763710022,"unknown","unknown",174.30590295791626
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-1412.2299256324768,"unknown",-1405.5640251636505,-1399.549414396286,0.0,5.349421977996826,6.7956647872924805,15.35842251777649,24.883584022521973,31.642441034317017,36.563851833343506,"unknown",42.536853551864624,"unknown",48.65678787231445,50.54267191886902,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.090503215789795,"","unknown",61.42557692527771,64.05230045318604,"unknown",70.4603180885315,"unknown",76.15484118461609,78.53637981414795,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.2972674369812,"unknown","unknown",91.39812970161438
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-3872.067741394043,"unknown",-3865.3427295684814,-3858.8245615959167,0.0,5.348445892333984,9.77220606803894,17.138731241226196,31.272822856903076,37.50891304016113,53.00154757499695,"unknown",60.29094672203064,"unknown",65.60358238220215,67.2667944431305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.00077962875366,"","unknown",79.3240339756012,85.32733154296875,"unknown",91.51971912384033,"unknown",98.29907965660095,100.48321413993835,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.90572237968445,"unknown","unknown",114.16060090065002
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-2046.4138295650482,"unknown",-2040.8970265388489,-2033.75213265419,0.0,5.706023216247559,10.606033563613892,18.251437664031982,64.53519105911255,70.96606659889221,73.32937622070312,79.63461375236511,"unknown","unknown",86.75216746330261,89.00831890106201,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.88707065582275,"","unknown",101.705078125,104.14960479736328,110.12106919288635,"unknown","unknown",115.74297881126404,118.04482007026672,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.14487028121948,"unknown","unknown",131.400399684906
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ec15bc",-4350.541982412338,"unknown",-4343.719476938248,-4337.775171995163,0.0,6.509243488311768,8.208724975585938,15.354095935821533,19.66539430618286,26.528175354003906,28.468327045440674,34.896581411361694,"unknown","unknown",41.022226333618164,1230.1061341762543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1235.8365395069122,"","unknown",1242.7714095115662,1286.065720796585,1292.729783296585,"unknown","unknown",1298.2555584907532,298741.0731217861,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",298747.0565946102,"unknown","unknown",298752.7592725754
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a300755","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7bb45d3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07ff49d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ad2fc5b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
