"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-920.6974642276764,"unknown",-914.8427784442902,-908.4539704322815,0.0,6.085781097412109,45.531383752822876,54.30953526496887,89.07213163375854,95.40816497802734,97.52408766746521,103.25045156478882,"unknown","unknown",109.09845924377441,110.71893763542175,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.38747811317444,"","unknown",122.38559865951538,128.50122380256653,134.0823369026184,"unknown","unknown",140.36448001861572,149.19793939590454,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",156.21491265296936,"unknown","unknown",162.71220445632935,""
"b5edd3c",-147487.7428331375,"unknown",-147480.75744366646,-147473.65916228294,0.0,5.800431728363037,16.97213912010193,25.313098430633545,36.3010151386261,42.61449360847473,45.22472357749939,"unknown",51.44426655769348,"unknown",58.35240435600281,59.915892362594604,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.16104555130005,"","unknown",71.97610116004944,83.62297534942627,89.98559212684631,"unknown","unknown",97.14870047569275,98.59257888793945,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.26903676986694,"unknown","unknown",111.0600757598877,""
"374ecf8",-1224.5593845844269,"unknown",-1219.0796208381653,-1213.099519252777,0.0,6.937657594680786,17.17567539215088,24.298677921295166,57.87455224990845,63.828242778778076,66.28868293762207,"unknown",71.97304439544678,"unknown",78.62494587898254,81.22157144546509,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.65148782730103,"","unknown",93.0898871421814,101.86719536781311,"unknown",108.26589679718018,"unknown",113.97411942481995,116.67375183105469,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.02137398719788,"unknown","unknown",129.52689003944397,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.990076541900635,"unknown",83.37515234947205,"unknown",91.54827284812927,"unknown","unknown","unknown","unknown",107.4811360836029,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",136.477032661438,"unknown","unknown","unknown","unknown",152.00867366790771,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-6051.906814336777,"unknown",-6045.041868209839,-6038.223991394043,0.0,6.493438959121704,12.807858228683472,21.78587055206299,33.128098487854004,38.80992126464844,50.26135444641113,"unknown",56.31507110595703,"unknown",62.321799755096436,64.03427529335022,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.43600678443909,"","unknown",77.54662036895752,97.58567118644714,103.0362708568573,"unknown","unknown",109.63705658912659,111.13591980934143,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.6321930885315,"unknown","unknown",122.34168219566345,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",8.118870496749878,"unknown",30.168805360794067,"unknown",38.37350583076477,"unknown","unknown","unknown","unknown",52.935386180877686,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",23891.587045431137,"unknown","unknown","unknown","unknown",23905.129260778427,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",192.92422127723694,"unknown",867.0133464336395,"unknown",876.9191951751709,"unknown","unknown","unknown","unknown",892.1832394599915,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",914.7947096824646,"unknown","unknown","unknown","unknown",938.6476049423218,"unknown",948.1229486465454,"unknown","unknown","unknown","unknown",962.135354757309,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-85531.68378472328,"unknown",-85524.87510967255,-85518.88227152824,0.0,6.167667865753174,8.375436067581177,16.875309228897095,32.7988121509552,39.05962562561035,44.46187663078308,50.02819490432739,"unknown","unknown",55.966933727264404,58.892669677734375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.94364070892334,"","unknown",71.96383094787598,76.19646906852722,81.91110038757324,"unknown","unknown",87.66575050354004,89.59836554527283,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.86523270606995,"unknown","unknown",101.75783276557922,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",15.321878433227539,"unknown",98.36524438858032,"unknown",108.34294867515564,"unknown","unknown","unknown","unknown",132.16778755187988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",155.53561401367188,"unknown","unknown","unknown","unknown",170.15532660484314,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
