"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-4428.676880598068,"unknown",-4422.121778488159,-4415.596329450607,0.0,5.309333086013794,107.60256338119507,114.75115656852722,195.6727795600891,201.87395882606506,210.02800464630127,217.30975031852722,"unknown","unknown",224.49969100952148,261.6819682121277,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",268.63911867141724,"unknown",274.248722076416,277.3923010826111,284.16938376426697,"unknown","unknown",290.28038024902344,291.93604254722595,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",298.6739158630371,"unknown","unknown",304.82221364974976
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-10884.424488544464,"unknown",-10878.65875196457,-10871.454058885574,0.0,6.3894853591918945,7.787690877914429,14.956048011779785,17.090785026550293,24.178711652755737,37.68050456047058,"unknown",44.517181396484375,"unknown",49.84060096740723,51.217968225479126,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.707908153533936,"unknown",63.6807541847229,65.27640438079834,"unknown",71.10497736930847,"unknown",78.05740118026733,80.2491295337677,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.81088662147522,"unknown","unknown",94.02307772636414
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-126087.16278457642,"unknown",-126081.315502882,-126074.20319247246,0.0,7.306962966918945,8.900119304656982,15.138862371444702,33.88549327850342,40.93757963180542,46.4186806678772,"unknown",53.0714852809906,"unknown",59.43490195274353,61.29911136627197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.98263096809387,"unknown",73.0421245098114,75.44847297668457,81.30844044685364,"unknown","unknown",87.558762550354,123.04605555534363,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",128.8837342262268,"unknown","unknown",136.0760567188263
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2882.512463092804,"unknown",-2877.2699909210205,-2871.6940767765045,0.0,5.950416326522827,8.929682970046997,16.053380489349365,29.141674518585205,35.1369526386261,36.83864164352417,43.97254776954651,"unknown","unknown",50.43821334838867,52.641777753829956,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.59620237350464,"unknown",66.58187818527222,80.35587620735168,87.62531185150146,"unknown","unknown",94.5837914943695,95.9118959903717,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.0569121837616,"unknown","unknown",109.7535400390625
"ac6f3f6",-1659.1257674694061,"unknown",-1653.5909497737885,-1647.8936524391174,0.0,6.39102029800415,10.572582244873047,17.11663007736206,44.71501970291138,51.11798667907715,81.77758288383484,"unknown",88.6862416267395,"unknown",95.6780641078949,115.07500672340393,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.74098896980286,"unknown",127.55461835861206,136.8186068534851,142.57484006881714,"unknown","unknown",148.5103042125702,503178.5147049427,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",503184.4131453037,"unknown","unknown",503190.26546525955
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-5637.297767162323,"unknown",-5615.257170200348,-5598.193151950836,0.0,6.090402841567993,9.008545637130737,15.157538890838623,45.07560062408447,50.88773250579834,52.560184478759766,"unknown",58.58229041099548,"unknown",64.47833561897278,66.10331988334656,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.40468001365662,"unknown",79.27325868606567,83.69022297859192,"unknown",89.94709467887878,"unknown",95.50288319587708,97.55116248130798,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.89001226425171,"unknown","unknown",111.18003821372986
