"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-1583.4609293937683,"unknown",-1577.041183233261,-1570.0797719955444,0.0,5.659271717071533,28926.47371506691,28932.64965724945,28944.287201166153,28950.25705718994,28970.068657636642,28975.81192302704,"unknown","unknown",28981.82031440735,28990.993975877762,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",28997.36147046089,"","unknown",29003.728697538376,29008.53661084175,29015.54149222374,"unknown","unknown",29021.036326169968,38744.85807275772,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",38752.03595972061,"unknown","unknown",38758.31786441803
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-325.48097372055054,"unknown",-320.0564923286438,-313.4260993003845,0.0,7.9580159187316895,10.32502007484436,16.720418214797974,22.448967933654785,29.21338152885437,37.72220778465271,"unknown",43.56017565727234,"unknown",48.86468434333801,51.04087567329407,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.076839208602905,"","unknown",64.03820967674255,66.46989488601685,"unknown",73.37614893913269,"unknown",80.00596308708191,81.70529818534851,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.21725392341614,"unknown","unknown",94.8523223400116
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-60613.0405523777,"unknown",-60606.11635160446,-60600.68355679512,0.0,6.161467790603638,29.977517127990723,37.12160277366638,134.27894139289856,139.67067122459412,147.0000033378601,"unknown",152.83661699295044,"unknown",159.1631486415863,160.65939354896545,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",167.4680197238922,"","unknown",173.7140176296234,446.01238894462585,451.7796063423157,"unknown","unknown",457.67000699043274,492.97335052490234,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",499.1519045829773,"unknown","unknown",504.91619062423706
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-891.4501850605011,"unknown",-885.0469012260437,-879.2040269374847,0.0,6.0739147663116455,7.586632013320923,14.232658863067627,27.001909494400024,32.71812915802002,36.72111797332764,"unknown",42.75381064414978,"unknown",48.469566106796265,50.517579317092896,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.46960091590881,"","unknown",64.16949081420898,66.48150372505188,73.1740198135376,"unknown","unknown",78.47247910499573,80.19232821464539,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.24306201934814,"unknown","unknown",93.18561816215515
"ac6f3f6",-8449.15120768547,"unknown",-8443.269981622696,-8437.461441755295,0.0,-1.031836986541748,0.3315303325653076,5.515169620513916,25.196958303451538,32.24226498603821,42.10620427131653,"unknown",48.6077995300293,"unknown",54.84985375404358,56.83823275566101,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.84032583236694,"","unknown",69.48793196678162,73.6438205242157,79.46007823944092,"unknown","unknown",85.75688004493713,86.81719660758972,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.40906143188477,"unknown","unknown",98.04958248138428
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-6982.998831272125,"unknown",-6976.318839550018,-6969.532442331314,0.0,6.185034513473511,13.788073301315308,20.47145104408264,44.295586824417114,50.25673794746399,53.603336334228516,"unknown","unknown",59.33046102523804,65.18741631507874,69.07086324691772,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.95366740226746,"","unknown",81.68802165985107,98.25371408462524,"unknown",105.02052617073059,"unknown",110.87167572975159,112.29192423820496,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.95020246505737,"unknown","unknown",125.18888807296753
