"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-8389.32975101471,"unknown",-8382.813892364502,-8376.200182437897,0.0,5.668491363525391,7.363026857376099,12.816108226776123,17.93196940422058,23.23466968536377,44.11032009124756,"unknown",49.62419533729553,"unknown",56.06208348274231,57.51875972747803,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.046952962875366,"","unknown",68.74009275436401,70.63595247268677,"unknown",77.04321384429932,"unknown",82.54576683044434,84.44211268424988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.85880398750305,"unknown","unknown",97.3049795627594
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-3014.189169883728,"unknown",-3008.073454618454,-3001.4357726573944,0.0,6.682717561721802,11.761250019073486,18.502161026000977,37.467732191085815,43.396641969680786,58.565815448760986,"unknown",65.27622556686401,"unknown",70.91691970825195,72.76279473304749,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.81724882125854,"","unknown",86.13659143447876,89.4109468460083,"unknown",95.23030352592468,"unknown",100.56125736236572,101.75708866119385,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.35764837265015,"unknown","unknown",113.86578178405762
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-95526.94129157066,"unknown",-95520.972158432,-95515.63917422295,0.0,7.157370090484619,9.17879843711853,14.86795949935913,62.40668869018555,68.9420108795166,72.60667371749878,"unknown","unknown",79.70047235488892,85.94718766212463,88.98432612419128,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.77889823913574,"","unknown",102.71747922897339,108.59011769294739,"unknown",114.35687208175659,"unknown",119.77442145347595,126.33434104919434,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.59875416755676,"unknown","unknown",139.63558292388916
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-7595.003026723862,"unknown",-7589.142023563385,-7583.397851467133,0.0,7.26197624206543,41.37576961517334,47.573264837265015,48.881325006484985,54.390026330947876,65.03794956207275,"unknown","unknown",72.14254212379456,78.09062671661377,79.76957511901855,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.65407490730286,"","unknown",91.95876669883728,94.72783756256104,"unknown","unknown",101.59075808525085,107.78699326515198,110.03018999099731,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.19734263420105,"unknown","unknown",123.34744501113892
"ac6f3f6",-17.105637550354004,"unknown",-10.911058187484741,-3.764498233795166,0.0,5.899977445602417,54.054118633270264,59.364461183547974,282.21448254585266,287.4227147102356,293.64577078819275,"unknown","unknown",299.8540885448456,306.2555434703827,308.1926097869873,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",313.7110049724579,"","unknown",319.78404664993286,324.73659324645996,"unknown","unknown",331.607791185379,338.5130159854889,340.37456130981445,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",347.4528205394745,"unknown","unknown",354.1197657585144
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-7394.449977874756,"unknown",-7388.69592833519,-7380.44403719902,0.0,6.152827262878418,16.853851318359375,23.804454565048218,35.10179281234741,41.62477707862854,52.95225787162781,"unknown","unknown",60.20594239234924,67.16184568405151,68.86091041564941,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.10339689254761,"","unknown",80.10256433486938,83.7282350063324,"unknown",89.37646317481995,"unknown",95.26505017280579,100.80476021766663,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.87580823898315,"unknown","unknown",114.25779390335083
"4e53c5c",-1614.964138507843,"unknown",-1609.2584717273712,-1603.1586420536041,0.0,5.576333045959473,14.51104998588562,21.64305305480957,40.3943612575531,47.59384799003601,57.88375186920166,"unknown","unknown",64.0922155380249,69.59943723678589,72.22672915458679,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.71094679832458,"","unknown",84.36619639396667,89.37648153305054,95.60727214813232,"unknown","unknown",101.10432267189026,106.86382412910461,113.31516885757446,121.36949944496155,"unknown",127.64394235610962,"unknown",134.75170850753784,136.98676347732544,"unknown","unknown","unknown","unknown","unknown",142.3583631515503,"unknown",147.96026062965393
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-22866.656222105026,"unknown",-22860.299849033356,-22854.013396263123,0.0,5.717555522918701,8.06992483139038,13.265092611312866,25.416526794433594,31.875550746917725,45.14321780204773,"unknown","unknown",50.55037212371826,56.61152768135071,58.94874382019043,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.86592769622803,"","unknown",72.12060141563416,146.38431096076965,"unknown","unknown",151.94680166244507,157.76313662528992,179.11579489707947,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",184.7148711681366,"unknown","unknown",190.97125577926636
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1435.1179111003876,"unknown",-1429.528393983841,-1422.4652853012085,0.0,5.9344141483306885,13.805597066879272,20.720191717147827,36.0172815322876,43.01535511016846,47.67027258872986,"unknown","unknown",55.01595067977905,61.266435861587524,64.15400290489197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.80097842216492,"","unknown",78.02807068824768,87.9043173789978,"unknown",94.08002352714539,"unknown",100.32415628433228,102.86523962020874,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.00017428398132,"unknown","unknown",116.82789206504822
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-35.34462523460388,"unknown",-28.208477020263672,-21.09407091140747,0.0,7.0455381870269775,10.3385648727417,15.741870641708374,28.13599681854248,35.05037569999695,47.63966178894043,"unknown","unknown",53.81114745140076,59.21517324447632,61.31428551673889,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.24130845069885,"","unknown",72.79334664344788,75.97231912612915,"unknown","unknown",82.3000078201294,88.22513103485107,92.66596984863281,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.4809627532959,"unknown","unknown",105.08052492141724
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-46.04900121688843,"unknown",-39.42923283576965,-32.85520672798157,0.0,6.864569664001465,8.884282350540161,15.848843574523926,24.258739948272705,29.580772161483765,34.21055483818054,40.1136372089386,"unknown","unknown",45.59546947479248,50.196486949920654,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.053858518600464,"","unknown",62.64242696762085,66.04515147209167,72.41195297241211,"unknown","unknown",78.66886734962463,466.9355092048645,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",473.4447703361511,"unknown","unknown",479.5504643917084
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-3739.7927289009094,"unknown",-3732.9591755867004,-3726.8368802070618,0.0,6.117093324661255,8.566273927688599,15.340489625930786,24.413497924804688,30.35627579689026,32.261125564575195,"unknown","unknown",38.97455811500549,44.38839101791382,47.41442823410034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.928470849990845,"","unknown",59.21037268638611,61.91846799850464,"unknown","unknown",68.22770047187805,74.67112708091736,76.63208365440369,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.14898037910461,"unknown","unknown",88.05651617050171
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
