"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-24045.295698165894,"unknown",-24039.206959962845,-24032.348972797394,0.0,5.617025375366211,25.728442668914795,31.369060516357422,71.90941643714905,78.09638094902039,81.26709461212158,"unknown","unknown",87.86060404777527,93.35241961479187,96.23847556114197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.06854271888733,"","unknown",109.368821144104,124.42650008201599,"unknown","unknown",130.62513279914856,136.12919807434082,137.72585940361023,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.2671127319336,"unknown","unknown",151.23412680625916,""
"b5edd3c",-281540.6132221222,"unknown",-281533.5641169548,-281526.4496240616,0.0,6.2152228355407715,11.894145250320435,17.354828119277954,26.25740623474121,32.88193893432617,35.8431077003479,"unknown","unknown",41.27157378196716,46.7445273399353,49.436009645462036,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.14403247833252,"","unknown",61.788750410079956,68.74171328544617,"unknown","unknown",75.02724051475525,81.92537808418274,83.81846952438354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.51608777046204,"unknown","unknown",95.49515843391418,""
"374ecf8",-71452.02517151833,"unknown",-71446.44649457932,-71439.3974776268,0.0,6.702697992324829,9.78461480140686,15.872346878051758,17.85902976989746,24.459200620651245,32.67010188102722,"unknown","unknown",38.67199969291687,45.66562628746033,47.68720507621765,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.19063425064087,"","unknown",60.364670276641846,69.01724362373352,"unknown","unknown",76.07657146453857,82.61763882637024,84.30970215797424,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.6041669845581,"unknown","unknown",96.36514210700989,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",47.94544816017151,"unknown",62.2998993396759,"unknown",84.18197631835938,"unknown","unknown","unknown","unknown",904.7242333889008,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",978.0768494606018,"unknown","unknown","unknown","unknown",997.2821478843689,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-14705.406114578247,"unknown",-14698.535126447678,-14691.332727193832,0.0,6.2034125328063965,8.628592491149902,15.211520433425903,23.683667421340942,30.964648485183716,37.193851470947266,"unknown",44.1926851272583,"unknown",51.2115957736969,53.04773807525635,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.82988524436951,"","unknown",64.19953060150146,68.45733141899109,75.24651312828064,"unknown","unknown",82.36396217346191,83.83134412765503,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.31340265274048,"unknown","unknown",95.84259462356567,""
"2541155",-3834.2506506443024,"unknown",-3828.9316844940186,-3822.632940530777,0.0,6.242979526519775,9.00803518295288,15.65710735321045,33.09098267555237,39.32167720794678,51.02532339096069,"unknown","unknown",56.69029760360718,62.89883017539978,67.32220959663391,73.61439156532288,87.69511079788208,"unknown",94.15531182289124,"unknown",101.15570878982544,102.42740154266357,"unknown","unknown","unknown","unknown","unknown",108.58272647857666,"unknown",113.98849868774414,122.7396080493927,129.2652382850647,"unknown","unknown",136.46450233459473,138.65415501594543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.0652894973755,"unknown","unknown",152.36560010910034,""
"ac6f3f6",-3746.9099419116974,"unknown",-3740.314062833786,-3733.508103609085,0.0,6.545422315597534,9.440633535385132,15.256556510925293,30.927262783050537,37.60607123374939,41.81472945213318,"unknown","unknown",49.032424449920654,54.74059844017029,56.69780945777893,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.915300607681274,"","unknown",70.73789238929749,74.17493391036987,"unknown",80.02583932876587,"unknown",85.46317553520203,88.43335437774658,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.94973278045654,"unknown","unknown",100.06404757499695,""
"62447b9",-28700.19013261795,"unknown",-28693.64789915085,-28686.945192337036,0.0,6.019011735916138,9.314005851745605,14.789018392562866,37.78125619888306,43.71742534637451,51.92764854431152,"unknown",58.0588276386261,"unknown",65.18679785728455,66.96589207649231,73.50088953971863,87.21274471282959,"unknown","unknown",94.40418791770935,101.46021389961243,104.63249659538269,"unknown","unknown","unknown","unknown","unknown",111.04798889160156,"unknown",116.45679974555969,123.4451961517334,"unknown",130.18863821029663,"unknown",136.88240766525269,139.03450727462769,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.51586294174194,"unknown","unknown",151.83141016960144,""
"20f3e2e",-28.41227626800537,"unknown",-21.575844526290894,-15.478440761566162,0.0,7.282240390777588,19.438881158828735,25.767919540405273,46.49071979522705,53.08793807029724,56.846620082855225,"unknown","unknown",63.89916133880615,69.44664430618286,71.15644073486328,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.66344380378723,"","unknown",82.46305513381958,87.23064112663269,"unknown",94.22443866729736,"unknown",99.8102753162384,102.7559962272644,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.76394987106323,"unknown","unknown",114.90470385551453,""
