"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","7_otro_1","2_1"
"518e9b8",-7321.566457986832,"unknown",-7314.906143426895,-7309.4885675907135,0.0,6.1484105587005615,27.82348394393921,50.64623785018921,65.91377997398376,72.01225733757019,77.42828679084778,"unknown","unknown",84.38765501976013,89.65866661071777,91.24631118774414,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.01740217208862,"","unknown",104.10846018791199,105.94179964065552,112.95759558677673,"unknown","unknown",118.36212253570557,120.62694883346558,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.31749367713928,"unknown","unknown",131.68748688697815,"",""
"b5edd3c",-206219.72378087044,"unknown",-206213.33328390121,-206207.3398461342,0.0,6.603764533996582,8.458762168884277,17.111221075057983,28.08501362800598,33.771872758865356,35.486347913742065,"unknown",41.858229637145996,"unknown",49.03767681121826,50.79538655281067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.57087159156799,"","unknown",63.577194929122925,67.45405864715576,"unknown","unknown",72.98361015319824,78.78365874290466,80.10445761680603,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.4197907447815,"unknown","unknown",92.2740375995636,"",""
"374ecf8",-37780.38509654999,"unknown",-37774.9236741066,-37768.2188642025,0.0,6.133906841278076,9.392953872680664,17.744443655014038,39.05003333091736,44.97831153869629,52.07611417770386,"unknown",58.99687600135803,"unknown",65.2098536491394,68.75927066802979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.50022768974304,"","unknown",80.08143281936646,85.1315290927887,91.56587147712708,"unknown","unknown",98.22452235221863,100.49664568901062,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.11518692970276,"unknown","unknown",112.60944128036499,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",20.973990201950073,"unknown",38.729554414749146,"unknown",52.54204726219177,"unknown","unknown","unknown","unknown",85.79277014732361,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",121.17841410636902,"unknown","unknown","unknown","unknown",752.8474910259247,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-11679.247816085815,"unknown",-11672.834751367569,-11665.595661878586,0.0,6.550477743148804,9.933730602264404,16.93213963508606,27.291739225387573,33.73452162742615,36.50740671157837,42.31326484680176,"unknown","unknown",48.11349129676819,49.697338581085205,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.92050647735596,"","unknown",62.80757713317871,64.74842572212219,70.55257844924927,"unknown","unknown",77.24561071395874,79.52197408676147,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.42118287086487,"unknown","unknown",91.88237571716309,"",""
"2541155",-108199.83302426338,"unknown",-108193.55539155006,-108188.14627838135,0.0,6.801707744598389,8.183681964874268,16.600436210632324,21.592819929122925,27.98661494255066,31.63655734062195,"unknown","unknown",38.800886392593384,44.13684034347534,47.65313243865967,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.79315757751465,"","unknown",61.96448540687561,66.63439917564392,"unknown","unknown",72.10909581184387,79.21131539344788,83.4352035522461,88.82759213447571,90.4934594631195,"unknown",96.03654956817627,"unknown",101.43242907524109,103.64898085594177,"unknown","unknown","unknown","unknown","unknown",109.86582684516907,"unknown",116.7635862827301,"",""
"ac6f3f6",-54.227023124694824,"unknown",-48.87622666358948,-43.48891520500183,0.0,6.15341329574585,10.984932661056519,19.13129210472107,36.567726612091064,41.99866795539856,45.07145881652832,50.90949034690857,"unknown","unknown",56.998077392578125,58.69562077522278,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.48573613166809,"","unknown",70.74535059928894,76.08944869041443,83.1938579082489,"unknown","unknown",89.23411774635315,90.57757019996643,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.28545928001404,"unknown","unknown",103.15341281890869,"",""
"62447b9",-301900.2786667347,"unknown",-301894.16781258583,-301886.82819366455,0.0,5.845701456069946,10.16032338142395,18.410227298736572,91.11639475822449,97.28259372711182,116.3690242767334,121.64027571678162,"unknown","unknown",128.04425644874573,131.80118799209595,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.0587122440338,"","unknown",142.94446468353271,158.14608120918274,164.95798325538635,"unknown","unknown",170.44348669052124,189.08232951164246,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",195.2857415676117,"unknown","unknown",200.67597603797913,"",""
"20f3e2e",-27177.485840559006,"unknown",-27170.392659425735,-27164.310987234116,0.0,6.180647373199463,9.06862998008728,17.795746326446533,45.9451630115509,53.06696367263794,56.0604681968689,"unknown",62.18249583244324,"unknown",67.43679165840149,94.21867680549622,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.7341878414154,"","unknown",107.02642011642456,109.3870370388031,"unknown",114.74379253387451,"unknown",120.96913170814514,136.91962027549744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.12469744682312,"unknown","unknown",149.94887256622314,"",""
"4e53c5c",-60.60027074813843,"unknown",-53.960599422454834,-46.86146354675293,0.0,6.7269978523254395,11.501959562301636,19.21625781059265,50.06191420555115,56.56038188934326,61.84350562095642,"unknown",67.50010538101196,"unknown",74.43220782279968,76.34928107261658,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.49390959739685,"","unknown",90.69086575508118,96.11700391769409,103.02810072898865,"unknown","unknown",109.65695858001709,111.56116199493408,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.80367088317871,"unknown","unknown",122.35391640663147,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-21784.677035331726,"unknown",-21777.753956079483,-21771.608875513077,0.0,6.0484619140625,8.356245756149292,15.75505518913269,43.7247040271759,49.18027710914612,52.125192165374756,"unknown",58.1014769077301,"unknown",63.79937481880188,65.93056392669678,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.72622990608215,"","unknown",78.13293933868408,82.38698029518127,89.54293775558472,"unknown","unknown",95.64009356498718,97.46455097198486,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.54044771194458,"unknown","unknown",109.5361328125,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
