"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","5_otro_1"
"518e9b8",-8659.160893678665,"unknown",-8653.58667230606,-8646.64815402031,0.0,6.871031999588013,16.73710608482361,22.162721157073975,44.070148944854736,50.67105770111084,52.435763359069824,"unknown",59.60148072242737,"unknown",65.76543259620667,68.46509552001953,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.83668613433838,"","unknown",79.6821060180664,83.47747206687927,90.5423104763031,"unknown","unknown",97.25308609008789,99.48782753944397,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.13116383552551,"unknown","unknown",111.77287912368774,"",""
"b5edd3c",-111654.72836613655,"unknown",-111647.45020198822,-111642.01747822762,0.0,6.7006165981292725,9.569036960601807,14.782236576080322,29.361042499542236,35.400452852249146,37.19047808647156,43.33964204788208,"unknown","unknown",50.31804418563843,51.476486921310425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.5120153427124,"","unknown",63.204355239868164,65.81258416175842,71.70290517807007,"unknown","unknown",78.90323138237,80.67739510536194,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.58971071243286,"unknown","unknown",92.16832184791565,"",""
"374ecf8",-95059.4072265625,"unknown",-95052.34035015106,-95045.05698442459,0.0,6.927983999252319,15.790812253952026,22.978499174118042,39.64009618759155,46.513850927352905,50.024630069732666,56.25058126449585,"unknown","unknown",62.14943981170654,63.99496006965637,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.88926148414612,"","unknown",77.8771653175354,81.33897352218628,88.31314134597778,"unknown","unknown",95.59692072868347,142.06914687156677,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",148.45520162582397,"unknown","unknown",153.7271227836609,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",7.899955749511719,"unknown",28.308198928833008,"unknown",70.36092877388,"unknown","unknown","unknown","unknown",126.54722762107849,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",299.9981529712677,"unknown","unknown","unknown","unknown",365.7985198497772,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-2394.5455560684204,"unknown",-2388.944643497467,-2383.4616043567657,0.0,7.235520362854004,8.659460544586182,15.00911021232605,16.887521982192993,24.12599468231201,34.46193218231201,41.73749852180481,"unknown","unknown",47.082804918289185,48.784220933914185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.31354641914368,"","unknown",60.816848039627075,63.09007668495178,70.15889716148376,"unknown","unknown",77.15560245513916,78.40570712089539,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.36075639724731,"unknown","unknown",92.00440955162048,"",""
"ac6f3f6",-28.645272493362427,"unknown",-23.34995174407959,-16.62684917449951,0.0,5.994918346405029,9.580989122390747,15.374052286148071,33.76777720451355,40.581764698028564,47.28391361236572,"unknown","unknown",54.440852642059326,60.14981532096863,62.01918125152588,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.25108623504639,"","unknown",73.06458330154419,79.41153883934021,85.69092416763306,"unknown","unknown",91.30711388587952,92.76696419715881,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.4346513748169,"unknown","unknown",104.93191933631897,"",""
"62447b9",-75369.18121647835,"unknown",-75363.79254317284,-75356.1256287098,0.0,5.509767770767212,8.423697233200073,13.657227039337158,25.547922372817993,32.35493755340576,71.53089118003845,"unknown",78.47211289405823,"unknown",84.81188893318176,88.69035792350769,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.14318609237671,"","unknown",100.82953214645386,109.95730996131897,"unknown",115.92872714996338,"unknown",121.59316682815552,123.59812259674072,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.5010209083557,"unknown","unknown",136.14934659004211,"",""
"20f3e2e",-14054.728415250778,"unknown",-14048.516142368317,-14042.325318813324,0.0,5.474366903305054,9.903141975402832,16.89749765396118,35.83896780014038,42.394781827926636,45.40604591369629,"unknown","unknown",51.22009301185608,56.71684503555298,58.62644028663635,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.42770743370056,"","unknown",71.5545859336853,75.09997892379761,"unknown","unknown",81.39092588424683,88.1904935836792,90.17267060279846,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.0659122467041,"unknown","unknown",102.5253758430481,"",""
"4e53c5c",-1059.8207504749298,"unknown",-1053.7714302539825,-1048.2627050876617,0.0,5.650189399719238,12.386968851089478,18.023494720458984,47.8982367515564,54.93404960632324,57.86966371536255,"unknown",64.9072675704956,"unknown",70.51606059074402,72.65265345573425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.1787736415863,"","unknown",85.00773859024048,90.76984739303589,96.00806093215942,"unknown","unknown",103.18123888969421,111.15965032577515,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.86568880081177,"unknown","unknown",123.6883053779602,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-1412.3697407245636,"unknown",-1406.7321491241455,-1401.1149010658264,0.0,6.197027921676636,14.082150936126709,20.644593954086304,58.54981851577759,66.38514637947083,82.86851596832275,"unknown",89.74169397354126,"unknown",95.47196555137634,98.59845566749573,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.96266627311707,"","unknown",110.76959443092346,115.11335563659668,121.98456048965454,"unknown","unknown",127.5805311203003,129.89198660850525,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",137.07456970214844,"unknown","unknown",143.69523811340332,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-859546.8322169781,"unknown",-859540.145280838,-859534.5413827896,0.0,6.061907052993774,9.001027584075928,14.860044717788696,31.08827543258667,36.533528566360474,49.957733154296875,"unknown","unknown",56.31756067276001,62.37665367126465,64.94447684288025,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.8308117389679,"","unknown",78.42253947257996,86.25677108764648,"unknown",91.58539390563965,"unknown",97.35913372039795,99.90157198905945,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.09570741653442,"unknown","unknown",112.29026508331299,"",""
"ea8c0d6",-50.96033501625061,"unknown",-45.4686496257782,-38.80482888221741,0.0,5.7450852394104,48.74931049346924,55.64586138725281,94.59800744056702,100.61564254760742,105.95796322822571,"unknown","unknown",111.82853698730469,117.48979067802429,120.02000093460083,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.73963117599487,"","unknown",131.98586225509644,200.44227743148804,"unknown","unknown",206.11534595489502,212.29168891906738,214.56948280334473,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",221.54096269607544,"unknown","unknown",228.75967288017273,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-16.698893070220947,"unknown",-10.592878341674805,-4.393069267272949,0.0,6.3339760303497314,12.388974666595459,18.5108904838562,37.066399335861206,44.28199219703674,54.20385384559631,"unknown",59.88958168029785,"unknown",66.86569380760193,75.61318159103394,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.20309901237488,"","unknown",88.27322292327881,238.91661739349365,"unknown",244.5548448562622,"unknown",249.8356912136078,256.1337606906891,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",262.53782868385315,"unknown","unknown",269.26618576049805,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-13.586393117904663,"unknown",-7.573397397994995,-2.0273327827453613,0.0,7.004916429519653,9.14551591873169,15.220348834991455,17.324426651000977,23.949797868728638,49.75442028045654,55.7062828540802,"unknown","unknown",62.783204078674316,69.76800322532654,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.31929659843445,"","unknown",81.6190574169159,84.04482531547546,"unknown","unknown",89.3810305595398,95.477787733078,97.27471017837524,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.87035894393921,"unknown","unknown",109.45960831642151,"",""
"56ee475",-385.0540761947632,"unknown",-379.14847350120544,-372.9046506881714,0.0,6.564722299575806,2464.120194196701,2469.455168247223,7653.530371427536,7659.912842750549,7674.260590553284,"unknown","unknown",7680.075183868408,7685.579322576523,7686.7342092990875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",7693.036039829254,"","unknown",7699.820191144943,7707.098962306976,"unknown","unknown",7712.745531320572,7718.948168754578,9286.396367311478,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",9291.920760154724,"unknown","unknown",9297.711193084717,"",""
"916c172",-807.5820457935333,"unknown",-802.319572687149,-795.3485300540924,0.0,6.6842193603515625,18.668280363082886,25.548248052597046,50.91521620750427,57.32033181190491,60.60081958770752,"unknown","unknown",67.5240044593811,73.18799185752869,74.53612756729126,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.53411054611206,"","unknown",86.68153858184814,91.11394381523132,"unknown","unknown",97.65424180030823,103.2838704586029,105.26191878318787,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.0471863746643,"unknown","unknown",118.09837937355042,"",""
