"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-1898.239304304123,"unknown",-1892.2763142585754,-1886.0242292881012,0.0,6.812228679656982,19.789191484451294,27.049808740615845,60.71113848686218,66.83014726638794,68.42401885986328,74.3540587425232,"unknown","unknown",80.19247698783875,81.45364499092102,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",87.23911190032959,"","unknown",92.59872770309448,94.15265846252441,99.7313015460968,"unknown","unknown",105.88368844985962,108.10311508178711,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.96275544166565,"unknown","unknown",120.3474702835083,""
"b5edd3c",-1864.7416291236877,"unknown",-1859.4168219566345,-1852.4305975437164,0.0,5.608220815658569,14.968144416809082,22.37320590019226,38.953251123428345,44.63848900794983,55.84683084487915,63.46155095100403,"unknown","unknown",70.59387850761414,87.47362732887268,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",94.11179685592651,"","unknown",100.33917117118835,109.63630819320679,115.9191575050354,"unknown","unknown",121.7265772819519,129.94879126548767,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.45230913162231,"unknown","unknown",142.2743866443634,""
"374ecf8",-249.76563453674316,"unknown",-242.50499486923218,-237.1674506664276,0.0,6.2528297901153564,9.041300058364868,17.635690450668335,33.64298725128174,40.44918632507324,58.626715421676636,"unknown",64.82490253448486,"unknown",71.8465039730072,89.96632742881775,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",97.67748594284058,"","unknown",103.69467377662659,6267.2554252147675,"unknown",6274.434398651123,"unknown",6280.936544179916,6421.963337898254,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6428.800840139389,"unknown","unknown",6435.782256603241,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.312078714370728,"unknown",31.41003727912903,"unknown",40.88339710235596,"unknown","unknown","unknown","unknown",55.12131428718567,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",69.46898412704468,"unknown","unknown","unknown","unknown",84.16403269767761,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-55.04524755477905,"unknown",-49.16492199897766,-42.733739376068115,0.0,6.795144557952881,9.990754127502441,16.866134643554688,30.08742618560791,35.99095344543457,51.9017174243927,"unknown","unknown",57.894723415374756,65.22744703292847,67.0913999080658,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.22142219543457,"","unknown",80.24793410301208,86.97979187965393,92.4479308128357,"unknown","unknown",98.1442379951477,100.90643668174744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.87350368499756,"unknown","unknown",113.9707841873169,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",7.084717750549316,"unknown",30.97578263282776,"unknown",40.12479376792908,"unknown","unknown","unknown","unknown",55.63113617897034,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",85.28252530097961,"unknown","unknown","unknown","unknown",100.63064789772034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",8.794118881225586,"unknown",38.740148067474365,"unknown",51.87674593925476,"unknown","unknown","unknown","unknown",65.23599982261658,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",82.94222640991211,"unknown","unknown","unknown","unknown",97.254385471344,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9",-155184.23230195045,"unknown",-155178.38826560974,-155171.9827594757,0.0,5.406538009643555,8.160172939300537,15.274069547653198,32.302528858184814,39.33500552177429,55.88716793060303,"unknown",62.85962724685669,"unknown",69.09641408920288,70.9859938621521,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",77.23686218261719,"","unknown",84.16278767585754,94.24132943153381,101.02450942993164,"unknown","unknown",106.48450469970703,108.38856029510498,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.52693128585815,"unknown","unknown",122.49441123008728,""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",13.679967164993286,"unknown",65.55052542686462,"unknown",80.06760120391846,"unknown","unknown","unknown","unknown",95.07981967926025,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",111.65079498291016,"unknown","unknown","unknown","unknown",129.2046980857849,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"4e53c5c","unknown","unknown","unknown",-144803.3034977913,0.0,6.352236032485962,21.546504735946655,28.60043478012085,49.98242378234863,56.57876396179199,66.14862012863159,"unknown",73.02133846282959,"unknown",80.18212246894836,85.55978393554688,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",91.10461974143982,"","unknown",96.79677200317383,111.50554823875427,118.01509094238281,"unknown","unknown",124.8083508014679,128.55438232421875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",135.41185975074768,"unknown","unknown",140.5912070274353,-144627.39274859428
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",10.3152494430542,"unknown",34.454339027404785,"unknown",49.798412561416626,"unknown","unknown","unknown","unknown",62.75062346458435,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",80.90308785438538,"unknown","unknown","unknown","unknown",96.45081925392151,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",10.255344152450562,"unknown",35.0923867225647,"unknown",46.191633224487305,"unknown","unknown","unknown","unknown",65.93225455284119,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",82.75253248214722,"unknown","unknown","unknown","unknown",97.7281448841095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6",-123516.61055612564,"unknown",-123510.96876049042,-123505.280408144,0.0,5.517112970352173,10.078497886657715,17.669383764266968,48.1049644947052,54.8470413684845,69.40129327774048,"unknown","unknown",75.28148984909058,81.0679566860199,85.17344808578491,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",91.1228940486908,"","unknown",96.31831669807434,156.32656335830688,"unknown",162.92416381835938,"unknown",169.1078221797943,176.79575848579407,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",184.02313327789307,"unknown","unknown",189.6228003501892,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",10.83905553817749,"unknown",145.2079291343689,"unknown",164.94501423835754,"unknown","unknown","unknown","unknown",180.05244994163513,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",204.88201069831848,"unknown","unknown","unknown","unknown",223.34410691261292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
