"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1","4_1","5_1"
"518e9b8",-1468.5201649665833,"unknown",-1462.2466433048248,-1455.9246525764465,0.0,6.541862726211548,14.357335329055786,20.54812002182007,58.239224910736084,65.32614374160767,70.28664064407349,"unknown",75.913738489151,"unknown",82.0454113483429,84.93455386161804,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.6000304222107,"","unknown",96.98583388328552,99.90065050125122,105.29371953010559,"unknown","unknown",112.2116470336914,115.49993467330933,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.16212224960327,"unknown","unknown",126.63962030410767,"","","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",13.927518606185913,"unknown",39.60169243812561,"unknown",48.87327241897583,"unknown","unknown","unknown","unknown",64.39918065071106,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",81.80558228492737,"unknown","unknown","unknown","unknown",97.5911180973053,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",16.78792953491211,"unknown",57.01184391975403,"unknown",67.86632061004639,"unknown","unknown","unknown","unknown",81.7801456451416,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.43427205085754,"unknown","unknown","unknown","unknown",134.04736423492432,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"89f120b",-2669.108462572098,"unknown",-2663.7281358242035,-2654.3640100955963,0.0,7.18446946144104,15.698625564575195,22.020699739456177,53.448288440704346,60.68669533729553,67.45892977714539,74.4972870349884,"unknown","unknown",80.15265846252441,82.63494300842285,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.24806594848633,"","unknown",96.4541642665863,101.73829364776611,108.91259765625,"unknown","unknown",115.10672616958618,116.78175735473633,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.25807785987854,"unknown","unknown",129.97621870040894,"","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.062321901321411,"unknown",31.696372985839844,"unknown",46.0354585647583,"unknown","unknown","unknown","unknown",59.26432919502258,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",82.22445702552795,"unknown","unknown","unknown","unknown",98.15159583091736,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-6836.173102617264,"unknown",-6830.160668134689,-6824.656761884689,0.0,5.722373723983765,19.748990058898926,26.21210765838623,40.722718238830566,47.584126710891724,53.88298511505127,"unknown",59.47108793258667,"unknown",65.80510067939758,68.41876316070557,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.01242399215698,"","unknown",80.20634770393372,100.4069504737854,"unknown",107.63036608695984,"unknown",113.11479258537292,115.53045630455017,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.18539881706238,"unknown","unknown",127.84526324272156,"","","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",12.70706295967102,"unknown",39.80919098854065,"unknown",53.03928899765015,"unknown","unknown","unknown","unknown",66.96226763725281,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",82.70315146446228,"unknown","unknown","unknown","unknown",104.98566484451294,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",9.671712398529053,"unknown",42.87313675880432,"unknown",72.71159148216248,"unknown","unknown","unknown","unknown",87.19202327728271,"unknown",102.2327516078949,"unknown","unknown","unknown","unknown",116.6914701461792,"unknown","unknown","unknown","unknown","unknown","","unknown","unknown",133.716543674469,"unknown","unknown","unknown","unknown",146.58809208869934,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",12.265294790267944,"unknown",57.098193407058716,"unknown",67.38039040565491,"unknown","unknown","unknown","unknown",82.97778654098511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",105.34477305412292,"unknown","unknown","unknown","unknown",119.6137444972992,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.061788320541382,"unknown",40.49319577217102,"unknown",58.43738079071045,"unknown","unknown","unknown","unknown",74.44601058959961,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",92.105952501297,"unknown","unknown","unknown","unknown",110.33622288703918,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
