"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-3173.114100456238,"unknown",-3167.1748304367065,-3159.6875760555267,0.0,5.965573787689209,9.842021942138672,16.5571448802948,28.988218784332275,36.460535526275635,38.83206582069397,"unknown",45.14534783363342,"unknown",51.037567138671875,52.746281147003174,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.08837103843689,"","unknown",64.58444094657898,68.08652710914612,75.13949418067932,"unknown","unknown",81.57634162902832,83.57364010810852,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.64764857292175,"unknown","unknown",97.31764388084412,""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",9.392683744430542,"unknown",24.05373740196228,"unknown",39.51602840423584,"unknown","unknown","unknown","unknown",52.89418625831604,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",72.59937858581543,"unknown","unknown","unknown","unknown",86.41345739364624,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",18.46714162826538,"unknown",55.9107711315155,"unknown",74.13523006439209,"unknown","unknown","unknown","unknown",89.45246577262878,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",117.54600477218628,"unknown","unknown","unknown","unknown",133.02051758766174,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",7.83081579208374,"unknown",23.50160813331604,"unknown",33.83695030212402,"unknown","unknown","unknown","unknown",49.70634865760803,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",65.15768957138062,"unknown","unknown","unknown","unknown",80.09106945991516,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-2653.2945070266724,"unknown",-2647.666049718857,-2640.552904367447,0.0,5.777415037155151,12.091240406036377,18.448188304901123,30.18933343887329,36.97583603858948,44.554837465286255,50.80221748352051,"unknown","unknown",56.21900749206543,58.90959358215332,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.31683659553528,"","unknown",70.53453016281128,75.87613797187805,81.64208340644836,"unknown","unknown",87.52927851676941,110.81237292289734,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.60994505882263,"unknown","unknown",124.12658739089966,""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",8.031310319900513,"unknown",14.794029474258423,"unknown",30.885514974594116,"unknown","unknown","unknown","unknown",44.924694776535034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",60.93096423149109,"unknown","unknown","unknown","unknown",74.19887709617615,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",24.562196731567383,"unknown",186.0910165309906,"unknown",209.78014850616455,"unknown","unknown","unknown","unknown",226.38595008850098,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",244.92509841918945,"unknown","unknown","unknown","unknown",260.5911865234375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",21.826171159744263,"unknown",47.086705446243286,"unknown",68.1611533164978,"unknown","unknown","unknown","unknown",82.49714469909668,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",169.1606605052948,"unknown","unknown","unknown","unknown",185.80723595619202,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",9.834319829940796,"unknown",57.52273368835449,"unknown",73.19115948677063,"unknown","unknown","unknown","unknown",89.29483771324158,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",112.3022449016571,"unknown","unknown","unknown","unknown",127.46071696281433,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",18.36699867248535,"unknown",49.138259410858154,"unknown",64.17967462539673,"unknown","unknown","unknown","unknown",80.7199215888977,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",107.46970891952515,"unknown","unknown","unknown","unknown",122.13649606704712,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",112390.41051697731,"unknown",117640.90904045105,"unknown",542912.9908263683,"unknown","unknown","unknown","unknown",1948493.2420241833,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1948609.2324800491,"unknown","unknown","unknown","unknown",1948625.856332779,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c",-4818.886606693268,"unknown",-4813.490946054459,-4807.249892950058,0.0,7.2294135093688965,12.14699101448059,20.330341577529907,25.815288305282593,32.87987518310547,52.196425437927246,"unknown",57.988794565200806,"unknown",65.16872096061707,67.92798471450806,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.32432985305786,"","unknown",80.45240497589111,90.24223113059998,"unknown","unknown",96.24070954322815,103.22165775299072,106.58961200714111,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.53709483146667,"unknown","unknown",120.75240325927734,""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",10.750048637390137,"unknown",33.277831077575684,"unknown",47.066508769989014,"unknown","unknown","unknown","unknown",63.1030216217041,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",339408.22633099556,"unknown","unknown","unknown","unknown",671299.2618808746,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",30.057806253433228,"unknown",64.84601974487305,"unknown",83.02404642105103,"unknown","unknown","unknown","unknown",98.74953556060791,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",160.1769049167633,"unknown","unknown","unknown","unknown",177.3948459625244,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",13.829516887664795,"unknown",38.26118016242981,"unknown",341.6632869243622,"unknown","unknown","unknown","unknown",379.07069396972656,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",412.2189567089081,"unknown","unknown","unknown","unknown",428.69011998176575,"unknown",445.2167344093323,"unknown","unknown","unknown","unknown",510.828688621521,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c",-18312.37097644806,"unknown",-18306.884424686432,-18300.60928750038,0.0,6.791997909545898,12.124870538711548,18.70175004005432,39.488003969192505,45.794954776763916,59.26509618759155,"unknown",65.53967928886414,"unknown",72.58047890663147,74.4053213596344,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.32103943824768,"","unknown",85.83995032310486,107.32751846313477,114.21823716163635,"unknown","unknown",119.5252034664154,121.66747045516968,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.93811392784119,"unknown","unknown",133.85064339637756,""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","unknown","unknown","unknown","unknown",0.0,"unknown",4025.3449285030365,"unknown",4815.393679141998,"unknown",4890.881407499313,"unknown","unknown","unknown","unknown",4912.481906175613,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",4956.374578952789,"unknown","unknown","unknown","unknown",6198.807912111282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"68c3192",-4003.2477774620056,"unknown",-3996.5333547592163,-3991.155694246292,0.0,7.212172985076904,10.218723058700562,17.082585334777832,64.758868932724,70.71943783760071,76.39796614646912,81.75384497642517,"unknown","unknown",88.96851634979248,91.07434034347534,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.59859347343445,"","unknown",104.47107791900635,112.76433658599854,119.85643887519836,"unknown","unknown",126.76761960983276,128.70850777626038,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.67565536499023,"unknown","unknown",141.1995952129364,""
"eb77de6",-3294.7869873046875,"unknown",-3288.1898624897003,-3281.3430449962616,0.0,6.499256610870361,10.34947156906128,16.03043556213379,34.39201641082764,41.552581548690796,32846.38374733925,32852.96019554138,"unknown","unknown",32859.88475513458,32861.615038871765,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",32867.96170282364,"","unknown",32875.0436065197,32891.325271844864,"unknown","unknown",32896.68923044205,32903.60757279396,32908.31582283974,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",32914.564383268356,"unknown","unknown",32920.988290309906,""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",11.424468517303467,"unknown",32.50206661224365,"unknown",44.97531986236572,"unknown","unknown","unknown","unknown",60.714919090270996,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",79.1283757686615,"unknown","unknown","unknown","unknown",93.98552083969116,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.67395567893982,"unknown",33.84328508377075,"unknown",45.25784468650818,"unknown","unknown","unknown","unknown",61.91130089759827,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",77.62817931175232,"unknown","unknown","unknown","unknown",91.89007711410522,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"56ee475",-5015.268333673477,"unknown",-5009.678156614304,-5004.187108039856,0.0,5.960775136947632,2580.8247241973877,2587.3036329746246,2600.3505198955536,2607.0986590385437,2609.9997334480286,"unknown","unknown",2616.1091945171356,2622.6039593219757,2624.1417014598846,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2629.6279056072235,"","unknown",2635.5272748470306,27110.8807618618,27116.721099853516,"unknown","unknown",27122.408254146576,27123.67996120453,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",27130.321960926056,"unknown","unknown",27137.05766105652,""
"916c172","unknown","unknown","unknown","unknown",0.0,"unknown",15.814000844955444,"unknown",125.39636969566345,"unknown",139.0295374393463,"unknown","unknown","unknown","unknown",155.83874249458313,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",173.19185304641724,"unknown","unknown","unknown","unknown",188.8718707561493,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"d9696dd",-61689.87625193596,"unknown",-61677.31526470184,-61645.040892362595,0.0,7.391612529754639,75.24618268013,81.25636267662048,221.95369505882263,228.683002948761,241.04016661643982,"unknown","unknown",247.27453756332397,253.70609593391418,2375.14200091362,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2381.998424053192,"","unknown",2389.2230937480927,2396.866466522217,"unknown","unknown",2402.985963821411,2409.2825787067413,2428.274066209793,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2435.3007004261017,"unknown","unknown",2442.2006096839905,""
"eff7ebe",-27.441042184829712,"unknown",-20.900675058364868,-13.968816757202148,0.0,6.096996307373047,9.295594215393066,14.58580756187439,27.067978620529175,32.93684935569763,70.81581234931946,"unknown",76.50808429718018,"unknown",83.3643970489502,88.82856678962708,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.57273602485657,"","unknown",102.02554512023926,113.58230257034302,120.42641878128052,"unknown","unknown",127.0369963645935,443.13104367256165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",449.439902305603,"unknown","unknown",455.69390869140625,""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",21.803967714309692,"unknown",50.525312185287476,"unknown",84.08822965621948,"unknown","unknown","unknown","unknown",99.0331084728241,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",115.49874830245972,"unknown","unknown","unknown","unknown",131.09812259674072,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80",-424.82682394981384,"unknown",-418.8317174911499,-412.8931565284729,0.0,5.559632301330566,11.31011700630188,16.894362449645996,40.791297912597656,47.58133578300476,74.21165561676025,"unknown","unknown",79.83290457725525,85.261225938797,98.14421844482422,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.76649069786072,"","unknown",109.78709554672241,117.36256694793701,"unknown","unknown",122.63830709457397,128.83503913879395,137.3767945766449,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.1560959815979,"unknown","unknown",149.87084531784058,""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
