"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1"
"518e9b8",-8765.654174566269,-8759.020521640778,-8753.200234174728,-8746.689656972885,0.0,6.639413118362427,8.130928754806519,15.349873304367065,35.904897928237915,42.974010705947876,44.92302656173706,"unknown",50.39047646522522,"unknown",55.901411056518555,57.77678680419922,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.696850061416626,"","unknown",70.60764050483704,72.8431327342987,"unknown",78.47758841514587,"unknown",85.38854336738586,97.66025805473328,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.09851264953613,"unknown","unknown",111.13274359703064,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-7927.817041635513,-7921.654949188232,-7915.7851440906525,-7910.372982263565,0.0,5.512113809585571,8.654955387115479,16.234742641448975,36.51536011695862,41.83418083190918,48.735143184661865,"unknown",55.02318215370178,"unknown",60.258362770080566,62.76989817619324,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.23956680297852,"","unknown",73.62095546722412,77.30623817443848,"unknown",82.70602250099182,"unknown",89.3505265712738,90.67060852050781,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",97.89604353904724,"unknown","unknown",105.05992674827576,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-8450.368358135223,-8443.936791419983,-8437.072632074356,-8430.545747995377,0.0,6.508369445800781,8.305204629898071,16.28497552871704,48.476876974105835,54.226426124572754,58.23638892173767,64.50256037712097,"unknown","unknown",71.1049485206604,72.89478492736816,80.04672241210938,86.42668080329895,"unknown",93.3692307472229,"unknown",100.1134386062622,337.1604390144348,"unknown","unknown","unknown","unknown","unknown",343.8489968776703,"unknown",350.7374403476715,366.2377920150757,"unknown",372.20359992980957,"unknown",379.32657766342163,422.98033261299133,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",429.4976987838745,"unknown","unknown",435.5215127468109,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-75353.66940951347,-75346.70986175537,-75340.42909026146,-75334.32418727875,0.0,6.773107528686523,9.185175895690918,16.668423414230347,31.341331243515015,37.50837540626526,40.01687812805176,46.549774169921875,"unknown","unknown",53.42421817779541,55.28574538230896,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.64031434059143,"","unknown",67.94758605957031,69.60414576530457,76.10299515724182,"unknown","unknown",82.58080697059631,84.85998773574829,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.74388933181763,"unknown","unknown",97.59122347831726,""
"ac6f3f6",-24.50057625770569,-18.76330542564392,-13.229996681213379,-6.98222279548645,0.0,6.258693695068359,25.216262817382812,33.17648911476135,55.94489145278931,62.73992419242859,70.92884016036987,"unknown","unknown",77.89699721336365,84.81857490539551,86.0704882144928,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.73617482185364,"","unknown",98.34903693199158,101.5036678314209,"unknown",107.9200279712677,"unknown",114.64221549034119,116.05628180503845,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",122.86643838882446,"unknown","unknown",130.08786725997925,""
"62447b9",-272191.1873757839,-272184.8094291687,-272177.7996702194,-272171.850474596,0.0,6.51481819152832,9.046749114990234,16.58548641204834,33.889392375946045,40.130656719207764,43.2960729598999,50.250105142593384,"unknown","unknown",55.93527340888977,58.23652243614197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.25414299964905,"","unknown",70.36095976829529,74.28755331039429,79.5721492767334,"unknown","unknown",86.78009223937988,89.48195791244507,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",96.04763388633728,"unknown","unknown",101.98962903022766,""
"20f3e2e",-1105.8214900493622,-1099.8874626159668,-1093.4355926513672,-1086.9507699012756,0.0,6.100181341171265,9.91132378578186,18.018351078033447,43.46945333480835,49.34886908531189,52.412381410598755,"unknown",59.0763258934021,"unknown",65.1020154953003,67.57397389411926,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.71769118309021,"","unknown",80.82941150665283,83.72534012794495,90.00150156021118,"unknown","unknown",97.1611123085022,99.20394158363342,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.43313694000244,"unknown","unknown",111.95253682136536,""
