"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-102.82288718223572,-96.01277899742126,-89.1811945438385,-83.13974595069885,0.0,6.010209321975708,8.984907150268555,15.29154372215271,8940.120948553085,8946.763844251633,8963.317032814026,8968.680312395096,"unknown","unknown",8975.80064034462,8976.957479953766,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",8982.713428497314,"","unknown",8989.806515693665,8994.399167060852,9001.630864858627,"unknown","unknown",9006.942197084427,9008.375700950623,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",9014.703218698502,"unknown","unknown",9021.352644443512
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-79525.26809120178,-79518.82758307457,-79512.55542492867,-79506.13163161278,0.0,6.532824754714966,8.221510887145996,14.76926302909851,41.73896384239197,47.170491456985474,50.782607316970825,"unknown",58.08895492553711,"unknown",65.12498736381531,68.51668953895569,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.55866503715515,"","unknown",80.1700189113617,89.33597302436829,"unknown",95.27226877212524,"unknown",102.5540976524353,110.89046430587769,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.50714898109436,"unknown","unknown",123.26687788963318
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-30095.522857427597,-30088.746960878372,-30082.50576353073,-30075.653866767883,0.0,5.799286365509033,17.380589723587036,24.36577033996582,41.17336320877075,46.57276105880737,53.655932664871216,"unknown","unknown",59.496196031570435,65.82725548744202,67.90115928649902,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.86380791664124,"","unknown",80.4100067615509,83.41432523727417,"unknown","unknown",90.457927942276,96.3705062866211,103.49918055534363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.43329286575317,"unknown","unknown",114.75291800498962
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-155401.51830291748,-155395.81476402283,-155389.20383572578,-155382.9597246647,0.0,6.314085960388184,11.338100671768188,18.26676630973816,20.240829706192017,28.657610654830933,42.686267137527466,"unknown",49.857513189315796,"unknown",55.16941523551941,56.81610321998596,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.1263108253479,"","unknown",69.00464272499084,77.02625703811646,82.8047788143158,"unknown","unknown",89.54356169700623,94.65499448776245,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.57591247558594,"unknown","unknown",106.21203255653381
"ac6f3f6",-905.8805980682373,-900.1985321044922,-893.2080824375153,-886.8636310100555,0.0,6.898695707321167,12.051887035369873,18.973315715789795,44.99284315109253,51.16715884208679,991.0414378643036,"unknown",996.5342516899109,"unknown",1003.001861333847,1026.9680800437927,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1033.4004349708557,"","unknown",1040.5581786632538,1073.423722743988,1078.841807126999,"unknown","unknown",1084.9112946987152,1776.2529616355896,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1783.2635436058044,"unknown","unknown",1789.3552720546722
"62447b9",-1392799.0109386444,-1392793.4645533562,-1392787.1473972797,-1392781.758951664,0.0,5.481520175933838,8.424399852752686,14.929094791412354,36.392210483551025,42.027193546295166,47.31035566329956,"unknown","unknown",52.7904109954834,59.921111822128296,62.63256001472473,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.56040167808533,"","unknown",74.4648015499115,81.39013004302979,"unknown","unknown",88.19437575340271,93.3994345664978,95.36465382575989,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.18506860733032,"unknown","unknown",108.09787034988403
"20f3e2e",-63.92240238189697,-57.81088733673096,-51.92567801475525,-45.89142394065857,0.0,7.247196912765503,16.725850105285645,22.99664068222046,97.93196749687195,105.07489442825317,125.151540517807,"unknown",131.70321774482727,"unknown",137.43325400352478,139.2574279308319,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.54278349876404,"","unknown",151.45620250701904,156.02151608467102,162.87146306037903,"unknown","unknown",169.9117453098297,171.70889282226562,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",177.5550982952118,"unknown","unknown",184.26671814918518
