"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-4761.27069735527,"unknown",-4754.132024765015,-4747.198429584503,0.0,5.905358791351318,9.790048122406006,18.287371158599854,38.22408699989319,44.530346632003784,47.36592626571655,"unknown","unknown",54.566588163375854,61.49964356422424,69.66579914093018,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.04988503456116,"unknown",80.8314311504364,83.77627158164978,"unknown","unknown",89.54721450805664,95.029043674469,106.41242027282715,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.48845887184143,"unknown","unknown",119.14135789871216
"b5edd3c",-103487.42318248749,"unknown",-103480.64674663544,-103473.93516802788,0.0,6.424083709716797,11.659604787826538,18.46531057357788,41.250521183013916,46.708484172821045,50.83897638320923,"unknown",57.467793226242065,"unknown",64.380854845047,66.1098268032074,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.88298320770264,"unknown",78.36787009239197,80.58229231834412,"unknown",87.12793183326721,"unknown",93.8909170627594,98.70191621780396,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.6474871635437,"unknown","unknown",110.38851237297058
"374ecf8",-1229.6659688949585,"unknown",-1223.4206094741821,-1216.6835279464722,0.0,6.542827844619751,64.7260365486145,73.21081256866455,75.9961941242218,82.96900868415833,115.23125767707825,"unknown",121.38059210777283,"unknown",126.92111110687256,128.5398120880127,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",135.67170071601868,"unknown",141.73259735107422,148.1235270500183,"unknown",153.61158299446106,"unknown",160.24061727523804,161.93910193443298,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",168.98943614959717,"unknown","unknown",174.5809338092804
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",7.575335502624512,"unknown",28.56520390510559,"unknown",37.133716344833374,"unknown","unknown","unknown","unknown",53.395272731781006,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.83259558677673,"unknown","unknown","unknown","unknown",88.89847660064697,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-195960.31401324272,"unknown",-195954.15656638145,-195948.0501408577,0.0,6.5968499183654785,8.040366649627686,15.00088882446289,31.182204008102417,37.60412311553955,40.84052634239197,"unknown","unknown",47.01403284072876,54.125126123428345,57.69895672798157,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.55768156051636,"unknown",70.66336560249329,75.73562240600586,"unknown","unknown",82.01116299629211,87.87882328033447,90.87358665466309,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.34447360038757,"unknown","unknown",102.54103660583496
"ac6f3f6",-34625.57941031456,"unknown",-34619.69335150719,-34612.55938458443,0.0,6.354178428649902,9.606038093566895,16.469566345214844,37.571242332458496,44.64347434043884,57.901984453201294,"unknown",65.22573399543762,"unknown",70.85728883743286,73.04789757728577,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.35510110855103,"unknown",84.64952659606934,91.22273373603821,97.4723265171051,"unknown","unknown",103.74959301948547,105.57323431968689,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.94678711891174,"unknown","unknown",118.15769267082214
"62447b9",-708144.1973435879,"unknown",-708137.4815819263,-708130.5084936619,0.0,5.8349199295043945,10.420751571655273,18.999696016311646,65.2509274482727,70.71400928497314,97.4285216331482,"unknown",104.06058168411255,"unknown",110.7140302658081,113.01012706756592,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.46893382072449,"unknown",126.51411843299866,145.39751315116882,"unknown",151.0349953174591,"unknown",157.69962096214294,159.54989862442017,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",165.21162796020508,"unknown","unknown",171.51061272621155
"20f3e2e",-52970.94454717636,"unknown",-52965.162225961685,-52959.75201296806,0.0,5.456713676452637,9.763327360153198,17.709538459777832,121.78954768180847,127.99284958839417,130.64062118530273,"unknown","unknown",136.99523901939392,143.68725156784058,153.38174843788147,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",159.69323563575745,"unknown",166.8669581413269,169.35342454910278,"unknown","unknown",175.05767393112183,181.1459562778473,186.0036747455597,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",192.12860655784607,"unknown","unknown",199.30592584609985
