"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-23581.532341241837,"unknown",-23575.592888832092,-23569.907246351242,0.0,7.039945602416992,72218.47378444672,72225.63623142242,72245.0727596283,72250.55441212654,72266.04610919952,72271.38023638725,"unknown","unknown",72277.07343411446,72905.8630270958,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72912.50235271454,"unknown",72918.34059119225,73179.48690867424,73185.82516980171,"unknown","unknown",73191.93908190727,75766.65368556976,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75773.51871275902,"unknown","unknown",75779.55059576035,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-239.7161989212036,"unknown",-234.21425533294678,-227.71936655044556,0.0,6.2003867626190186,8.121216773986816,14.904640436172485,30.81220841407776,37.82886028289795,51.42539119720459,"unknown",57.97637605667114,"unknown",63.79894995689392,66.59289145469666,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72.37611413002014,"unknown",78.87260437011719,81.99530386924744,"unknown",87.59084367752075,"unknown",93.23981666564941,95.57852005958557,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.09880089759827,"unknown","unknown",107.56282329559326,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-12049.418068647385,"unknown",-12043.594346284866,-12036.73506116867,0.0,6.8835625648498535,19.973838090896606,25.320000410079956,44.33407211303711,49.64437007904053,62.4598388671875,68.1120092868805,"unknown","unknown",75.22836899757385,76.95037412643433,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.20714378356934,"unknown",89.01727795600891,93.43476915359497,100.10302472114563,"unknown","unknown",105.64200496673584,107.5902578830719,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.39434099197388,"unknown","unknown",121.60557532310486,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-56866.80627322197,"unknown",-56859.71061253548,-56852.589814424515,0.0,7.0159924030303955,9.782312631607056,16.33273148536682,23.30862021446228,30.281174182891846,36.1800217628479,"unknown",41.522077322006226,"unknown",46.9355685710907,69.31877565383911,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.58054709434509,"unknown",82.69787883758545,11221.642623186111,11228.239398956299,"unknown","unknown",11235.048694372177,11236.802470445633,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",11242.914385318756,"unknown","unknown",11248.992921113968,-51071.18529009819
"ac6f3f6",-2706.3737757205963,"unknown",-2700.2353036403656,-2694.1850719451904,0.0,5.469676971435547,8.17565131187439,13.826572895050049,666.2233319282532,671.8649928569794,690.1711494922638,696.9118592739105,"unknown","unknown",702.3593106269836,704.4675576686859,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",709.8250868320465,"unknown",715.7724561691284,719.1170008182526,725.941192150116,"unknown","unknown",732.9763293266296,735.5262427330017,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",742.039783000946,"unknown","unknown",748.4451813697815,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-17928.15504670143,"unknown",-17921.493929862976,-17915.118428707123,0.0,7.0959296226501465,40.973548889160156,46.88558626174927,163.16677808761597,169.2638385295868,176.62691926956177,183.2384855747223,"unknown","unknown",188.80336999893188,190.90585231781006,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",197.36404705047607,"unknown",202.97519040107727,229.7510688304901,235.44342517852783,"unknown","unknown",240.9876799583435,248.3601553440094,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",255.3378405570984,"unknown","unknown",261.57712721824646,""
