"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","3_1","4_1"
"518e9b8",-1147684.7234663963,"unknown",-1147678.4843490124,-1147671.3266279697,0.0,15.577709913253784,26.795653581619263,48.66459512710571,66.28710746765137,73.4844160079956,77.86251640319824,84.49958729743958,"unknown","unknown",91.60088467597961,94.06220841407776,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.91716265678406,"","unknown",117.74145174026489,125.54605555534363,133.2934353351593,"unknown","unknown",139.47967338562012,141.6658492088318,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",148.37254285812378,"unknown","unknown",154.4760820865631,"","","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",12.46096158027649,"unknown",41.29683446884155,"unknown",51.0603768825531,"unknown","unknown","unknown","unknown",64.7041802406311,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",86.25043439865112,"unknown","unknown","unknown","unknown",128.06726956367493,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",95.36141777038574,"unknown",151.24978971481323,"unknown",183.9337921142578,"unknown","unknown","unknown","unknown",210.6860213279724,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",411.6825170516968,"unknown","unknown","unknown","unknown",426.4995331764221,"unknown",441.058456659317,"unknown","unknown","unknown","unknown",1810.1586003303528,"unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"89f120b","unknown","unknown","unknown","unknown",0.0,"unknown",28.934285879135132,"unknown",62.83745837211609,"unknown",76.35987830162048,"unknown","unknown","unknown","unknown",94.73961329460144,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",114.9906907081604,"unknown","unknown","unknown","unknown",130.78287410736084,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.112960577011108,"unknown",53.95723581314087,"unknown",63.72450613975525,"unknown","unknown","unknown","unknown",77.51613020896912,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",97.1095461845398,"unknown","unknown","unknown","unknown",111.95881342887878,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-52.07277154922485,"unknown",-46.27095365524292,-39.657830476760864,0.0,5.485211133956909,10.82697343826294,18.46381402015686,36.90870809555054,43.71698045730591,49.11370539665222,54.96998882293701,"unknown","unknown",61.58271837234497,63.193917989730835,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.17974019050598,"","unknown",74.8985390663147,79.70282769203186,85.20472526550293,"unknown","unknown",90.7173068523407,92.51227378845215,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",98.11799049377441,"unknown","unknown",104.10832333564758,"","","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",17.331427097320557,"unknown",45.99922800064087,"unknown",59.00695991516113,"unknown","unknown","unknown","unknown",77.139324426651,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.53912472724915,"unknown","unknown","unknown","unknown",125.25206756591797,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",13.432896375656128,"unknown",38.906081438064575,"unknown",60.96835541725159,"unknown","unknown","unknown","unknown",74.64370918273926,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",96.48200726509094,"unknown","unknown","unknown","unknown",113.85656523704529,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",355923.6619961262,"unknown",1302048.671033144,"unknown",1302082.5708789825,"unknown","unknown","unknown","unknown",1302097.1533532143,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",1302148.6681358814,"unknown","unknown","unknown","unknown",1302165.2177331448,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",49.281083822250366,"unknown",170.26697897911072,"unknown",205.14982962608337,"unknown","unknown","unknown","unknown",234.33520364761353,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",326.28307461738586,"unknown","unknown","unknown","unknown",403.29493951797485,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
