"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-53.64785933494568,"unknown",-47.14663052558899,-40.24361205101013,0.0,5.8506622314453125,8.255114793777466,14.36729121208191,19.031226634979248,25.99289083480835,62.173646688461304,"unknown","unknown",67.72600531578064,73.06914949417114,76.79422807693481,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",82.3090889453888,"","unknown",88.6089985370636,95.40729212760925,101.58401536941528,"unknown","unknown",107.38371872901917,108.72682905197144,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.17276287078857,"unknown","unknown",121.1049735546112,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-11116.667410373688,"unknown",-11111.288496732712,-11105.59180188179,0.0,6.880903005599976,11.418640375137329,17.351048231124878,19.708199977874756,26.498316049575806,44.94403672218323,"unknown",51.243370056152344,"unknown",57.40757703781128,217.28178715705872,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",222.95746850967407,"","unknown",228.551007270813,238.90853142738342,"unknown",245.76071906089783,"unknown",252.39783120155334,254.39531302452087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",259.670373916626,"unknown","unknown",265.65127325057983,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-35805.797193050385,"unknown",-35799.40063858032,-35792.885481357574,0.0,6.4116737842559814,10.27360224723816,16.715701580047607,36.70194482803345,42.378790616989136,45.94515609741211,"unknown",51.64503526687622,"unknown",57.448233127593994,60.90874648094177,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",68.05033612251282,"","unknown",74.47000408172607,167.76730179786682,"unknown",173.2681920528412,"unknown",179.50405383110046,193.79503917694092,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",200.17733669281006,"unknown","unknown",207.46060609817505,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-30033.018743753433,"unknown",-30027.35165953636,-30020.295845270157,0.0,6.896009922027588,16.343095541000366,22.68361234664917,24.98453402519226,31.13622522354126,39.584091901779175,"unknown",46.25650358200073,"unknown",53.49299359321594,56.261287212371826,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63.10780191421509,"","unknown",69.82235360145569,72.99839925765991,"unknown",78.73034286499023,"unknown",85.85222172737122,2265.8090467453003,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2273.037118434906,"unknown","unknown",2279.5632379055023,""
"ac6f3f6",-992.7518503665924,"unknown",-987.0075135231018,-980.1951823234558,0.0,5.755491018295288,11.599653244018555,18.11482810974121,45.011462450027466,52.00281739234924,54.77844309806824,60.20900535583496,"unknown","unknown",65.7936339378357,68.44947504997253,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.95627617835999,"","unknown",81.68661522865295,86.141108751297,92.09516859054565,"unknown","unknown",97.73425197601318,98.96124720573425,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.1908528804779,"unknown","unknown",111.84419393539429,""
"62447b9",-612240.0350439548,"unknown",-612234.569596529,-612229.1379780769,0.0,6.928569316864014,13.423635244369507,20.73985266685486,49.15976166725159,56.14953136444092,78.7621419429779,"unknown",85.39684247970581,"unknown",91.9914903640747,94.62975525856018,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",101.81280755996704,"","unknown",108.45327019691467,123.86315417289734,130.85171556472778,"unknown","unknown",137.79702258110046,140.83455228805542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",147.5279984474182,"unknown","unknown",153.95822596549988,-433949.3229627609
"20f3e2e",-32957.54328799248,"unknown",-32951.27901792526,-32944.43434047699,0.0,6.99594783782959,17.837435960769653,23.92189335823059,78.98233842849731,84.57992625236511,88.05193495750427,"unknown","unknown",93.38344216346741,99.6450412273407,101.15166282653809,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",106.98617458343506,"","unknown",113.9910523891449,118.62084412574768,"unknown","unknown",124.8039448261261,131.78897500038147,133.35715746879578,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.3230595588684,"unknown","unknown",145.46667623519897,""
