"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"518e9b8",-12832.224982738495,"unknown",-12826.324465990067,-12819.840097665787,0.0,6.9295690059661865,11.584674835205078,17.80090832710266,36.42270755767822,42.423348903656006,53.2761344909668,59.12490940093994,"unknown","unknown",66.20444202423096,68.64859557151794,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.00435590744019,"","unknown",80.30517053604126,82.95924782752991,90.08824181556702,"unknown","unknown",97.14686965942383,21409.063643932343,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",21416.097855091095,"unknown","unknown",21422.470113754272,"",""
"b5edd3c",-56245.901270866394,"unknown",-56239.38273191452,-56232.67214798927,0.0,5.4822611808776855,7.5979392528533936,13.88157033920288,31.565152883529663,38.59913110733032,39.979593992233276,47.02068877220154,"unknown","unknown",54.22702074050903,60.31706500053406,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.32326436042786,"","unknown",73.31407451629639,75.72493815422058,81.12432432174683,"unknown","unknown",87.90694904327393,89.70347142219543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.94907879829407,"unknown","unknown",103.18005633354187,"",""
"374ecf8",-5732.32008767128,"unknown",-5726.521379709244,-5719.668602705002,0.0,5.6679182052612305,8.543143272399902,15.772685527801514,32.879191398620605,39.55881929397583,51.57414937019348,"unknown","unknown",57.401968002319336,63.54266047477722,67.02528238296509,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.05747985839844,"","unknown",79.7331154346466,91.20079922676086,"unknown","unknown",97.21652126312256,103.29509115219116,105.32182192802429,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.39613342285156,"unknown","unknown",117.51988649368286,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.773651599884033,"unknown",40.53394174575806,"unknown",51.165443897247314,"unknown","unknown","unknown","unknown",75.2452781200409,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",94.59236931800842,"unknown","unknown","unknown","unknown",113.02015805244446,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-8699.69480061531,"unknown",-8692.539489507675,-8686.26617193222,0.0,6.3433380126953125,9.313000679016113,16.412546157836914,25.73621940612793,31.90442419052124,35.96900987625122,41.8479061126709,"unknown","unknown",48.49069952964783,50.515252351760864,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.23167395591736,"","unknown",63.538378953933716,67.59178924560547,73.34525322914124,"unknown","unknown",79.97288084030151,81.95310425758362,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.81689643859863,"unknown","unknown",93.94067740440369,"",""
"2541155",-1302.2816593647003,"unknown",-1295.2697079181671,-1288.8451616764069,0.0,6.676764965057373,10.442899227142334,15.946582317352295,24.545716524124146,29.97752618789673,44.54136610031128,"unknown",50.24183630943298,"unknown",55.92607069015503,59.99845337867737,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.63685154914856,"","unknown",71.44314098358154,86.98269248008728,"unknown",92.28437161445618,"unknown",99.22658944129944,118.72371244430542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.77632331848145,"unknown","unknown",131.48081827163696,"",""
"ac6f3f6",-688559.9799563885,"unknown",-688553.9667062759,-688548.4789607525,0.0,6.805958271026611,9.328906059265137,15.307207822799683,21.596967697143555,28.126845359802246,78.6248209476471,85.27887749671936,"unknown","unknown",92.34850072860718,95.07504296302795,100.88039541244507,104.71495032310486,"unknown",110.51574373245239,"unknown",115.80389666557312,122.86134219169617,"unknown","unknown","unknown","unknown","unknown",129.5219385623932,"unknown",135.20338344573975,140.67376160621643,146.63139057159424,"unknown","unknown",152.26141548156738,159.07713270187378,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",164.7908582687378,"unknown","unknown",171.55742812156677,"",""
"62447b9",-327601.455837965,"unknown",-327594.09178733826,-327587.47170615196,0.0,6.778539180755615,9.60085916519165,16.188663005828857,130.24870800971985,136.7089774608612,456.67559838294983,"unknown",462.99950647354126,"unknown",468.504757642746,470.740891456604,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",476.9156594276428,"","unknown",482.6050977706909,517.8430187702179,"unknown",524.7589943408966,"unknown",530.1633062362671,532.0958817005157,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",537.7461543083191,"unknown","unknown",543.7596490383148,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",12.502055883407593,"unknown",201.94429802894592,"unknown",216.81000757217407,"unknown","unknown","unknown","unknown",231.1031198501587,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",254.68814659118652,"unknown","unknown","unknown","unknown",380.92623496055603,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"4e53c5c",-19617.076343536377,"unknown",-19610.640516519547,-19604.24079656601,0.0,5.714232683181763,11.628153800964355,18.865622520446777,56.893792152404785,63.37302112579346,71.1360285282135,76.97617101669312,"unknown","unknown",83.83249998092651,86.4602358341217,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.53753280639648,"","unknown",100.79260778427124,112.55409860610962,118.59133291244507,"unknown","unknown",125.026526927948,127.07684445381165,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.95235323905945,"unknown","unknown",141.07836365699768,"",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",37.23655843734741,"unknown",77.85973930358887,"unknown",105.1893937587738,"unknown","unknown","unknown","unknown",121.86439919471741,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",141.5628752708435,"unknown","unknown","unknown","unknown",156.47876143455505,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-10078.085649490356,"unknown",-10071.623643398285,-10066.193375587463,0.0,6.639146327972412,10.356136798858643,15.85154914855957,55.11198449134827,61.59152865409851,69.83133149147034,"unknown","unknown",76.32739901542664,82.4270384311676,85.20177102088928,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.26726818084717,"","unknown",97.80722332000732,105.61352849006653,"unknown","unknown",112.72365093231201,118.2117862701416,120.74419379234314,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.02259159088135,"unknown","unknown",133.3460066318512,"",""
"ea8c0d6",-3678.8318350315094,"unknown",-3671.6364159584045,-3665.4781942367554,0.0,6.665739297866821,10.96781063079834,17.587122917175293,77.57148551940918,83.19976496696472,170.52770900726318,"unknown","unknown",176.18215918540955,182.45223140716553,184.9027862548828,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",191.25753450393677,"","unknown",196.7448182106018,204.43921971321106,"unknown",209.80093240737915,"unknown",216.25884914398193,222.51886987686157,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",227.99562883377075,"unknown","unknown",234.75100207328796,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-3784.4459183216095,"unknown",-3777.748167514801,-3771.83846116066,0.0,7.138876914978027,95.55298209190369,102.2541434764862,104.08047270774841,110.99285078048706,149.62483763694763,"unknown","unknown",156.58305716514587,163.32925176620483,166.07619047164917,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",172.8392858505249,"","unknown",178.22197794914246,203.18570232391357,"unknown","unknown",209.40054059028625,216.45835876464844,217.83684039115906,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",224.51713752746582,"unknown","unknown",231.58690452575684,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
