"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","5_otro_1","4_1"
"518e9b8",-1518.0875985622406,"unknown",-1512.4116022586823,-1506.2500612735748,0.0,6.1546244621276855,10.608643531799316,17.34665822982788,35.28754949569702,42.098363161087036,58.72160744667053,"unknown",65.49467277526855,"unknown",71.30178260803223,73.5919919013977,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.93082189559937,"","unknown",86.37592053413391,94.37802147865295,99.94339871406555,"unknown","unknown",105.51514029502869,107.26676392555237,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",112.82724022865295,"unknown","unknown",118.6088490486145,"","","",""
"b5edd3c","unknown","unknown","unknown","unknown",0.0,"unknown",9.724676609039307,"unknown",31.913421869277954,"unknown",41.83726906776428,"unknown","unknown","unknown","unknown",58.17788553237915,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",75.39854288101196,"unknown","unknown","unknown","unknown",88.61818170547485,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"374ecf8","unknown","unknown","unknown","unknown",0.0,"unknown",11.296650648117065,"unknown",36.32846760749817,"unknown",74.10246729850769,"unknown","unknown","unknown","unknown",88.30631422996521,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",121.75742387771606,"unknown","unknown","unknown","unknown",134.96738481521606,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"89f120b","unknown","unknown","unknown","unknown",0.0,"unknown",11.967285871505737,"unknown",49.96486973762512,"unknown",65.03891372680664,"unknown","unknown","unknown","unknown",80.70009541511536,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",99.95403742790222,"unknown","unknown","unknown","unknown",114.01518106460571,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.190507411956787,"unknown",50.099262952804565,"unknown",62.45486378669739,"unknown","unknown","unknown","unknown",78.48578977584839,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",105.16712307929993,"unknown","unknown","unknown","unknown",140.30242657661438,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"8d2da97",-50051.83391833305,"unknown",-50045.10542535782,-50038.808557748795,0.0,6.230699062347412,12.374429702758789,20.213481426239014,41.128623723983765,47.18767547607422,55.144519090652466,"unknown","unknown",61.00549602508545,68.11727499961853,70.35350942611694,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.63082981109619,"","unknown",81.39331865310669,88.64214634895325,"unknown","unknown",94.1226065158844,100.32485842704773,102.45522856712341,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.01806855201721,"unknown","unknown",113.81322956085205,"","","",""
"2541155","unknown","unknown","unknown","unknown",0.0,"unknown",10.40224814414978,"unknown",36.922972679138184,"unknown",47.85152554512024,"unknown","unknown","unknown","unknown",62.149792432785034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",80.53883767127991,"unknown","unknown","unknown","unknown",93.72856402397156,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",14.109731674194336,"unknown",45.19294857978821,"unknown",58.71972727775574,"unknown","unknown","unknown","unknown",73.85684776306152,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",97.38135361671448,"unknown","unknown","unknown","unknown",112.27519178390503,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"62447b9","unknown","unknown","unknown","unknown",0.0,"unknown",10.047292470932007,"unknown",37.65081810951233,"unknown",64.14164209365845,"unknown","unknown","unknown","unknown",79.60982966423035,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",107.3781487941742,"unknown","unknown","unknown","unknown",123.19490933418274,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",13.766857624053955,"unknown",63.91129422187805,"unknown",80.29225730895996,"unknown","unknown","unknown","unknown",95.10642623901367,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",116.92488288879395,"unknown","unknown","unknown","unknown",129.50799751281738,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"4e53c5c","unknown","unknown","unknown","unknown",0.0,"unknown",14.16407322883606,"unknown",40.97713756561279,"unknown",92.48826169967651,"unknown","unknown","unknown","unknown",108.46816539764404,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",132.96618795394897,"unknown","unknown","unknown","unknown",147.57138586044312,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ac6ecda","unknown","unknown","unknown","unknown",0.0,"unknown",16.274213552474976,"unknown",45.04295468330383,"unknown",67.85480332374573,"unknown","unknown","unknown","unknown",83.93943810462952,"unknown",101.60235500335693,"unknown","unknown","unknown","unknown",118.09013056755066,"unknown","unknown","unknown","unknown","unknown","","unknown","unknown",149.4444396495819,"unknown","unknown","unknown","unknown",164.70575165748596,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",16.774843454360962,"unknown",101.61747193336487,"unknown",119.54316735267639,"unknown","unknown","unknown","unknown",135.41126489639282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",162.37808513641357,"unknown","unknown","unknown","unknown",177.72921419143677,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b8ec123",-390551.5275321007,"unknown",-390544.2471318245,-390538.52014398575,0.0,6.232614755630493,10.949234247207642,19.116636514663696,92.18192887306213,98.87504172325134,106.30196928977966,"unknown","unknown",112.91714119911194,119.35683393478394,120.94565200805664,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.66044497489929,"","unknown",133.37464690208435,149.7110619544983,"unknown",155.7872166633606,"unknown",162.09725093841553,167.42108011245728,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",172.78158259391785,"unknown","unknown",178.88071489334106,"","","",""
"07b298c",-5127298.613226891,"unknown",-5127292.858319044,-5127286.636914015,0.0,7.610583066940308,10.507566928863525,17.939239263534546,41.264875173568726,48.55709886550903,62.71154761314392,"unknown",71.12158203125,"unknown",78.79927587509155,82.25613117218018,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.66611957550049,"","unknown",95.62726879119873,110.79586887359619,117.79437804222107,"unknown","unknown",129.93122243881226,141.0761845111847,146.9972701072693,149.64856004714966,"unknown","unknown",157.50752115249634,163.93728137016296,165.43587398529053,"unknown","","unknown","unknown","unknown","unknown",172.80226707458496,"unknown",179.3246214389801,-544072.6064736843,-1363.4678664207458,"",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",14.393101215362549,"unknown",42.05729818344116,"unknown",56.539391040802,"unknown","unknown","unknown","unknown",71.48289084434509,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.06980967521667,"unknown","unknown","unknown","unknown",123.70821166038513,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
