"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-47.893310546875,"unknown",-41.7276349067688,-35.69921016693115,0.0,6.586299896240234,9.745062828063965,17.46976327896118,19.775039672851562,25.498594522476196,45.00548195838928,"unknown","unknown",50.66843128204346,57.484232664108276,60.399545669555664,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.98858141899109,"","unknown",72.46747374534607,76.87513709068298,"unknown","unknown",84.11455750465393,90.45553803443909,193.15983986854553,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",200.02039432525635,"unknown","unknown",205.5567810535431
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-2980.589455127716,"unknown",-2974.9640896320343,-2968.3503160476685,0.0,6.462250709533691,9.431945323944092,17.153130292892456,51.049500942230225,57.956191301345825,68.50530672073364,"unknown","unknown",75.67924451828003,82.8014829158783,87.00792455673218,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.37072730064392,"","unknown",100.5728063583374,103.3748128414154,"unknown",110.24757957458496,"unknown",116.60859680175781,119.35345363616943,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.05978631973267,"unknown","unknown",132.7417449951172
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-89956.11231422424,"unknown",-89949.22828245163,-89943.91351532936,0.0,6.5050129890441895,22.985931396484375,31.84750771522522,47.9601948261261,55.10261631011963,58.259952545166016,"unknown","unknown",64.53488874435425,70.46775388717651,121.23299598693848,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.7486298084259,"","unknown",133.2504699230194,138.41029739379883,"unknown","unknown",145.19404411315918,151.96343898773193,154.3509178161621,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",160.28540062904358,"unknown","unknown",165.90511536598206
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-8179.658807516098,"unknown",-8173.049155712128,-8166.90918636322,0.0,6.42185640335083,52972.14510989189,52980.66887283325,52992.85051250458,52998.87766838074,53152.54063868523,"unknown",53159.6642677784,"unknown",53165.64843225479,53168.17420434952,53175.0363111496,53181.109671354294,"unknown","unknown",53187.34685277939,53193.99393248558,53197.489084243774,"unknown","unknown","unknown","unknown","unknown",53202.6924302578,"unknown",53208.70380139351,53211.30569219589,53217.96993279457,"unknown","unknown",53225.16204380989,53227.791024684906,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",53233.60981297493,"unknown","unknown",53239.6566426754
"ac6f3f6",-4066.9980194568634,"unknown",-4060.8355147838593,-4055.4696440696716,0.0,5.437223196029663,23.763664484024048,31.010722875595093,57.602866649627686,64.72225522994995,71.48078846931458,"unknown","unknown",77.89606165885925,84.87290811538696,109.81756782531738,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.86459040641785,"","unknown",123.4320957660675,138.57781982421875,"unknown",144.77734327316284,"unknown",151.1329152584076,170.3474190235138,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",176.38724732398987,"unknown","unknown",182.06481218338013
"62447b9",-2668430.458865404,"unknown",-2668423.246122122,-2668415.696518421,0.0,5.829332113265991,8.06340765953064,16.6819748878479,25.376660346984863,32.25006699562073,35.02783513069153,40.74421572685242,"unknown","unknown",46.5300087928772,49.09994673728943,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",54.527435302734375,"","unknown",60.89037585258484,65.85604596138,71.60834646224976,"unknown","unknown",77.50940990447998,79.20365762710571,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.20649147033691,"unknown","unknown",91.8064033985138
"20f3e2e",-24681.71119260788,"unknown",-24676.356988430023,-24669.749490261078,0.0,6.274939060211182,12.105708599090576,20.169073343276978,63.756582736968994,69.70492172241211,72.41091728210449,"unknown","unknown",79.35639882087708,86.0146701335907,91.42422723770142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.4803102016449,"","unknown",105.94017624855042,116.83318734169006,"unknown","unknown",122.86404728889465,129.64947509765625,132.0157904624939,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",139.61981296539307,"unknown","unknown",145.85462927818298
"4e53c5c",-9958.925387859344,"unknown",-9951.715279579163,-9945.103266477585,0.0,7.073338508605957,11.045426607131958,19.80844807624817,46.166908979415894,52.84973335266113,54.85986113548279,61.34316635131836,"unknown","unknown",67.95861840248108,69.79460597038269,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.5401816368103,"","unknown",81.04295182228088,84.65372896194458,90.54558324813843,"unknown","unknown",97.1992654800415,99.26371192932129,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",104.59593725204468,"unknown","unknown",109.88879632949829
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-32878.53681111336,"unknown",-32873.250177145004,-32866.510798215866,0.0,6.10601544380188,8.366135597229004,17.022268056869507,40.113933801651,46.33329653739929,60.27189254760742,"unknown","unknown",65.97496676445007,71.40229773521423,73.66110920906067,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.70512866973877,"","unknown",88.59348225593567,110.30524325370789,"unknown",116.37287712097168,"unknown",121.88124179840088,134.17027473449707,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",140.68503952026367,"unknown","unknown",147.8278181552887
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-728.3921024799347,"unknown",-721.6586430072784,-715.7093250751495,0.0,6.924981355667114,9.93507432937622,18.002845525741577,35.30010628700256,42.526981592178345,48.93138647079468,"unknown","unknown",55.19844055175781,60.4564790725708,63.781235456466675,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.02709650993347,"","unknown",75.37014722824097,83.60843515396118,"unknown","unknown",89.6724796295166,96.19561910629272,98.94585156440735,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.47759556770325,"unknown","unknown",110.82244896888733
"ea8c0d6",-82693.18405652046,"unknown",-82686.01036453247,-82680.36226272583,0.0,6.865466356277466,8.94893193244934,17.29608178138733,44.62832832336426,50.87650656700134,53.562530517578125,"unknown","unknown",58.87311601638794,64.96810269355774,67.10856986045837,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.18465089797974,"","unknown",80.46079134941101,90.12937021255493,"unknown","unknown",96.95744228363037,103.67933487892151,106.00165176391602,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.90060925483704,"unknown","unknown",119.12172245979309
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
