"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-4663.014840841293,-4655.97364616394,-4650.067883729935,-4643.004545688629,0.0,6.828669548034668,9.435149669647217,17.9850070476532,20.649853467941284,27.873780012130737,40.08177971839905,"unknown",47.16210913658142,"unknown",54.033868074417114,57.6048641204834,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.578980445861816,"unknown",69.34481835365295,71.36539125442505,"unknown",77.99114966392517,"unknown",84.42003059387207,95.85451912879944,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.00334882736206,"unknown","unknown",108.84898209571838
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-14281.315248250961,-14273.972592115402,-14268.61228609085,-14261.266424655914,0.0,6.749469995498657,8.862730979919434,15.711471557617188,28.75400185585022,34.386014223098755,45.479238748550415,"unknown",51.14482259750366,"unknown",57.81228828430176,60.0445671081543,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.45895528793335,"unknown",71.81529545783997,77.55715680122375,"unknown",83.97106099128723,"unknown",90.45495390892029,92.31911897659302,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.02411413192749,"unknown","unknown",104.68051218986511
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-26.178098678588867,-18.928231477737427,-12.007151365280151,-4.917200326919556,0.0,6.883289813995361,16.676274061203003,24.254120111465454,71.29970049858093,77.95956587791443,115.72762703895569,"unknown","unknown",122.80554103851318,128.83079886436462,130.0804340839386,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",136.68138575553894,"unknown",143.77174425125122,188.32685804367065,"unknown",195.35674333572388,"unknown",202.37465143203735,205.82510709762573,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",212.4475691318512,"unknown","unknown",218.0575385093689
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-452.54014253616333,-445.9158272743225,-439.62280464172363,-433.108674287796,0.0,6.498270034790039,11.479004144668579,19.725809574127197,85.50821495056152,91.59130716323853,105.14122676849365,"unknown",111.33988976478577,"unknown",117.455979347229,119.36560440063477,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",126.08724689483643,"unknown",133.07506036758423,137.88928532600403,144.5196237564087,"unknown","unknown",151.57197046279907,158.55530762672424,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",165.1319043636322,"unknown","unknown",171.67117023468018
