"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-26866.650612831116,"unknown",-26860.921471357346,-26854.569717168808,0.0,5.696125268936157,7.955471992492676,15.357526540756226,2926.327888727188,2932.3569297790527,2947.9466433525085,"unknown","unknown",2953.9973483085632,2960.8327655792236,2962.9580812454224,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2970.089494228363,"unknown",2976.718829870224,2978.842211008072,"unknown","unknown",2985.170240879059,2990.5964086055756,2992.4675116539,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2998.3382320404053,"unknown","unknown",3004.7513773441315,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-10378.345861911774,"unknown",-10372.420115470886,-10365.269796609879,0.0,5.921265125274658,8.081373929977417,15.291224241256714,35.341099977493286,41.03377056121826,54.67838478088379,"unknown",60.68338370323181,"unknown",67.61865258216858,70.63639211654663,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.44463682174683,"unknown",82.78801250457764,84.48771643638611,"unknown",91.27881979942322,"unknown",96.8892433643341,98.5150499343872,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",105.90634608268738,"unknown","unknown",111.30025577545166,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-65368.34703564644,"unknown",-65361.92026138306,-65356.01137661934,0.0,6.691831588745117,8.293121099472046,15.661457777023315,31.357329845428467,38.66367506980896,42.29978561401367,"unknown","unknown",48.31903076171875,53.999255657196045,55.700618267059326,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.01753902435303,"unknown",69.12575340270996,73.13037824630737,"unknown","unknown",79.97318506240845,86.32302808761597,87.86176252365112,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",95.01281476020813,"unknown","unknown",100.92715001106262,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-169369.03354406357,"unknown",-169363.7274491787,-169357.97495412827,0.0,6.63455605506897,12.62737488746643,20.31639575958252,28.643314599990845,35.96810293197632,43.73524498939514,"unknown","unknown",50.27210760116577,57.37016940116882,84.41865229606628,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.73655819892883,"unknown",97.50890350341797,2390.0120792388916,"unknown","unknown",2395.594829559326,2402.2490632534027,13240.368525981903,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",13247.0673224926,"unknown","unknown",13253.520821809769,-67451.0657966137
"ac6f3f6",-44.62220025062561,"unknown",-39.011250734329224,-33.36309742927551,0.0,6.765499591827393,11.37906813621521,21.519273042678833,35.18582344055176,41.00997877120972,47.70774435997009,"unknown","unknown",53.380207777023315,59.86801195144653,67.3114447593689,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.66378283500671,"unknown",79.14046812057495,81.2831449508667,"unknown",86.87669610977173,"unknown",92.39991331100464,93.99995183944702,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",101.1935167312622,"unknown","unknown",106.65715861320496,""
"62447b9",-7858.559334278107,"unknown",-7851.845663070679,-7846.338321208954,0.0,5.772110223770142,8.636828899383545,17.467947483062744,28.120585680007935,35.526984453201294,55.68726563453674,"unknown","unknown",61.32103419303894,67.14721012115479,69.09183263778687,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.45700597763062,"unknown",81.80767393112183,95.74786853790283,"unknown",102.63375663757324,"unknown",108.34924173355103,110.4270887374878,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.85768961906433,"unknown","unknown",123.07725381851196,""
"20f3e2e",-35290.68375015259,"unknown",-35283.99628639221,-35278.48842763901,0.0,5.952259063720703,9.737119197845459,16.973171710968018,45.93672823905945,52.354798793792725,57.60461378097534,"unknown","unknown",63.36077094078064,68.99818563461304,70.73900389671326,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.0974612236023,"unknown",81.97146201133728,266.81193494796753,"unknown","unknown",273.88067507743835,280.36381816864014,284.8497905731201,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",291.7667598724365,"unknown","unknown",298.06072330474854,""
