"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","cont_2","2_1","2_2"
"518e9b8",-4526.646763086319,"unknown",-4520.981006145477,-4515.42892074585,0.0,6.1121392250061035,8.108423233032227,14.988013982772827,44.798866987228394,50.48369264602661,53.582037925720215,"unknown","unknown",60.865408420562744,68.06018924713135,70.11702013015747,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",75.54349040985107,"","unknown",81.29165005683899,89.0029194355011,"unknown",95.64730095863342,"unknown",102.62387800216675,112.99800610542297,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.05464220046997,"unknown","unknown",124.80402302742004,"","",""
"b5edd3c",-20036.438259124756,"unknown",-20029.633891820908,-20022.262980222702,0.0,5.590625047683716,7.951359272003174,14.881797790527344,31.566093683242798,38.47749876976013,40.092979431152344,"unknown",46.275757789611816,"unknown",53.36262631416321,55.44984841346741,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",61.41185116767883,"","unknown",68.52933192253113,70.81926202774048,"unknown",77.33344984054565,"unknown",84.43291974067688,85.67108368873596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.83831691741943,"unknown","unknown",98.52796936035156,"","",""
"374ecf8",-149.10872721672058,"unknown",-143.1159884929657,-135.87651014328003,0.0,6.309953689575195,12.217954158782959,18.584704637527466,41.03752136230469,47.53869366645813,53.32046699523926,60.10124611854553,"unknown","unknown",66.3943407535553,68.04079270362854,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",74.57035231590271,"","unknown",80.83785796165466,189.05115127563477,195.57949090003967,"unknown","unknown",203.1881227493286,233.74823212623596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",239.16451048851013,"unknown","unknown",246.3811058998108,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.60793161392212,"unknown",33.99788951873779,"unknown",55.66427946090698,"unknown","unknown","unknown","unknown",70.45035314559937,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","","unknown","unknown",87.50947499275208,"unknown","unknown","unknown","unknown",102.28604745864868,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-1676997.6069600582,"unknown",-1676990.7073721886,-1676984.0085463524,0.0,6.532015085220337,8.924763679504395,15.737281084060669,127.86245250701904,135.39165711402893,147.22304940223694,"unknown","unknown",154.56732773780823,160.98480868339539,162.81441855430603,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",170.0043592453003,"","unknown",176.9215304851532,193.61279249191284,199.1142795085907,"unknown","unknown",206.21922707557678,208.17465114593506,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",213.81663942337036,"unknown","unknown",219.5478231906891,"","",""
"2541155",-418953.80882549286,"unknown",-418947.65957951546,-418941.7189421654,0.0,5.446021318435669,7.051387786865234,13.142703533172607,30.771946907043457,36.58354163169861,38.58583974838257,44.63107466697693,"unknown","unknown",50.68224382400513,68.5516529083252,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",75.75662922859192,"","unknown",81.95236849784851,90.47431898117065,97.3974301815033,"unknown","unknown",104.12929630279541,105.57107782363892,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",111.6226556301117,"unknown","unknown",116.91127705574036,"","",""
"ac6f3f6",-35.17901134490967,"unknown",-28.360912799835205,-21.97617244720459,0.0,7.140056133270264,26.676008462905884,32.119003772735596,344.54577112197876,351.59083437919617,380.2037696838379,"unknown",386.57712745666504,"unknown",393.27092599868774,394.827743768692,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",401.0833020210266,"","unknown",407.01182651519775,413.02557945251465,419.4186382293701,"unknown","unknown",426.3935282230377,428.1545777320862,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",433.6884255409241,"unknown","unknown",441.03610277175903,"","",""
"62447b9",-334744.0650048256,"unknown",-334738.07340836525,-334731.6631000042,0.0,631095.9030687809,631090.2178077698,631106.7005000114,631128.2125167847,631135.3350217342,631142.883592844,"unknown","unknown",631149.4435100555,631155.1328234673,631159.0748291016,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",631165.6276996136,"","unknown",631172.7243785858,631252.1796751022,"unknown",631258.0078654289,"unknown",631263.6993150711,631265.9156882763,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",631271.6126866341,"unknown","unknown",631278.7614340782,631099.5208303928,-84117.26918506622,458591.8543970585
"20f3e2e",-509.6304156780243,"unknown",-503.37225437164307,-496.73715472221375,0.0,6.218747138977051,13.681123971939087,18.97676420211792,82.62100982666016,88.98201203346252,112.70315480232239,"unknown",119.84257936477661,"unknown",126.19477272033691,142.33650183677673,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",148.03442406654358,"","unknown",153.9337236881256,158.77741932868958,"unknown",165.46602272987366,"unknown",170.85417079925537,172.6438238620758,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",179.77192544937134,"unknown","unknown",186.9080331325531,"","",""
