"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-505.9645142555237,"unknown",-499.21658086776733,-492.9966037273407,0.0,7.299222469329834,32.13988661766052,37.58658528327942,40.36812734603882,47.82835507392883,51.336410999298096,57.065693616867065,"unknown","unknown",62.5911648273468,68.28931069374084,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.75944304466248,"unknown",81.09651851654053,93.83202409744263,100.25264477729797,"unknown","unknown",107.16239905357361,114.35325956344604,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",119.99340915679932,"unknown","unknown",126.85632038116455
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-15728.52125620842,"unknown",-15723.104446172714,-15716.956784248352,0.0,7.063511371612549,14.626574277877808,20.947044610977173,33.227942943573,39.193872928619385,40.690465688705444,46.44334387779236,"unknown","unknown",52.76637291908264,64.27508282661438,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.16492247581482,"unknown",77.25369596481323,80.46518063545227,86.82705545425415,"unknown","unknown",93.21949648857117,137.7119905948639,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",143.93187856674194,"unknown","unknown",150.76312041282654
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-11285.924491882324,"unknown",-11278.718251228333,-11272.954390764236,0.0,6.5467751026153564,13.019394636154175,19.312697410583496,30.134756565093994,36.62888741493225,39.3932740688324,"unknown",45.584444522857666,"unknown",50.90320062637329,53.53375554084778,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.436169147491455,"unknown",65.59553742408752,68.91785025596619,74.86992931365967,"unknown","unknown",82.09158039093018,83.87637424468994,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",89.84249949455261,"unknown","unknown",96.09146094322205
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-78052.32744312286,"unknown",-78045.18316984177,-78038.76972985268,0.0,5.807758331298828,8370.605966806412,8377.22946190834,8390.35736989975,8396.31080365181,8398.895299196243,8405.02050113678,"unknown","unknown",8412.0316259861,8422.916994333267,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",8428.314067840576,"unknown",8435.025695085526,8438.031250476837,8445.071135759354,"unknown","unknown",8450.402127742767,552136.3361227512,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",552142.9459173679,"unknown","unknown",552148.4961559772
"ac6f3f6",-79.19679856300354,"unknown",-72.2709527015686,-65.24426865577698,0.0,6.994819641113281,18.032259702682495,23.525566339492798,93.74713325500488,100.83536052703857,121.45430421829224,"unknown",127.65424489974976,"unknown",133.68421173095703,137.45125770568848,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",144.14931344985962,"unknown",149.75202918052673,160.6368432044983,167.33453154563904,"unknown","unknown",173.98424863815308,176.45383501052856,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",182.2751317024231,"unknown","unknown",189.4943928718567
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-44.73916459083557,"unknown",-37.534162759780884,-31.96276307106018,0.0,5.568357706069946,8.718648672103882,16.033698320388794,29.723992109298706,36.67444610595703,42.099039793014526,"unknown",48.97133231163025,"unknown",54.969282388687134,65.24764323234558,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.34394788742065,"unknown",77.27450895309448,80.36675643920898,86.0600357055664,"unknown","unknown",91.56645083427429,95.96587777137756,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.85364365577698,"unknown","unknown",108.96886706352234
"4e53c5c",-414.3641939163208,"unknown",-407.5561754703522,-400.2674129009247,0.0,6.214272975921631,13.5791597366333,18.951377391815186,37.956958055496216,44.26690149307251,49.51245188713074,56.48983311653137,"unknown","unknown",62.10010290145874,65.67528057098389,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",71.12993955612183,"unknown",78.12430620193481,83.63914227485657,89.30331134796143,"unknown","unknown",95.0293231010437,99.50908088684082,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.04994511604309,"unknown","unknown",112.75852990150452
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-22370.860734939575,"unknown",-22363.990884065628,-22358.82532930374,0.0,6.428049325942993,8.260326862335205,14.03135347366333,21.128180265426636,27.610721826553345,32.32887315750122,"unknown","unknown",38.18077993392944,45.358540296554565,46.86674904823303,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.0842969417572,"unknown",61.289305448532104,63.80440545082092,69.2373309135437,"unknown","unknown",76.11124324798584,77.95274686813354,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84.3704686164856,"unknown","unknown",90.38023853302002
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-16858.48868894577,"unknown",-16852.152752161026,-16845.46670603752,0.0,7.125054121017456,10.478675842285156,15.744741916656494,58.84302759170532,64.87869024276733,77.64870476722717,"unknown","unknown",84.55584621429443,90.39510941505432,92.57764673233032,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.35149836540222,"unknown",104.57110905647278,118.242910861969,123.89848709106445,"unknown","unknown",129.744802236557,132.1851658821106,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",138.38279557228088,"unknown","unknown",144.40988636016846
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-5880.147852420807,"unknown",-5873.184210538864,-5867.321928024292,0.0,6.3140950202941895,8.894880294799805,15.139763593673706,35.44411277770996,41.4736430644989,42.947709798812866,48.28887367248535,"unknown","unknown",54.10865235328674,58.639583587646484,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.339182138443,"unknown",69.7072970867157,91.24530243873596,98.56329250335693,"unknown","unknown",104.06833338737488,106.3300530910492,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.59229230880737,"unknown","unknown",119.3608877658844
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1038.8073966503143,"unknown",-1032.580067873001,-1026.7899119853973,0.0,6.757349729537964,18.380810022354126,23.830552577972412,30.433778047561646,36.63841485977173,42.419060707092285,47.96037554740906,"unknown","unknown",53.96870708465576,91.85144710540771,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",97.88243985176086,"unknown",103.79706978797913,112.63660192489624,119.23079991340637,"unknown","unknown",125.02864241600037,127.78401231765747,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",135.00469732284546,"unknown","unknown",141.8448667526245
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
