"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","3_1","2_1"
"518e9b8",-31761.25517988205,"unknown",-31755.377799510956,-31749.309552192688,0.0,5.567640542984009,6.824047803878784,15.624943733215332,34.343363523483276,41.20544672012329,43.795445680618286,"unknown","unknown",50.06413912773132,57.04585838317871,61.474684715270996,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.87120199203491,"","unknown",73.52512288093567,91.57288122177124,"unknown",96.98228907585144,"unknown",102.72590732574463,109.23659181594849,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.44530963897705,"unknown","unknown",121.09123063087463,"",""
"b5edd3c",-3527.4349160194397,"unknown",-3521.527487039566,-3514.7254614830017,0.0,6.363279819488525,24.744656085968018,33.44489336013794,48.3492271900177,55.59905743598938,59.411696672439575,"unknown",65.93615984916687,"unknown",73.12650346755981,89.1657497882843,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.29156637191772,"","unknown",102.28869795799255,105.79452753067017,"unknown",112.25901985168457,"unknown",117.60627031326294,124.29180574417114,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.33281779289246,"unknown","unknown",137.15576601028442,"",""
"374ecf8",-12830.659683227539,"unknown",-12823.395620822906,-12816.739101171494,0.0,6.572010517120361,9.557596921920776,16.507922172546387,33.65438365936279,39.10407519340515,44.87027406692505,"unknown","unknown",50.57520866394043,57.54974889755249,59.071500062942505,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.27246451377869,"","unknown",72.02916145324707,76.73725771903992,"unknown","unknown",82.50419855117798,88.04710626602173,91.24759364128113,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.49412369728088,"unknown","unknown",103.73649597167969,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",12.733170986175537,"unknown",38.27983474731445,"unknown",57.90791702270508,"unknown","unknown","unknown","unknown",76.83892250061035,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.20494747161865,"unknown","unknown","unknown","unknown",129.70548152923584,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-8776.850496768951,"unknown",-8771.246563911438,-8765.777962684631,0.0,5.969893217086792,8.01058053970337,15.74605917930603,29.639795064926147,35.05476355552673,41.111916065216064,47.75931453704834,"unknown","unknown",53.24628496170044,77.65715050697327,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.54332041740417,"","unknown",91.733562707901,95.18825149536133,101.4570984840393,"unknown","unknown",108.73676896095276,111.27497673034668,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.87749719619751,"unknown","unknown",122.71384048461914,"",""
"2541155",-14813.509529352188,"unknown",-14806.974979400635,-14799.9343957901,0.0,6.18071722984314,8.187320470809937,16.396279335021973,34.14718508720398,40.12704253196716,44.55895185470581,"unknown",50.75875902175903,"unknown",57.483216524124146,59.44472336769104,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.06878113746643,"","unknown",72.0595633983612,76.35422706604004,"unknown",81.72461414337158,"unknown",88.42529845237732,90.76797842979431,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.95433354377747,"unknown","unknown",104.76523613929749,"",""
"ac6f3f6",-17577.49979186058,"unknown",-17571.38870215416,-17564.78729081154,0.0,5.44275426864624,9.654683351516724,17.821730613708496,37.73443818092346,43.273228883743286,46.54632520675659,"unknown","unknown",53.26715660095215,59.09257936477661,61.33196043968201,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.41224598884583,"","unknown",74.5499439239502,84.53435206413269,"unknown",91.57798290252686,"unknown",98.60286664962769,101.34116578102112,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.12215089797974,"unknown","unknown",113.3758978843689,"",""
"62447b9",-231115.45794057846,"unknown",-231107.92526483536,-231102.5788857937,0.0,6.270755767822266,9.277770042419434,17.40982413291931,34.44116401672363,40.60067391395569,43.9777045249939,50.62398982048035,"unknown","unknown",56.079508543014526,59.74947190284729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.38602209091187,"","unknown",71.46718740463257,87.73185515403748,94.07158637046814,"unknown","unknown",99.96554708480835,102.8807942867279,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.75735068321228,"unknown","unknown",115.44767570495605,"",""
"20f3e2e",-1077.3027794361115,"unknown",-1071.4248175621033,-1065.9764194488525,0.0,6.658465385437012,10.189421892166138,17.78377676010132,15142.49387550354,15147.79972076416,15150.490939617157,"unknown","unknown",15156.793349027634,15163.979763031006,15165.355781793594,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",15170.553141832352,"","unknown",15176.055958986282,15179.069685935974,"unknown","unknown",15185.75675034523,15193.208199977875,15194.677266597748,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",15201.37521481514,"unknown","unknown",15208.15888953209,"",""
