"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-9450.350970745087,"unknown",-9443.851517677307,-9438.030374526978,0.0,7.186230659484863,631.816498041153,639.3473978042603,12737.575579881668,12743.046030759811,12748.63954615593,"unknown","unknown",12754.061043262482,12761.00095629692,12766.133321285248,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",12772.230345726013,"unknown",12778.91148018837,12788.283450841904,"unknown","unknown",12795.029392957687,12800.326672554016,12805.527049779892,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",12812.76523733139,"unknown","unknown",12818.571410179138
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-28137.426725149155,"unknown",-28130.64028263092,-28125.03380870819,0.0,6.220836877822876,9.134091138839722,15.918335676193237,192.68321585655212,199.24644804000854,201.66571378707886,"unknown",206.98508167266846,"unknown",212.51321172714233,229.96680521965027,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",235.49614572525024,"unknown",242.712553024292,275.57226514816284,"unknown",281.80183696746826,"unknown",287.5885908603668,3054.7135729789734,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",3060.199473619461,"unknown","unknown",3067.314532518387
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-6814.532694101334,"unknown",-6808.178060293198,-6801.9115216732025,0.0,5.703978061676025,8.749826908111572,15.725881099700928,237.39798712730408,244.23557543754578,325.9913330078125,"unknown","unknown",332.5191535949707,338.37176513671875,392.0624027252197,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",398.9693133831024,"unknown",404.9288773536682,413.223659992218,"unknown",418.47121381759644,"unknown",425.0293095111847,440.1619381904602,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",445.76278018951416,"unknown","unknown",451.49406027793884
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-513.3105671405792,"unknown",-506.7872440814972,-500.04259276390076,0.0,7.2708868980407715,9.677871704101562,17.34529423713684,28.14721369743347,35.23546648025513,40.3084876537323,"unknown","unknown",46.37459206581116,51.9795937538147,54.28827142715454,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.79954791069031,"unknown",66.19937181472778,73.2448673248291,"unknown","unknown",78.71795892715454,84.60974788665771,1294526.7384297848,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1294532.6391551495,"unknown","unknown",1294538.3446412086
"ac6f3f6",-16.116069078445435,"unknown",-9.245009183883667,-2.1275837421417236,0.0,6.129368543624878,11.156012296676636,18.631138563156128,31.427192449569702,38.648897647857666,41.70364594459534,48.1123788356781,"unknown","unknown",53.59902882575989,56.18376016616821,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",63.4597601890564,"unknown",69.96774888038635,73.03118205070496,79.79548287391663,"unknown","unknown",85.35450601577759,110.85916590690613,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.27649188041687,"unknown","unknown",123.88865637779236
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4745.569752454758,"unknown",-4738.856131315231,-4731.70263338089,0.0,5.424886703491211,11.32418704032898,19.64764165878296,41.14529252052307,48.300373554229736,63.63671088218689,"unknown",70.1850380897522,"unknown",76.06074118614197,78.41047406196594,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.31711769104004,"unknown",92.19604754447937,96.04455137252808,"unknown",101.79157161712646,"unknown",107.8354275226593,109.68021178245544,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.19494271278381,"unknown","unknown",121.09301257133484
