"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-808.9928634166718,"unknown",-802.3454966545105,-796.6943924427032,0.0,5.480077743530273,9.416060447692871,16.548956394195557,460.44399976730347,466.88116359710693,14235.108424901962,"unknown","unknown",14242.52671456337,14248.770452260971,14263.21454501152,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",14269.064442396164,"unknown",14275.978278636932,14345.452117681503,"unknown",14352.649699926376,"unknown",14359.159366607666,14366.977757930756,14372.998987674713,14376.67828297615,"unknown","unknown",14383.83665060997,14390.047049999237,14394.435388565063,"unknown","unknown","unknown","unknown","unknown",14401.568611621857,"unknown",14407.07029080391
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-15682.517582893372,"unknown",-15675.810624361038,-15669.937613010406,0.0,6.554367780685425,9.297080993652344,15.5317964553833,35.09270620346069,41.20938992500305,57.13987445831299,"unknown","unknown",63.724079847335815,70.34589123725891,72.27328252792358,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.768479347229,"unknown",84.39825487136841,119.07473349571228,"unknown","unknown",124.98098921775818,131.045880317688,133.03877305984497,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.58732223510742,"unknown","unknown",144.93812108039856
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-20703.128985881805,"unknown",-20696.58311510086,-20689.64337682724,0.0,6.708166122436523,27.320226669311523,33.169081687927246,83717.51021552086,83723.52261519432,83729.28707170486,"unknown",83734.77194428444,"unknown",83741.83714795113,83745.19340372086,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83752.20460128784,"unknown",83758.87532639503,83764.2472307682,"unknown",83770.14159607887,"unknown",83776.30627250671,83779.09410476685,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83784.9813182354,"unknown","unknown",83791.90507292747
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-692.3095488548279,"unknown",-685.631364107132,-679.7446975708008,0.0,6.23883581161499,19269.969611406326,19277.33720612526,19721.31352329254,19726.81088089943,19740.738910913467,"unknown","unknown",19746.07563185692,19752.935072422028,19765.882601737976,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",19771.599182605743,"unknown",19777.742561340332,37124.60828733444,"unknown",37131.649906396866,"unknown",37137.098566532135,180444.40306329727,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",180450.5946624279,"unknown","unknown",180458.01336979866
"ac6f3f6",-13.54377031326294,"unknown",-7.31494402885437,-1.7672944068908691,0.0,6.700605154037476,10.859533071517944,16.154495000839233,32.225035190582275,38.82415747642517,43.71282625198364,"unknown","unknown",50.222084522247314,56.92094111442566,64.06289267539978,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.85737872123718,"unknown",77.94599938392639,85.96859574317932,"unknown","unknown",92.41181659698486,98.89207410812378,104.28223133087158,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.53487777709961,"unknown","unknown",117.19856715202332
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-12247.762212514877,"unknown",-12241.139726877213,-12234.44060921669,0.0,5.729501962661743,34.030346155166626,39.74645638465881,124.14008069038391,129.62038278579712,132.93151211738586,"unknown","unknown",139.78911519050598,145.6230959892273,149.3256812095642,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",155.12616729736328,"unknown",161.4655520915985,185.87159276008606,"unknown",191.40183091163635,"unknown",198.7484438419342,200.74225759506226,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",206.0091381072998,"unknown","unknown",211.76382517814636
