"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1","7_otro_1"
"518e9b8",-17259.95986175537,"unknown",-17253.93285703659,-17246.899176836014,0.0,5.429414749145508,14.63041067123413,21.78060030937195,341.64495038986206,348.3393244743347,354.3266315460205,"unknown","unknown",360.41920733451843,366.0988836288452,368.15542578697205,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",375.2801458835602,"","unknown",381.41605854034424,384.75049686431885,390.57311940193176,"unknown","unknown",397.33003997802734,404.1449797153473,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",410.5408847332001,"unknown","unknown",416.4285123348236,"","",""
"b5edd3c",-1445.6824247837067,"unknown",-1439.060005903244,-1433.0608048439026,0.0,6.563018560409546,11.245249271392822,18.610239028930664,38.663774251937866,44.22005343437195,48.679237842559814,"unknown","unknown",55.402716398239136,62.301870822906494,64.67758536338806,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.8197009563446,"","unknown",78.32521057128906,81.71594786643982,"unknown","unknown",88.22706627845764,94.6201548576355,96.75077199935913,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.48110103607178,"unknown","unknown",110.46892213821411,"","",""
"374ecf8",-5732.042229175568,"unknown",-5726.204039096832,-5720.69898557663,0.0,5.607235670089722,9.277634620666504,17.860435962677002,39.10631775856018,44.79612684249878,54.07128071784973,"unknown",60.83200550079346,"unknown",67.56832909584045,122.49999332427979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.50348448753357,"","unknown",135.3937544822693,145.28422570228577,"unknown",151.54070162773132,"unknown",157.9962294101715,170.6692771911621,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",176.72597813606262,"unknown","unknown",182.3186056613922,"","",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",9.591616868972778,"unknown",34.37533640861511,"unknown",45.31604051589966,"unknown","unknown","unknown","unknown",62.53513288497925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",99.35352563858032,"unknown","unknown","unknown","unknown",125.5794038772583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"8d2da97",-22498.427032470703,"unknown",-22491.692834854126,-22484.99677014351,0.0,7.270952463150024,10.95249056816101,18.803061723709106,38.013883113861084,44.069581270217896,54.91425156593323,"unknown",61.1400191783905,"unknown",67.93728876113892,70.56495451927185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.23038721084595,"","unknown",83.41254138946533,87.32604432106018,94.54158186912537,"unknown","unknown",101.53977417945862,103.31828951835632,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.24806666374207,"unknown","unknown",116.09713292121887,"","",""
"2541155",-13096.501249313354,"unknown",-13090.33517408371,-13083.875220775604,0.0,6.733485460281372,8.556989431381226,16.20392608642578,29.96589493751526,35.88803768157959,40.197041273117065,"unknown",46.99294710159302,"unknown",52.9923415184021,55.64740800857544,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.06745481491089,"","unknown",67.91271877288818,341.68227553367615,"unknown",349.10795283317566,"unknown",354.5267548561096,1952.7310464382172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1958.7566931247711,"unknown","unknown",1965.4229555130005,"","",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",18.34261465072632,"unknown",54.408809661865234,"unknown",76.50527358055115,"unknown","unknown","unknown","unknown",92.11262536048889,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",117.19493746757507,"unknown","unknown","unknown","unknown",132.2835774421692,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"62447b9",-335832.0245695114,"unknown",-335825.8210065365,-335819.689794302,0.0,7.216133117675781,31909.081075668335,31916.633240699768,31940.01518726349,31946.589159488678,31957.353915691376,"unknown","unknown",31963.308828115463,31969.1170399189,31985.07603263855,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",31991.95401096344,"","unknown",31997.353057146072,32020.62966108322,"unknown","unknown",32026.375000715256,32033.58837032318,32037.976309537888,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",32045.121423959732,"unknown","unknown",32051.438505887985,"","",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",12.594684362411499,"unknown",83.25504279136658,"unknown",138.29407906532288,"unknown","unknown","unknown","unknown",152.96721768379211,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",179.90052342414856,"unknown","unknown","unknown","unknown",205.79057598114014,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
