"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-4194.802765846252,"unknown",-4188.341717243195,-4182.901470422745,0.0,5.9207923412323,17.902336835861206,24.682780742645264,201563.55111956596,201569.41139411926,201572.413615942,"unknown","unknown",201578.9643828869,201584.53985118866,201610.7367556095,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",201616.24926114082,"","unknown",201621.52695775032,201623.74347162247,"unknown",201629.1574897766,"unknown",201634.5292711258,201636.01934480667,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",201642.71516180038,"unknown","unknown",201649.7100329399,""
"b5edd3c",-26706.198086977005,"unknown",-26700.17121744156,-26694.10703778267,0.0,5.980594635009766,9.963627815246582,16.51260733604431,34.506513595581055,41.4247727394104,45.428815841674805,"unknown","unknown",51.46734166145325,58.6617476940155,60.62842154502869,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.34603524208069,"","unknown",73.43133616447449,76.0634560585022,82.10991191864014,"unknown","unknown",88.51127076148987,90.81581449508667,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.05080223083496,"unknown","unknown",103.64533996582031,""
"374ecf8",-111425.35485053062,"unknown",-111419.5368244648,-111413.42018938065,0.0,5.936328887939453,7.912486553192139,13.541391849517822,56.90025186538696,62.329344511032104,88.35777878761292,"unknown",93.83962869644165,"unknown",99.99839663505554,101.70516014099121,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.23918795585632,"","unknown",114.09863495826721,126.42991304397583,"unknown","unknown",131.72767114639282,137.9334499835968,139.35893940925598,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.97703433036804,"unknown","unknown",152.40840363502502,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",8.847010850906372,"unknown",28.659798860549927,"unknown",38.66924738883972,"unknown","unknown","unknown","unknown",53.19257712364197,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",77.9781551361084,"unknown","unknown","unknown","unknown",140.74092841148376,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-2570442.809743166,"unknown",-2570436.5002720356,-2570430.189969063,0.0,7.339248418807983,12.62168836593628,20.160894870758057,38.34612846374512,44.54208827018738,57.750478982925415,"unknown",63.48412585258484,"unknown",69.87763381004333,74.21403646469116,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.01483798027039,"","unknown",86.94153475761414,114.78215312957764,120.06397843360901,"unknown","unknown",125.56337308883667,128.90010476112366,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.6710934638977,"unknown","unknown",140.9198157787323,-3499.4944021701813
"2541155",-68838.656291008,"unknown",-68832.7472269535,-68826.8334980011,0.0,5.519887924194336,8.199447631835938,14.790668487548828,38.61406993865967,45.258885860443115,49.59765124320984,"unknown","unknown",55.388967990875244,62.58039999008179,64.60758757591248,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.91776657104492,"","unknown",78.20561671257019,16051.584996461868,"unknown",16058.866357564926,"unknown",16064.956673145294,16070.631773471832,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",16076.613184690475,"unknown","unknown",16083.155778884888,""
"ac6f3f6",-177508.14271473885,"unknown",-177501.5100119114,-177494.9987783432,0.0,6.16657567024231,8.808351039886475,14.743176698684692,36.27747988700867,42.942649364471436,46.76979994773865,"unknown","unknown",52.54905080795288,58.404916763305664,85.15465474128723,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.36988592147827,"","unknown",97.87651443481445,102.79057502746582,"unknown","unknown",108.89104557037354,114.45821738243103,117.20545387268066,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.40021300315857,"unknown","unknown",130.73793053627014,""
"62447b9",-118958.56625247002,"unknown",-118952.76074433327,-118946.47237300873,0.0,5.841268301010132,9.123979330062866,16.403318405151367,71.73206543922424,78.93749618530273,83.45655369758606,89.42913031578064,"unknown","unknown",95.52761721611023,97.49113726615906,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.67107367515564,"","unknown",109.50653338432312,119.04543542861938,125.53973603248596,"unknown","unknown",131.2002432346344,133.28901052474976,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140.49322700500488,"unknown","unknown",147.64576721191406,""
"20f3e2e",-28429.664789438248,"unknown",-28424.235186576843,-28417.36494588852,0.0,5.832425832748413,12.825865507125854,19.017098665237427,74.40235257148743,80.51416969299316,96.68929505348206,"unknown",101.9737606048584,"unknown",108.81739616394043,110.75622153282166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.1018054485321,"","unknown",125.44161891937256,132.6992118358612,"unknown",138.60474681854248,"unknown",145.06035161018372,146.70074820518494,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",152.70035219192505,"unknown","unknown",158.19149351119995,""
