"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"518e9b8",-3380.04852104187,"unknown",-3373.186454772949,-3366.0887789726257,0.0,6.450446128845215,26.93714165687561,33.965726375579834,64.92220282554626,71.96131563186646,98.084463596344,"unknown","unknown",103.72711539268494,110.08571362495422,118.92530226707458,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.47609949111938,"","unknown",132.01117944717407,134.8945701122284,141.91084003448486,"unknown","unknown",147.55507731437683,153.14690256118774,158.91122841835022,161.97204399108887,"unknown",168.6777536869049,"unknown",174.2677128314972,177.89658093452454,"unknown","unknown","unknown","unknown","unknown",184.94002842903137,"unknown",190.20858788490295,"",""
"b5edd3c",-646091.0045449734,"unknown",-646084.355022192,-646077.8605659008,0.0,6.719758987426758,11.225908994674683,17.32809829711914,24.806546688079834,30.045799732208252,36.50957989692688,"unknown","unknown",43.176851749420166,48.556803703308105,54.743369579315186,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.228203773498535,"","unknown",66.61170291900635,69.46210551261902,"unknown","unknown",76.31315183639526,82.9045021533966,86.05486178398132,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.79919481277466,"unknown","unknown",98.89017844200134,"",""
"374ecf8",-16970.305198907852,"unknown",-16964.75044631958,-16957.611214637756,0.0,6.855414152145386,9.11009430885315,16.047863006591797,17.870102167129517,23.28471565246582,49.62454271316528,"unknown","unknown",55.413763761520386,61.662474155426025,63.840036392211914,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.99212121963501,"","unknown",75.65969562530518,82.35123658180237,"unknown","unknown",88.45273041725159,95.01969599723816,97.00906419754028,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.29887318611145,"unknown","unknown",108.8517541885376,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",20.211345672607422,"unknown",38.61486744880676,"unknown",64.1788330078125,"unknown","unknown","unknown","unknown",92.45112347602844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",138.12053799629211,"unknown","unknown","unknown","unknown",197.23878598213196,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-8423.463129758835,"unknown",-8417.194208621979,-8411.486588478088,0.0,7.303210020065308,11.619209051132202,17.330906867980957,31.347785472869873,37.810893297195435,42.457648277282715,"unknown",47.73272466659546,"unknown",53.368353843688965,55.289531230926514,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.891568660736084,"","unknown",66.89639163017273,72.59557604789734,78.21644139289856,"unknown","unknown",84.1068823337555,86.10157513618469,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.61071753501892,"unknown","unknown",98.11704540252686,"",""
"2541155",-85397.84386920929,"unknown",-85392.31085562706,-85386.40502738953,0.0,5.811615228652954,7.247641324996948,12.896466255187988,1646.0450773239136,1652.4744803905487,132539.565874815,132545.4467818737,"unknown","unknown",132551.33423686028,132554.19395661354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132560.51679325104,"","unknown",132566.00516605377,132578.66446256638,132584.5280675888,"unknown","unknown",132590.52750611305,132592.0626797676,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132599.22708511353,"unknown","unknown",132606.3135151863,"",""
"ac6f3f6",-17486.918371915817,"unknown",-17479.974725723267,-17474.34376859665,0.0,5.684622526168823,51.85801362991333,57.622129678726196,83.78313660621643,90.89262795448303,103.84508728981018,"unknown","unknown",110.04622387886047,116.65278148651123,119.13799047470093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",125.09102249145508,"","unknown",130.5776686668396,133.20773601531982,"unknown","unknown",139.52221059799194,145.94110774993896,160.2710793018341,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",166.4744110107422,"unknown","unknown",172.79478430747986,"",""
"62447b9",-293277.76659560204,"unknown",-293271.27393078804,-293264.2336115837,0.0,6.908726930618286,9.19931149482727,16.07264542579651,36.85874819755554,43.068909645080566,70.2777795791626,"unknown","unknown",76.25876998901367,81.87404990196228,83.78650212287903,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.0140130519867,"","unknown",96.46211624145508,103.5510835647583,"unknown","unknown",109.73639607429504,115.73332953453064,120.47744464874268,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",126.15515327453613,"unknown","unknown",132.96167397499084,"",""
"20f3e2e",-903.3532547950745,"unknown",-897.1580827236176,-891.1748867034912,0.0,6.739278793334961,12.949641227722168,18.15359663963318,40.24229979515076,45.776081562042236,48.842708349227905,"unknown","unknown",54.48835277557373,60.382981300354004,64.5583713054657,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.4987587928772,"","unknown",78.13223719596863,97.64776420593262,"unknown",104.15863847732544,"unknown",110.8843445777893,112.88296151161194,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.47782850265503,"unknown","unknown",124.46835803985596,"",""
