"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","4_1"
"518e9b8",-23393.67239665985,"unknown",-23388.338175535202,-23383.01150560379,0.0,5.570661544799805,13069.19520330429,13076.855469226837,13136.82836151123,13143.517209291458,13145.451391220093,"unknown","unknown",13151.8592877388,13159.101405382156,13162.112938642502,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",13168.056927204132,"unknown",13173.575942277908,13182.883205890656,"unknown","unknown",13188.310141324997,13194.428742647171,13253.39699435234,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",13259.064243555069,"unknown","unknown",13264.672736644745,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-418.92876648902893,"unknown",-412.3872435092926,-406.4154226779938,0.0,7.055135488510132,9.609126329421997,17.392820835113525,48.39986705780029,53.9600989818573,57.22535753250122,62.74620175361633,"unknown","unknown",68.40545511245728,70.60636472702026,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.84873533248901,"unknown",83.26268649101257,86.00562787055969,91.53899359703064,"unknown","unknown",98.39307403564453,101.44294595718384,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.25687837600708,"unknown","unknown",114.37441754341125,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-73.86517667770386,"unknown",-66.91942429542542,-61.19063091278076,0.0,6.73198390007019,8.403652667999268,15.890259742736816,43.099201917648315,49.670984506607056,64.5393283367157,"unknown",69.98807692527771,"unknown",76.87941122055054,79.94112992286682,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.10413980484009,"unknown",91.64409708976746,94.50410223007202,99.93035435676575,"unknown","unknown",106.12530374526978,108.37441992759705,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.842214345932,"unknown","unknown",119.64644265174866,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-77.34334301948547,"unknown",-71.40747117996216,-65.20084571838379,0.0,6.323871850967407,8.751810550689697,15.836970329284668,42.913747787475586,48.308491706848145,59.315348386764526,"unknown","unknown",64.9989116191864,71.18461918830872,84000.57179021835,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",84006.1159992218,"unknown",84013.12186789513,84022.84152173996,"unknown","unknown",84029.14069056511,84035.81147933006,85808.05120134354,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",85814.94866538048,"unknown","unknown",85820.62716388702,""
"ac6f3f6",-18.40163516998291,"unknown",-12.57483434677124,-6.4654011726379395,0.0,6.365691661834717,9.10608983039856,16.52395462989807,73.25992631912231,80.21677112579346,83.27670669555664,"unknown","unknown",88.50093650817871,94.94971871376038,96.71162271499634,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.90587258338928,"unknown",108.34188556671143,117.05837917327881,"unknown",123.73910808563232,"unknown",130.3388488292694,131.93496942520142,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",137.93891191482544,"unknown","unknown",144.88898634910583,""
"62447b9",-242400.6363954544,"unknown",-242394.02865815163,-242388.4236586094,0.0,5.394209146499634,7.07351541519165,14.997952699661255,67.12105250358582,72.70054841041565,78.25263166427612,"unknown","unknown",84.02639484405518,90.53732299804688,92.83226919174194,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.87248468399048,"unknown",105.2948215007782,119.95956492424011,"unknown","unknown",126.00205779075623,132.8920819759369,135.08897519111633,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",141.5643081665039,"unknown","unknown",148.79795217514038,""
"20f3e2e",-3885.5063886642456,"unknown",-3878.398683786392,-3872.477798461914,0.0,7.1694347858428955,11.1432363986969,18.593724489212036,41.49214029312134,47.30074334144592,53.52553629875183,"unknown",59.138315200805664,"unknown",65.74072647094727,67.57271003723145,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.67786192893982,"unknown",79.43623399734497,86.92049431800842,"unknown",92.65695405006409,"unknown",98.96831917762756,100.55574464797974,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.59266519546509,"unknown","unknown",113.45974826812744,""
