"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-74001.11706352234,"unknown",-73994.0035841465,-73987.70179820061,0.0,5.843851089477539,7.384829521179199,15.753849029541016,28.649744272232056,34.81368350982666,40.686564207077026,"unknown",47.57436919212341,"unknown",54.01031732559204,55.61371564865112,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.45068979263306,"","unknown",69.58759331703186,72.00395560264587,77.61411428451538,"unknown","unknown",83.17830324172974,84.74218606948853,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.17841482162476,"unknown","unknown",95.7294008731842
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-58581.09542489052,"unknown",-58574.55457615852,-58569.17007851601,0.0,6.439091205596924,22.738436698913574,30.71504545211792,63.2589373588562,70.01862668991089,83.76118874549866,"unknown","unknown",90.73559999465942,97.98404479026794,106.92836546897888,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.32002305984497,"","unknown",119.94869756698608,609.1800758838654,614.5957987308502,"unknown","unknown",621.7102158069611,834.3936846256256,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",841.0655643939972,"unknown","unknown",846.503723859787
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-183566.20416665077,"unknown",-183559.32045412064,-183552.77658128738,0.0,5.362037897109985,6.6674559116363525,15.55431604385376,17.022639751434326,23.380741357803345,35.59454703330994,"unknown","unknown",41.093355894088745,47.24537777900696,48.90686798095703,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.13660907745361,"","unknown",62.2577748298645,64.3356580734253,"unknown","unknown",71.31002163887024,78.38903737068176,83.75510001182556,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.493732213974,"unknown","unknown",97.04523968696594
"ac6f3f6",-775.215968132019,"unknown",-770.0184590816498,-764.5421271324158,0.0,8.217486143112183,10.725682973861694,20.119924783706665,34.46822190284729,42.151238203048706,48.896862506866455,54.754424810409546,"unknown","unknown",61.89781212806702,164.77899169921875,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",172.02790927886963,"","unknown",178.99182510375977,2737.085065603256,2743.6641709804535,"unknown","unknown",2749.402546644211,2750.8320586681366,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2758.0092499256134,"unknown","unknown",2765.142424106598
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4397.778626918793,"unknown",-4391.175528049469,-4384.6045825481415,0.0,5.973092555999756,9.563247919082642,17.58185052871704,39.10344958305359,46.66249203681946,49.93684673309326,"unknown","unknown",55.33235430717468,60.80511522293091,63.10669183731079,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.58517265319824,"","unknown",75.76353430747986,78.87254357337952,"unknown",85.7539131641388,"unknown",92.33259439468384,93.87837100028992,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.8944194316864,"unknown","unknown",107.77220153808594
