"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-2899.171199321747,"unknown",-2893.6655719280243,-2887.897247314453,0.0,6.6112284660339355,8.997018814086914,16.186833143234253,78.35942673683167,84.68661141395569,24387.91402578354,"unknown",24395.024408340454,"unknown",24400.419478416443,24403.09184908867,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",24408.323069810867,"","unknown",24413.626047611237,24420.595799446106,"unknown",24426.260208129883,"unknown",24433.46695780754,24438.319420576096,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",24444.3778924942,"unknown","unknown",24449.856692314148
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-5085.130355119705,"unknown",-5078.026008367538,-5071.459147453308,0.0,5.734553813934326,58379.954324007034,58387.26307749748,58438.16631579399,58444.18065190315,58450.38480567932,"unknown",58456.36276054382,"unknown",58461.740710020065,58465.37763094902,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58471.849816799164,"","unknown",58478.80848002434,58517.76813411713,"unknown",58524.846976041794,"unknown",58530.550577402115,58532.52781581879,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58538.197390556335,"unknown","unknown",58544.94201850891
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-13928.899755716324,"unknown",-13922.979092597961,-13917.357994318008,0.0,7.3324315547943115,9.309618949890137,18.82388138771057,34.00611615180969,39.78874683380127,54.007163286209106,"unknown","unknown",60.88656544685364,68.10759043693542,71.37106347084045,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.48605227470398,"","unknown",84.22284984588623,88.14983415603638,"unknown",94.41090822219849,"unknown",100.29601454734802,104.78713726997375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.04765176773071,"unknown","unknown",117.87440490722656
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-239.58643317222595,"unknown",-234.14427304267883,-227.2241952419281,0.0,6.185197591781616,8.884383201599121,15.630020380020142,30.57343077659607,37.76530480384827,40.95629692077637,"unknown","unknown",47.06947898864746,53.65425658226013,55.19274020195007,60.66959810256958,63.99567222595215,"unknown",69.96753549575806,"unknown",76.25117063522339,78.67275214195251,"unknown","unknown","unknown","unknown","unknown",84.1191463470459,"unknown",90.30870985984802,99.86022067070007,106.3254382610321,"unknown","unknown",112.99407863616943,114.7901816368103,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.79553842544556,"unknown","unknown",127.69109296798706
"ac6f3f6",-15.759521245956421,"unknown",-9.764729261398315,-3.2329635620117188,0.0,5.265723943710327,7.913525342941284,16.26761293411255,33.90927195549011,40.00564217567444,52.401480197906494,"unknown","unknown",59.370107889175415,65.3348548412323,69.21298241615295,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.29218363761902,"","unknown",82.67766380310059,86.68942189216614,93.32588362693787,"unknown","unknown",98.62363743782043,101.55648469924927,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.12185263633728,"unknown","unknown",114.6937906742096
"62447b9",-1212974.0830557346,"unknown",-1212968.4497401714,-1212961.5759234428,0.0,6.028101921081543,12.42144775390625,20.930131435394287,33.9763970375061,39.481961488723755,301.2982506752014,"unknown",308.5608592033386,"unknown",315.11622524261475,317.32783031463623,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",322.78691506385803,"","unknown",329.50242495536804,349.35246181488037,"unknown","unknown",354.8231134414673,360.51844811439514,365.299772977829,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",371.7833490371704,"unknown","unknown",378.15580654144287
"20f3e2e",-6643.799701452255,"unknown",-6637.680061101913,-6632.157459497452,0.0,5.7864320278167725,12.327922582626343,19.788824558258057,53.94053292274475,60.087971448898315,79.67376732826233,"unknown","unknown",86.91512560844421,92.35913848876953,95.12529444694519,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.24707674980164,"","unknown",107.60294270515442,115.91802883148193,"unknown",122.22735238075256,"unknown",128.7079029083252,148.95234370231628,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",154.5553331375122,"unknown","unknown",161.44785356521606
"4e53c5c",-52.45884966850281,"unknown",-46.564143657684326,-40.8577516078949,0.0,6.465833902359009,19.472450017929077,26.918794631958008,40.99467658996582,47.477736949920654,51.54549789428711,"unknown",58.243030071258545,"unknown",63.79227542877197,66.38417291641235,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.17781805992126,"","unknown",78.73170733451843,84.10598111152649,90.82693219184875,"unknown","unknown",96.44902324676514,98.58105635643005,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.2466812133789,"unknown","unknown",111.1672089099884
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-6295.1756336688995,"unknown",-6288.157795190811,-6281.351721048355,0.0,7.070692300796509,9.75575041770935,17.298155784606934,407.1062202453613,413.923850774765,427.6954140663147,"unknown",433.2836515903473,"unknown",439.37188601493835,441.72274947166443,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",448.39231419563293,"","unknown",454.20274543762207,485.14425921440125,"unknown",490.71508407592773,"unknown",497.2759494781494,498.73333406448364,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",505.6484045982361,"unknown","unknown",511.70050597190857
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4238.484519481659,"unknown",-4168.708295345306,-4100.106279373169,0.0,7.061516284942627,9.767239570617676,18.61424469947815,33.50136375427246,39.80762481689453,42.760687828063965,"unknown","unknown",48.17008399963379,54.868571519851685,56.4661660194397,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.352356910705566,"","unknown",68.18419790267944,76.63640260696411,"unknown",81.97474098205566,"unknown",87.92093777656555,89.59903335571289,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.05697703361511,"unknown","unknown",102.73605561256409
"ea8c0d6",-2155187.8106787205,"unknown",-2155180.883787155,-2155175.1795876026,0.0,5.359803915023804,8.315751552581787,16.030405044555664,51.172948122024536,58.19342756271362,62.1683988571167,"unknown","unknown",67.7468032836914,74.1993339061737,127.20000839233398,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.76822590827942,"","unknown",139.0796136856079,153.02513074874878,"unknown","unknown",159.89564609527588,166.17706513404846,168.312260389328,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",174.38968777656555,"unknown","unknown",181.5524287223816
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1718.668969631195,"unknown",-1712.6424181461334,-1707.0011529922485,0.0,6.1862170696258545,726.6700103282928,734.984790802002,873.8815455436707,880.3712034225464,883.6366238594055,889.2840371131897,"unknown","unknown",896.2038276195526,899.0747535228729,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",905.230878829956,"","unknown",910.5861322879791,941.6877427101135,947.5227937698364,"unknown","unknown",953.8662943840027,982.8959536552429,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",988.8416211605072,"unknown","unknown",995.0970275402069
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
