"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-9424.425453662872,-9417.708039283752,-9410.784085273743,-9404.582773447037,0.0,5.450979232788086,11.340834140777588,19.884368896484375,22.518035888671875,28.589880228042603,45.7941620349884,"unknown","unknown",51.614394426345825,58.42768836021423,66.94965386390686,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.28268241882324,"unknown",78.77768397331238,82.5220377445221,"unknown","unknown",89.09594678878784,96.05525708198547,99.03545951843262,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.86691117286682,"unknown","unknown",111.59880208969116
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-22780.722459316254,-22773.80015897751,-22766.710084438324,-22759.92907524109,0.0,7.305699586868286,12.664325952529907,20.79297637939453,34.772018909454346,40.59458637237549,53.83608841896057,"unknown",59.794684171676636,"unknown",65.13014793395996,68.93350720405579,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.51504302024841,"unknown",80.2881076335907,97.14951467514038,"unknown",103.10986852645874,"unknown",109.70045375823975,123.00294733047485,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.4000141620636,"unknown","unknown",134.89970660209656
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-26527.967216730118,-26520.999250411987,-26514.51287817955,-26509.051831960678,0.0,6.10873556137085,8.330891370773315,16.535865545272827,28.69571828842163,35.07330513000488,37.85135579109192,"unknown","unknown",44.08403754234314,50.3486545085907,53.36981821060181,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.510151863098145,"unknown",65.01919794082642,69.48471760749817,"unknown","unknown",74.9730327129364,81.41931414604187,85.92812037467957,93.27933526039124,99.9314455986023,"unknown",105.50357031822205,"unknown",111.629070520401,114.88081359863281,"unknown","unknown","unknown","unknown","unknown",121.84763979911804,"unknown",128.14617896080017
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-363.35851788520813,-357.9440371990204,-351.39686918258667,-346.2402353286743,0.0,7.151369571685791,9.931843042373657,18.089471101760864,35.001089096069336,41.80355715751648,48.21372365951538,"unknown","unknown",54.319507360458374,59.57667398452759,257.8086907863617,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",264.4520378112793,"unknown",270.9524440765381,290.37016010284424,"unknown",297.1922273635864,"unknown",302.60663533210754,198028.43941617012,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",198034.58538508415,"unknown","unknown",198041.63266515732
"ac6f3f6",-13669.731394052505,-13663.742211580276,-13657.279001951218,-13650.821038484573,0.0,5.566204786300659,7.507880926132202,15.878329277038574,35.21704435348511,41.70687699317932,44.88381099700928,"unknown","unknown",51.69963073730469,57.153526306152344,58.77883291244507,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.10530543327332,"unknown",70.95871758460999,77.94246864318848,"unknown",84.9462878704071,"unknown",92.12740182876587,94.6831259727478,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.77798342704773,"unknown","unknown",107.46733403205872
"62447b9",-768664.104878664,-768657.2723333836,-768651.0274045467,-768644.8041186333,0.0,7.060009479522705,10.275686502456665,17.73681092262268,37.592204093933105,43.1278440952301,50.04081320762634,"unknown","unknown",55.365896463394165,61.00334119796753,63.088846921920776,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.70237350463867,"unknown",76.27473044395447,80.72356271743774,"unknown","unknown",86.89267826080322,94.0768506526947,96.09220242500305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.24033236503601,"unknown","unknown",109.72988200187683
"20f3e2e",-20365.164985895157,-20358.30250310898,-20351.14706492424,-20345.311150550842,0.0,6.291122913360596,13.529782056808472,21.25722050666809,54.10937762260437,60.01156973838806,62.478052854537964,"unknown","unknown",69.11274456977844,76.40452432632446,78.47358560562134,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",85.10120725631714,"unknown",92.0500237941742,98.43645286560059,"unknown","unknown",105.06077742576599,111.98281264305115,116.67773413658142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.43621778488159,"unknown","unknown",129.241765499115
