"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"518e9b8",-10147.21350312233,"unknown",-10140.828330516815,-10133.744314432144,0.0,6.626848459243774,7.982316017150879,14.293133735656738,33.38279175758362,39.5190372467041,42.89114689826965,"unknown","unknown",49.0823175907135,55.80193781852722,57.34675455093384,62.598867893218994,64.56568455696106,"unknown",70.7523546218872,"unknown",76.50678443908691,77.85977745056152,"unknown","unknown","unknown","unknown","unknown",84.37915372848511,"unknown",91.28735995292664,95.00986337661743,100.62212800979614,"unknown","unknown",107.17016530036926,109.69640398025513,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.45013189315796,"unknown","unknown",122.22169089317322,"",""
"b5edd3c",-34734.795295000076,"unknown",-34729.397652864456,-34724.012655735016,0.0,7.241463899612427,18.654316186904907,25.11331582069397,37.05276799201965,43.64081120491028,45.21035933494568,52.332334995269775,"unknown","unknown",59.25510239601135,60.9448561668396,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.32239651679993,"","unknown",73.02841067314148,76.87625789642334,83.17379689216614,"unknown","unknown",89.27337121963501,91.38207411766052,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.51661038398743,"unknown","unknown",104.81027245521545,"",""
"374ecf8",-255364.80980181694,"unknown",-255359.00353002548,-255353.006585598,0.0,7.301774024963379,14.729043006896973,21.012901782989502,46.03171229362488,53.105299949645996,63.45444416999817,"unknown",69.31225681304932,"unknown",75.93495464324951,78.61954998970032,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.36455607414246,"","unknown",90.58475875854492,104.87423300743103,"unknown",111.26805329322815,"unknown",118.56343483924866,120.83946228027344,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.01267671585083,"unknown","unknown",134.93127059936523,"",""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",46.12317967414856,"unknown",156.43092036247253,"unknown",195.26564478874207,"unknown","unknown","unknown","unknown",213.3744776248932,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",286.94762349128723,"unknown","unknown","unknown","unknown",336.2731056213379,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"8d2da97",-24101.53544640541,"unknown",-24094.971689224243,-24089.321792125702,0.0,7.186230421066284,19.00246238708496,25.635504722595215,36.82494020462036,42.75023913383484,49.56608438491821,"unknown","unknown",56.69487476348877,63.31069803237915,65.32472634315491,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.08358669281006,"","unknown",78.58796691894531,81.72825288772583,88.7043719291687,"unknown","unknown",95.70580220222473,97.43122982978821,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.8784282207489,"unknown","unknown",109.68562507629395,"",""
"2541155",-219594.23007678986,"unknown",-219588.31505942345,-219581.96446371078,0.0,7.015193939208984,203696.9516954422,203704.07884430885,203716.73760533333,203723.7418744564,203732.64875125885,"unknown","unknown",203738.84532523155,203745.39683437347,203747.45597314835,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",203752.71347618103,"","unknown",203759.8654539585,203764.67672777176,203770.24001955986,"unknown","unknown",203777.12885046005,203778.72917175293,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",203784.24862074852,"unknown","unknown",203789.66826367378,"",""
"ac6f3f6","unknown","unknown","unknown","unknown",0.0,"unknown",9.290789365768433,"unknown",20.7369441986084,"unknown",52.49310779571533,"unknown","unknown","unknown","unknown",68.18561553955078,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",90.00524115562439,"unknown","unknown","unknown","unknown",103.8686408996582,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"62447b9",-31962.95907139778,"unknown",-31957.62471294403,-31950.823847293854,0.0,6.717841625213623,32.99461102485657,40.15381050109863,58.75791311264038,64.2924313545227,84.21650648117065,"unknown","unknown",89.56722664833069,96.485036611557,98.70571565628052,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.08265352249146,"","unknown",111.51047396659851,123.16609477996826,"unknown",130.18144750595093,"unknown",135.4866693019867,138.27404737472534,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.32344937324524,"unknown","unknown",151.46714544296265,"",""
"20f3e2e","unknown","unknown","unknown","unknown",0.0,"unknown",11.577662706375122,"unknown",52.97391200065613,"unknown",63.9026997089386,"unknown","unknown","unknown","unknown",78.23458695411682,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",93.5914077758789,"unknown","unknown","unknown","unknown",106.3545982837677,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
