"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-29387.731347560883,"unknown",-29381.562347650528,-29375.199508428574,0.0,6.80882716178894,13.096021175384521,20.109440565109253,63.18771839141846,69.38356852531433,71.04925441741943,"unknown",77.33876729011536,"unknown",82.85130596160889,86.11436247825623,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.38769364356995,"","unknown",99.27148509025574,111.75990414619446,118.84951663017273,"unknown","unknown",124.3959288597107,130.03515434265137,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.9975070953369,"unknown","unknown",143.4578092098236,""
"b5edd3c",-2362.5103602409363,"unknown",-2356.300482273102,-2350.0087702274323,0.0,6.992211103439331,9.997273683547974,17.17064380645752,28.96872353553772,34.93125128746033,36.700334310531616,43.32312273979187,"unknown","unknown",48.632609844207764,50.36650466918945,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.22302556037903,"","unknown",62.03818607330322,64.11020231246948,71.344402551651,"unknown","unknown",76.84951162338257,78.71651530265808,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.34162592887878,"unknown","unknown",90.55677962303162,""
"374ecf8",-103376.18016076088,"unknown",-103369.69319653511,-103364.27194142342,0.0,6.5452094078063965,10.164843082427979,17.133407592773438,38.53623962402344,45.13696312904358,56.951337575912476,"unknown",63.84764647483826,"unknown",71.00379681587219,74.50355839729309,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.63384652137756,"","unknown",88.8467845916748,93.60548520088196,100.33511304855347,"unknown","unknown",107.34975290298462,109.25902438163757,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.73391151428223,"unknown","unknown",120.60486268997192,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0","unknown","unknown","unknown","unknown",0.0,"unknown",14.463785171508789,"unknown",29.92184591293335,"unknown",48.20846962928772,"unknown","unknown","unknown","unknown",92.16558885574341,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",132.0886092185974,"unknown","unknown","unknown","unknown",233.3431317806244,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"8d2da97",-52592.45821452141,"unknown",-52586.83564662933,-52580.0409514904,0.0,5.259679079055786,6.875128269195557,12.952422857284546,14.827855587005615,21.871890544891357,45.261027097702026,"unknown",50.662238121032715,"unknown",56.485244274139404,58.496089458465576,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.55637574195862,"","unknown",71.81173038482666,75.06184482574463,82.05989646911621,"unknown","unknown",88.01792907714844,89.73585796356201,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.03535962104797,"unknown","unknown",102.38425612449646,""
"2541155",-101893.84380173683,"unknown",-101886.69892215729,-101880.16672372818,0.0,5.5219011306762695,7.2367260456085205,13.672633647918701,28.88182806968689,34.78585171699524,37.71605682373047,"unknown","unknown",44.79166078567505,51.7270929813385,54.768232107162476,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.26770496368408,"","unknown",66.7948157787323,69.10928893089294,"unknown",74.97115874290466,"unknown",81.9002137184143,83.57757830619812,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.05311965942383,"unknown","unknown",98.04308247566223,""
"ac6f3f6",-64.44497847557068,"unknown",-58.4689884185791,-51.203672885894775,0.0,6.390637397766113,9.48388957977295,15.312100648880005,33.98487091064453,41.24443054199219,48.093684673309326,"unknown",53.599714040756226,"unknown",58.90142488479614,60.220736503601074,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.0224220752716,"","unknown",71.32599449157715,81.20119976997375,88.32949137687683,"unknown","unknown",93.78078866004944,95.13229155540466,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.46397352218628,"unknown","unknown",107.26461672782898,""
"62447b9",-97612.0217013359,"unknown",-97606.52972054482,-97601.03795981407,0.0,6.899568557739258,9.924502611160278,16.444047927856445,38.03516721725464,45.08485984802246,96.41949987411499,"unknown","unknown",102.66309237480164,108.57603120803833,111.20711493492126,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.01234078407288,"","unknown",124.68317675590515,133.36169981956482,140.2657880783081,"unknown","unknown",145.787207365036,148.7541377544403,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",154.4016616344452,"unknown","unknown",161.25085258483887,""
"20f3e2e",-110.68696928024292,"unknown",-104.79978775978088,-99.21236276626587,0.0,7.182480573654175,12.435899496078491,19.077369928359985,162.60025548934937,169.55293440818787,184.49795246124268,"unknown",190.36986827850342,"unknown",197.04719853401184,198.62074780464172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",204.24319410324097,"","unknown",210.43994617462158,214.73499393463135,221.54186606407166,"unknown","unknown",228.03338932991028,268.45687532424927,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",273.84650182724,"unknown","unknown",279.9202926158905,""
"4e53c5c",-1635.4133145809174,"unknown",-1629.41917014122,-1623.2391908168793,0.0,5.754683971405029,13.253260374069214,19.66430401802063,39.53906846046448,45.449347734451294,47.51457166671753,53.834744453430176,"unknown","unknown",59.28695583343506,61.72700238227844,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.18198227882385,"","unknown",72.6443362236023,78.72497916221619,84.79459547996521,"unknown","unknown",91.1010205745697,92.85564041137695,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.63300824165344,"unknown","unknown",105.4518814086914,""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-6002.625883579254,"unknown",-5996.074884414673,-5990.036830425262,0.0,6.218898773193359,9.96139407157898,16.524802207946777,41.6379759311676,49.006654024124146,64.80828475952148,"unknown","unknown",70.47806906700134,76.3869206905365,78.51392889022827,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",84.64652228355408,"","unknown",90.29958271980286,117.97780013084412,"unknown",123.5135247707367,"unknown",130.14512515068054,131.75381064414978,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.9464728832245,"unknown","unknown",145.9645779132843,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-2197.385081768036,"unknown",-2192.022200345993,-2185.5269799232483,0.0,7.322002172470093,12.552833318710327,19.556519269943237,35.04804825782776,41.93326139450073,55.75949311256409,"unknown","unknown",63.31676769256592,70.52901721000671,72.70956802368164,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.62481188774109,"","unknown",85.13222074508667,92.82596516609192,"unknown",99.35721039772034,"unknown",105.08253407478333,107.31829690933228,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.39053988456726,"unknown","unknown",119.01000833511353,""
"ea8c0d6",-54028.46307563782,"unknown",-54022.462252140045,-54016.46081614494,0.0,7.4123804569244385,10.12417984008789,16.220228672027588,32.32074594497681,39.01408839225769,49.71167325973511,56.144105195999146,"unknown","unknown",61.728267669677734,65.28338837623596,71.48430061340332,78.769287109375,"unknown","unknown",84.30499577522278,91.55652594566345,93.74633169174194,"unknown","unknown","unknown","unknown","unknown",100.31462621688843,"unknown",107.49198508262634,119.71063685417175,"unknown",126.352956533432,"unknown",132.54925179481506,134.8258912563324,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140.8465814590454,"unknown","unknown",146.45499229431152,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-525201.8851106167,"unknown",-525195.7246375084,-525189.7306032181,0.0,6.460393905639648,1178.4431018829346,1184.1902952194214,1553.7209322452545,1560.485247373581,1575.347959280014,"unknown",1581.7235989570618,"unknown",1587.008888721466,1594.9649500846863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1600.9359664916992,"","unknown",1607.2432301044464,1724.2466311454773,1729.8703346252441,"unknown","unknown",1735.5951702594757,1879.4718370437622,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1884.848163843155,"unknown","unknown",1891.7570798397064,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-14.500061511993408,"unknown",-8.69065546989441,-3.2863476276397705,0.0,7.3117005825042725,9.767386674880981,15.99871015548706,23.643052339553833,29.557941913604736,40.133439779281616,"unknown",47.03025960922241,"unknown",53.147491693496704,61.820173025131226,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.9026460647583,"","unknown",74.35841584205627,78.08824443817139,84.51399731636047,"unknown","unknown",89.9775071144104,91.31231427192688,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.7951979637146,"unknown","unknown",102.70278573036194,""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.853322982788086,"unknown",18.742815732955933,"unknown",93.54658699035645,"unknown","unknown","unknown","unknown",108.19685006141663,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",124.28085970878601,"unknown","unknown","unknown","unknown",138.9282829761505,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"56ee475",-142258.59003782272,"unknown",-142252.06409454346,-142245.46374225616,0.0,7.398406744003296,9.82795262336731,16.091303825378418,33.00989389419556,39.22833228111267,48.38963842391968,"unknown",53.9384241104126,"unknown",60.336368799209595,62.06100344657898,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.87515640258789,"","unknown",73.64284825325012,77.63717746734619,83.78000116348267,"unknown","unknown",89.05723261833191,90.82141733169556,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.43562912940979,"unknown","unknown",103.61601400375366,""
"916c172",-15650.785684108734,"unknown",-15645.297548055649,-15638.635531187057,0.0,7.295755863189697,56.57675909996033,62.3482985496521,71.37977433204651,78.45135688781738,85.64710402488708,"unknown","unknown",92.12640523910522,99.31165671348572,100.93186902999878,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.22537279129028,"","unknown",113.8926134109497,122.05640530586243,"unknown","unknown",127.5898916721344,134.671231508255,147.87151217460632,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",153.22734928131104,"unknown","unknown",159.9849693775177,""
"d9696dd",-80547.32255101204,"unknown",-80540.56493735313,-80533.34884548187,0.0,6.483695983886719,17.141215801239014,23.705484628677368,29.930243492126465,35.64826822280884,49.02460718154907,"unknown","unknown",55.36953139305115,62.02575421333313,63.535494327545166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.37474775314331,"","unknown",76.60525226593018,78.95603394508362,84.88655543327332,"unknown","unknown",91.442875623703,93.60970973968506,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",99.59732937812805,"unknown","unknown",105.98616886138916,""
"eff7ebe",-1534.6838326454163,"unknown",-1528.396250486374,-1521.3802723884583,0.0,5.692094087600708,85.39579343795776,92.30915760993958,136.02537512779236,141.34869122505188,161.03333353996277,"unknown",167.0689628124237,"unknown",172.66822791099548,174.82834148406982,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",180.71235942840576,"","unknown",187.05264163017273,191.34108591079712,"unknown",196.81514501571655,"unknown",203.99876976013184,1258.1236910820007,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1264.5553588867188,"unknown","unknown",1270.1229538917542,""
"5d4fcbe",-1340.2429461479187,"unknown",-1334.4622135162354,-1327.354478597641,0.0,5.869798898696899,7.6402411460876465,14.679759740829468,26.77128791809082,32.23141026496887,35.74856615066528,"unknown","unknown",41.32204532623291,47.898406982421875,56.15244674682617,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",62.53940749168396,"","unknown",68.32937812805176,78.18499302864075,"unknown","unknown",84.86295008659363,91.68394684791565,93.22758221626282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.49388265609741,"unknown","unknown",104.00807285308838,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533",-800.2914228439331,"unknown",-794.3325870037079,-787.4181621074677,0.0,5.648434638977051,11.126495599746704,18.0795795917511,39.37671184539795,46.34759306907654,49.451937675476074,"unknown","unknown",55.84430813789368,62.839571714401245,64.34256863594055,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.96143436431885,"","unknown",78.00807881355286,80.17596554756165,"unknown","unknown",86.72386646270752,93.91241335868835,95.2355260848999,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.71054863929749,"unknown","unknown",107.65834307670593,""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
