"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8",-50303.25341129303,"unknown",-50296.130596876144,-50289.02220082283,0.0,6.520055294036865,199.919358253479,205.85316371917725,257.42493867874146,262.678560256958,264.17982625961304,"unknown",269.90090703964233,"unknown",275.88853693008423,285.3757863044739,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",292.13867473602295,"","unknown",297.9622530937195,302.17397022247314,"unknown","unknown",308.90760254859924,315.4993133544922,5882.676328897476,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",5889.37931895256,"unknown","unknown",5896.385512113571,""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-20002.185708999634,"unknown",-19995.07010936737,-19989.143121004105,0.0,7.109964370727539,11.54555630683899,17.368455410003662,22.833309650421143,28.659000158309937,128.75884318351746,"unknown","unknown",135.4532492160797,142.36048221588135,144.64092183113098,150.02242279052734,155.35150027275085,"unknown",162.03527688980103,"unknown",169.10522651672363,171.57616710662842,"unknown","unknown","unknown","unknown","unknown",177.67655730247498,"unknown",182.87141060829163,185.62816786766052,"unknown",191.52083373069763,"unknown",196.7213490009308,203.3074791431427,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",209.3981831073761,"unknown","unknown",215.84729146957397,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-20617.06121134758,"unknown",-20610.84914970398,-20605.045261383057,0.0,7.027393102645874,52.64835524559021,59.35725378990173,87.34241890907288,93.61242365837097,104.12268114089966,"unknown",110.67526578903198,"unknown",117.27644681930542,195.32743644714355,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",201.45128750801086,"","unknown",208.8367054462433,231.65232157707214,237.72419810295105,"unknown","unknown",243.12119698524475,245.33407354354858,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",252.07791566848755,"unknown","unknown",258.41379046440125,""
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-12628.656435251236,"unknown",-12621.430811166763,-12614.512498617172,0.0,7.532815933227539,9.174547910690308,15.255831003189087,27.082282066345215,33.793625354766846,37.52665996551514,"unknown","unknown",44.60909938812256,51.60018348693848,53.09534502029419,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",60.506062746047974,"","unknown",66.64484572410583,79.7943024635315,"unknown","unknown",85.77743625640869,93.21109342575073,1233.3677108287811,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1239.8143587112427,"unknown","unknown",1245.3602299690247,""
"ac6f3f6",-3576.1547107696533,"unknown",-3570.1276857852936,-3563.5608429908752,0.0,6.348112106323242,10.091913223266602,15.793444395065308,38.69379639625549,45.22029185295105,53.25970935821533,"unknown","unknown",59.99650526046753,66.54294204711914,69.91750168800354,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.60311675071716,"","unknown",81.86732530593872,88.54655718803406,95.21648216247559,"unknown","unknown",100.82942390441895,102.91895151138306,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.38188195228577,"unknown","unknown",114.07417154312134,""
"62447b9",-3587.291532754898,"unknown",-3580.9121022224426,-3573.8331863880157,0.0,5.926676034927368,8.669249534606934,15.120339393615723,39.465691804885864,45.42961573600769,67.33541655540466,"unknown","unknown",72.85196137428284,79.1901581287384,81.81219911575317,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.30220150947571,"","unknown",94.60403323173523,106.25089049339294,113.09299039840698,"unknown","unknown",119.41676259040833,122.47586274147034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",128.462641954422,"unknown","unknown",135.5068166255951,""
"20f3e2e",-868.0162580013275,"unknown",-860.8970892429352,-854.6849849224091,0.0,6.517927885055542,10.726191282272339,17.75249195098877,45.16919445991516,51.431400537490845,77.87406611442566,"unknown","unknown",83.53830862045288,90.26877093315125,98.67911338806152,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.10890078544617,"","unknown",110.76159906387329,133.97748732566833,"unknown","unknown",141.11239528656006,147.37804079055786,150.98944234848022,156.92134833335876,167.981210231781,"unknown",174.99652528762817,"unknown",181.82247972488403,184.0682020187378,"unknown","unknown","unknown","unknown","unknown",189.98933720588684,"unknown",196.42047357559204,""
