"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-3689.7686400413513,"unknown",-3683.4172298908234,-3676.382890701294,0.0,6.99097204208374,8.931789875030518,16.011733293533325,17.89702320098877,24.22602891921997,49.32514810562134,"unknown","unknown",55.38414716720581,62.09568905830383,67.60537958145142,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.82246279716492,"","unknown",79.73393034934998,89.82379531860352,"unknown","unknown",96.51196908950806,101.90893983840942,104.50460767745972,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.31914067268372,"unknown","unknown",117.53122568130493
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-8270.301741361618,"unknown",-8263.88967871666,-8257.823050498962,0.0,6.736438512802124,71.93778657913208,78.35941743850708,90.84993839263916,96.63245177268982,107.29871535301208,"unknown",113.07408785820007,"unknown",118.61698246002197,124.34682536125183,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.1906657218933,"","unknown",136.5801136493683,172.33169841766357,"unknown",179.50682878494263,"unknown",186.625732421875,232.90341210365295,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",239.13468217849731,"unknown","unknown",246.04990887641907
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-32688.41874551773,"unknown",-32682.276735305786,-32676.319301605225,0.0,6.534557342529297,10.120437860488892,17.334668397903442,32.454808712005615,38.28804016113281,64.18222999572754,"unknown","unknown",69.863436460495,75.97852611541748,78.74173927307129,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.87933874130249,"","unknown",91.38997268676758,96.92950415611267,"unknown","unknown",102.78632664680481,109.90345478057861,111.92289710044861,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.82706022262573,"unknown","unknown",124.11098384857178
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-3818.8481872081757,"unknown",-3812.143683195114,-3806.2924914360046,0.0,6.688460826873779,133.62300992012024,139.09949779510498,1888.9045526981354,1895.1116778850555,1910.4427018165588,"unknown",1917.1549291610718,"unknown",1923.2572894096375,1959.6312866210938,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1965.595363855362,"","unknown",1970.7921891212463,6599.392336845398,"unknown",6605.908142328262,"unknown",6611.917709112167,6693.526666402817,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",6700.763863801956,"unknown","unknown",6706.538768529892
"ac6f3f6",-1160.3388421535492,"unknown",-1155.0435247421265,-1148.136866569519,0.0,7.295829772949219,15.554119348526001,20.894009351730347,50.79765820503235,57.104278802871704,63.88482594490051,"unknown","unknown",70.16602802276611,76.66221165657043,78.25215005874634,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.5822274684906,"","unknown",90.03895950317383,103.33348274230957,"unknown","unknown",110.02392864227295,115.89055013656616,120.08062291145325,126.9735815525055,128.56830739974976,"unknown",135.6696105003357,"unknown",141.15758395195007,142.57107663154602,"unknown","unknown","unknown","unknown","unknown",148.97944045066833,"unknown",155.42169761657715
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-5975.427476406097,"unknown",-5969.479306221008,-5964.053621292114,0.0,6.970205068588257,40.53681778907776,46.77211952209473,98.30783367156982,105.40606546401978,113.99282574653625,"unknown",119.31871199607849,"unknown",125.57577109336853,132.62747812271118,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",139.35681343078613,"","unknown",145.6155116558075,156.54436421394348,"unknown",163.50445675849915,"unknown",169.81610679626465,174.36545300483704,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",180.47390580177307,"unknown","unknown",186.4783706665039
